,call_male,call_female,tuple,average_male,average_female,female-male
0,0.250114,0.05824168,"('unsociable', 'sociable')",0.250114,0.0582417,-0.1918723
1,1.0750211,1.0506693,"('unfriendly', 'friendly')",1.0750211,1.0506693,-0.0243518
2,0.17006053,0.30545604,"('unlikable', 'likable')",0.1700605,0.305456,0.1353955
3,0.8746363,0.91328406,"('repellent', 'pleasant')",0.8746363,0.9132841,0.0386478
4,-7.463863,-7.426156,"('disliked', 'liked')",-7.4638629,-7.426156,0.0377069
5,-0.3891113,-0.21446462,"('distant', 'outgoing')",-0.3891113,-0.2144646,0.1746467
6,-0.2711641,-0.10669767,"('distant', 'open')",-0.2711641,-0.1066977,0.1644664
7,0.5165515,0.51272595,"('insensitive', 'sensitive')",0.5165515,0.5127259,-0.0038256
8,0.8907734,0.9727644,"('unaffectionate', 'affectionate')",0.8907734,0.9727644,0.081991
9,1.7874073,1.9230782,"('unaffectionate', 'caring')",1.7874073,1.9230782,0.1356709
10,1.1754521,1.1431396,"('unsympathetic', 'sympathetic')",1.1754521,1.1431396,-0.0323125
11,2.4286537,2.4747982,"('unhelpful', 'helpful')",2.4286537,2.4747982,0.0461445
12,-1.7667252,-1.7334597,"('unsupportive', 'supportive')",-1.7667252,-1.7334597,0.0332655
13,0.8479384,0.7092494,"('impolite', 'polite')",0.8479384,0.7092494,-0.138689
14,0.23922162,0.06219864,"('antisocial', 'social')",0.2392216,0.0621986,-0.177023
15,0.40614498,0.34586516,"('boring', 'funny')",0.406145,0.3458652,-0.0602798
16,-0.3055436,-0.28986916,"('unpopular', 'popular')",-0.3055436,-0.2898692,0.0156744
17,-0.28327018,-0.23601735,"('nasty', 'nice')",-0.2832702,-0.2360173,0.0472529
18,-0.8418297,-0.9576951,"('disagreeable', 'welcoming')",-0.8418297,-0.9576951,-0.1158654
19,-1.036558,-0.7939623,"('inhospitable', 'hospitable')",-1.036558,-0.7939623,0.2425957
20,0.56494194,0.38002807,"('rough', 'thoughtful')",0.5649419,0.3800281,-0.1849138
21,0.2787943,0.2673732,"('immoral', 'moral')",0.2787943,0.2673732,-0.0114211
22,-0.15509185,-0.19138514,"('untrustworthy', 'trustworthy')",-0.1550919,-0.1913851,-0.0362932
23,6.5690937,6.535368,"('insincere', 'sincere')",6.5690937,6.535368,-0.0337257
24,1.6450444,1.6108663,"('dishonest', 'honest')",1.6450444,1.6108663,-0.0341781
25,0.42114213,0.3443139,"('egoistic', 'altruistic')",0.4211421,0.3443139,-0.0768282
26,0.30749014,0.17276374,"('hardhearted', 'benevolent')",0.3074901,0.1727637,-0.1347264
27,1.1339515,0.98797566,"('hardhearted', 'softhearted')",1.1339515,0.9879757,-0.1459758
28,1.1520876,1.0561045,"('disloyal', 'loyal')",1.1520876,1.0561045,-0.0959831
29,-0.70932037,-0.72227436,"('unfair', 'fair')",-0.7093204,-0.7222744,-0.012954
30,0.70596623,0.621213,"('intolerant', 'tolerant')",0.7059662,0.621213,-0.0847532
31,-1.8070171,-1.6519547,"('evil', 'good')",-1.8070171,-1.6519547,0.1550624
32,1.2309107,1.1547024,"('unkind', 'kind')",1.2309107,1.1547024,-0.0762083
33,-0.26385972,-0.1761791,"('wrong', 'right')",-0.2638597,-0.1761791,0.0876806
34,4.6403527,4.82273,"('mean', 'honorable')",4.6403527,4.8227301,0.1823774
35,-1.2041109,-1.2553,"('corrupt', 'incorrupt')",-1.2041109,-1.2553,-0.0511891
36,-0.9504192,-0.8826824,"('hostile', 'amicable')",-0.9504192,-0.8826824,0.0677368
37,0.52515614,0.57177126,"('fake', 'genuine')",0.5251561,0.5717713,0.0466152
38,0.050485313,0.114411816,"('untruthful', 'truthful')",0.0504853,0.1144118,0.0639265
39,0.074296206,0.021532543,"('exploitative', 'cooperative')",0.0742962,0.0215325,-0.0527637
40,-2.128947,-2.3312714,"('stingy', 'generous')",-2.128947,-2.3312714,-0.2023244
41,0.07016826,0.023041233,"('unforgiving', 'forgiving')",0.0701683,0.0230412,-0.0471271
42,-2.4848654,-2.4809327,"('unreliable', 'reliable')",-2.4848654,-2.4809327,0.0039327
43,1.1871523,1.1604111,"('irresponsible', 'responsible')",1.1871523,1.1604111,-0.0267412
44,-1.2121862,-1.245834,"('prejudiced', 'unprejudiced')",-1.2121862,-1.245834,-0.0336478
45,0.21914378,0.2677852,"('incompetent', 'competent')",0.2191438,0.2677852,0.0486414
46,-0.59566236,-0.6508128,"('uncompetitive', 'competitive')",-0.5956624,-0.6508128,-0.0551504
47,5.629498,5.8125095,"('stupid', 'smart')",5.629498,5.8125095,0.1830115
48,0.8880353,0.65455234,"('unintelligent', 'intelligent')",0.8880353,0.6545523,-0.233483
49,0.12580186,0.18725583,"('unable', 'able')",0.1258019,0.1872558,0.0614539
50,-0.45541456,-0.43085527,"('clumsy', 'skillful')",-0.4554146,-0.4308553,0.0245593
51,0.33751112,0.31076568,"('uneducated', 'educated')",0.3375111,0.3107657,-0.0267454
52,-0.59251547,-0.577453,"('irrational', 'rational')",-0.5925155,-0.577453,0.0150625
53,-0.22092304,-0.21023715,"('uncreative', 'creative')",-0.220923,-0.2102371,0.0106859
54,1.044914,1.2517707,"('incapable', 'capable')",1.044914,1.2517707,0.2068567
55,0.69389725,0.5192088,"('incompetent', 'clever')",0.6938972,0.5192088,-0.1746884
56,1.2245481,1.1841677,"('impractical', 'practical')",1.2245481,1.1841677,-0.0403804
57,-2.7100396,-2.684931,"('unimaginative', 'imaginative')",-2.7100396,-2.684931,0.0251086
58,-0.3136337,-0.30955884,"('undiscriminating', 'discriminating')",-0.3136337,-0.3095588,0.0040749
59,-0.30203488,-0.14905918,"('foolish', 'wise')",-0.3020349,-0.1490592,0.1529757
60,1.2273012,1.1383779,"('inefficient', 'efficient')",1.2273012,1.1383779,-0.0889233
61,0.6245371,0.3749378,"('illogical', 'logical')",0.6245371,0.3749378,-0.2495993
62,1.413999,1.399846,"('incompetent', 'brilliant')",1.413999,1.399846,-0.014153
63,0.2221616,0.24537064,"('unperceptive', 'insightful')",0.2221616,0.2453706,0.023209
64,-6.414471,-6.391211,"('shy', 'confident')",-6.4144711,-6.391211,0.0232601
65,0.47324854,0.3464187,"('insecure', 'secure')",0.4732485,0.3464187,-0.1268298
66,-0.63972026,-0.5305091,"('inactive', 'active')",-0.6397203,-0.5305091,0.1092112
67,-0.6483626,-0.52233887,"('doubtful', 'determined')",-0.6483626,-0.5223389,0.1260237
68,-0.574487,-0.6549403,"('dependent', 'independent')",-0.574487,-0.6549403,-0.0804533
69,-1.7761698,-1.6648433,"('lazy', 'industrious')",-1.7761698,-1.6648433,0.1113265
70,1.1518195,1.1309156,"('lethargic', 'energetic')",1.1518195,1.1309156,-0.0209039
71,0.21668535,0.32478637,"('diffident', 'self-confident')",0.2166854,0.3247864,0.108101
72,0.48476928,0.5455499,"('unambitious', 'ambitious')",0.4847693,0.5455499,0.0607806
73,-3.152069,-3.1054273,"('helpless', 'self-reliant')",-3.1520691,-3.1054273,0.0466418
74,0.03152253,-0.06307602,"('undedicated', 'dedicated')",0.0315225,-0.063076,-0.0945985
75,-1.0249262,-0.7909344,"('meek', 'impulsive')",-1.0249262,-0.7909344,0.2339918
76,0.40639743,0.23356584,"('anxious', 'daring')",0.4063974,0.2335658,-0.1728316
77,-0.9553197,-0.9329278,"('unmotivated', 'motivated')",-0.9553197,-0.9329278,0.0223919
78,-0.55367,-0.61806107,"('nonresilient', 'resilient')",-0.55367,-0.6180611,-0.0643911
79,-0.55687904,-0.4573724,"('wavering', 'unwavering')",-0.556879,-0.4573724,0.0995066
80,-0.33513024,-0.495163,"('dominated', 'dominating')",-0.3351302,-0.495163,-0.1600328
81,0.44382268,0.32796916,"('submissive', 'aggressive')",0.4438227,0.3279692,-0.1158535
