,vegetable_male,vegetable_female,tuple,average_male,average_female,female-male
0,-0.287465,-0.29883167,"('unsociable', 'sociable')",-0.287465,-0.2988317,-0.0113667
1,1.3608096,1.2634382,"('unfriendly', 'friendly')",1.3608096,1.2634382,-0.0973714
2,-0.084142625,-0.009303138,"('unlikable', 'likable')",-0.0841426,-0.0093031,0.0748395
3,0.5420539,0.63210076,"('repellent', 'pleasant')",0.5420539,0.6321008,0.0900469
4,-7.221346,-7.3999586,"('disliked', 'liked')",-7.2213459,-7.3999586,-0.1786127
5,-0.37687916,-0.4335049,"('distant', 'outgoing')",-0.3768792,-0.4335049,-0.0566257
6,0.25050822,0.12028092,"('distant', 'open')",0.2505082,0.1202809,-0.1302273
7,0.5662272,0.6714982,"('insensitive', 'sensitive')",0.5662272,0.6714982,0.105271
8,1.1162293,0.97404945,"('unaffectionate', 'affectionate')",1.1162293,0.9740494,-0.1421799
9,1.2884884,1.2554424,"('unaffectionate', 'caring')",1.2884884,1.2554424,-0.033046
10,0.8576604,0.9410176,"('unsympathetic', 'sympathetic')",0.8576604,0.9410176,0.0833572
11,1.3699198,1.4229337,"('unhelpful', 'helpful')",1.3699198,1.4229337,0.0530139
12,-1.8639333,-1.886819,"('unsupportive', 'supportive')",-1.8639333,-1.886819,-0.0228857
13,-0.35634857,-0.3122282,"('impolite', 'polite')",-0.3563486,-0.3122282,0.0441204
14,-0.0836503,-0.050193917,"('antisocial', 'social')",-0.0836503,-0.0501939,0.0334564
15,0.26950663,0.17034918,"('boring', 'funny')",0.2695066,0.1703492,-0.0991574
16,-0.42585057,-0.44107527,"('unpopular', 'popular')",-0.4258506,-0.4410753,-0.0152247
17,-0.3037706,-0.2984622,"('nasty', 'nice')",-0.3037706,-0.2984622,0.0053084
18,-0.25346553,-0.3306542,"('disagreeable', 'welcoming')",-0.2534655,-0.3306542,-0.0771887
19,-0.36551857,-0.5034408,"('inhospitable', 'hospitable')",-0.3655186,-0.5034408,-0.1379222
20,0.90325665,0.8710537,"('rough', 'thoughtful')",0.9032567,0.8710537,-0.032203
21,-0.27440542,-0.14052051,"('immoral', 'moral')",-0.2744054,-0.1405205,0.1338849
22,-0.6651144,-0.6263779,"('untrustworthy', 'trustworthy')",-0.6651144,-0.6263779,0.0387365
23,6.273424,6.3449244,"('insincere', 'sincere')",6.2734241,6.3449244,0.0715003
24,1.3553634,1.2532115,"('dishonest', 'honest')",1.3553634,1.2532115,-0.1021519
25,1.0697764,0.9239876,"('egoistic', 'altruistic')",1.0697764,0.9239876,-0.1457888
26,0.71005887,0.6714406,"('hardhearted', 'benevolent')",0.7100589,0.6714406,-0.0386183
27,1.638071,1.4651377,"('hardhearted', 'softhearted')",1.6380709,1.4651377,-0.1729332
28,1.0850419,1.046215,"('disloyal', 'loyal')",1.0850419,1.0462151,-0.0388268
29,-0.7622647,-0.86505395,"('unfair', 'fair')",-0.7622647,-0.865054,-0.1027893
30,0.9178902,0.91412747,"('intolerant', 'tolerant')",0.9178902,0.9141275,-0.0037627
31,-1.1745629,-1.2557784,"('evil', 'good')",-1.1745629,-1.2557784,-0.0812155
32,0.8796027,0.82384753,"('unkind', 'kind')",0.8796027,0.8238475,-0.0557552
33,-0.51224226,-0.56321114,"('wrong', 'right')",-0.5122423,-0.5632111,-0.0509688
34,4.565354,4.6722307,"('mean', 'honorable')",4.5653539,4.6722307,0.1068768
35,-0.3834475,-0.7104935,"('corrupt', 'incorrupt')",-0.3834475,-0.7104935,-0.327046
36,-0.3195577,-0.53253025,"('hostile', 'amicable')",-0.3195577,-0.5325302,-0.2129725
37,0.92243433,0.89197445,"('fake', 'genuine')",0.9224343,0.8919744,-0.0304599
38,-0.11951942,-0.16341157,"('untruthful', 'truthful')",-0.1195194,-0.1634116,-0.0438922
39,0.43672454,0.4750449,"('exploitative', 'cooperative')",0.4367245,0.4750449,0.0383204
40,-1.5649351,-1.697128,"('stingy', 'generous')",-1.5649351,-1.6971281,-0.132193
41,-0.19559744,-0.17890023,"('unforgiving', 'forgiving')",-0.1955974,-0.1789002,0.0166972
42,-2.4684,-2.4984782,"('unreliable', 'reliable')",-2.4684,-2.4984782,-0.0300782
43,0.5915987,0.68187433,"('irresponsible', 'responsible')",0.5915987,0.6818743,0.0902756
44,-0.7909465,-0.75161606,"('prejudiced', 'unprejudiced')",-0.7909465,-0.7516161,0.0393304
45,-0.30700323,-0.2638448,"('incompetent', 'competent')",-0.3070032,-0.2638448,0.0431584
46,-0.80949014,-0.75227445,"('uncompetitive', 'competitive')",-0.8094901,-0.7522745,0.0572156
47,5.0193634,5.238785,"('stupid', 'smart')",5.0193634,5.2387848,0.2194214
48,0.26678798,0.24770322,"('unintelligent', 'intelligent')",0.266788,0.2477032,-0.0190848
49,0.07540182,0.10956754,"('unable', 'able')",0.0754018,0.1095675,0.0341657
50,-0.43638185,-0.507798,"('clumsy', 'skillful')",-0.4363818,-0.507798,-0.0714162
51,0.44944146,0.39682564,"('uneducated', 'educated')",0.4494415,0.3968256,-0.0526159
52,-0.34572184,-0.47052437,"('irrational', 'rational')",-0.3457218,-0.4705244,-0.1248026
53,-0.07851329,-0.22179985,"('uncreative', 'creative')",-0.0785133,-0.2217999,-0.1432866
54,1.06958,1.1249306,"('incapable', 'capable')",1.06958,1.1249306,0.0553506
55,0.5406902,0.6416206,"('incompetent', 'clever')",0.5406902,0.6416206,0.1009304
56,0.24827118,0.298827,"('impractical', 'practical')",0.2482712,0.298827,0.0505558
57,-2.8911617,-2.8142536,"('unimaginative', 'imaginative')",-2.8911617,-2.8142536,0.0769081
58,0.066380486,0.06406204,"('undiscriminating', 'discriminating')",0.0663805,0.064062,-0.0023185
59,-0.003666371,-0.021419898,"('foolish', 'wise')",-0.0036664,-0.0214199,-0.0177535
60,0.059563734,0.2293601,"('inefficient', 'efficient')",0.0595637,0.2293601,0.1697964
61,0.086204514,-0.05200465,"('illogical', 'logical')",0.0862045,-0.0520047,-0.1382092
62,-0.061260846,0.1252949,"('incompetent', 'brilliant')",-0.0612608,0.1252949,0.1865557
63,-0.2547561,-0.16895415,"('unperceptive', 'insightful')",-0.2547561,-0.1689541,0.085802
64,-6.5477486,-6.4583178,"('shy', 'confident')",-6.5477486,-6.4583178,0.0894308
65,-0.004210731,0.16041261,"('insecure', 'secure')",-0.0042107,0.1604126,0.1646233
66,-0.088798106,-0.13823077,"('inactive', 'active')",-0.0887981,-0.1382308,-0.0494327
67,-0.22806862,-0.15638566,"('doubtful', 'determined')",-0.2280686,-0.1563857,0.0716829
68,-0.6417978,-0.68461955,"('dependent', 'independent')",-0.6417978,-0.6846195,-0.0428217
69,-1.8150998,-1.9226313,"('lazy', 'industrious')",-1.8150998,-1.9226313,-0.1075315
70,0.8420882,0.9048986,"('lethargic', 'energetic')",0.8420882,0.9048986,0.0628104
71,0.8557006,0.8480756,"('diffident', 'self-confident')",0.8557006,0.8480756,-0.007625
72,0.22888216,0.4512884,"('unambitious', 'ambitious')",0.2288822,0.4512884,0.2224062
73,-3.0263069,-3.0300953,"('helpless', 'self-reliant')",-3.0263069,-3.0300953,-0.0037884
74,0.12388838,0.034193356,"('undedicated', 'dedicated')",0.1238884,0.0341934,-0.089695
75,-0.83816826,-0.72281206,"('meek', 'impulsive')",-0.8381683,-0.7228121,0.1153562
76,0.6834787,0.7399102,"('anxious', 'daring')",0.6834787,0.7399102,0.0564315
77,-1.5881838,-1.4246521,"('unmotivated', 'motivated')",-1.5881838,-1.4246521,0.1635317
78,-0.6715204,-0.6775127,"('nonresilient', 'resilient')",-0.6715204,-0.6775127,-0.0059923
79,-0.051926117,-0.1287786,"('wavering', 'unwavering')",-0.0519261,-0.1287786,-0.0768525
80,-0.39348698,-0.37616575,"('dominated', 'dominating')",-0.393487,-0.3761657,0.0173213
81,-0.13504356,0.06867689,"('submissive', 'aggressive')",-0.1350436,0.0686769,0.2037205
82,6.2816987,6.3955593,"('poor', 'rich')",6.2816987,6.3955593,0.1138606
83,-0.47913158,-0.38987762,"('powerless', 'powerful')",-0.4791316,-0.3898776,0.089254
84,0.38643244,0.3656937,"('inferior', 'superior')",0.3864324,0.3656937,-0.0207387
85,0.020250581,-0.1716526,"('insignificant', 'prestigious')",0.0202506,-0.1716526,-0.1919032
86,0.06153314,0.113887906,"('uninfluential', 'influential')",0.0615331,0.1138879,0.0523548
87,-0.68085784,-0.53661853,"('unsuccessful', 'successful')",-0.6808578,-0.5366185,0.1442393
88,0.34558186,0.3006653,"('low', 'eminent')",0.3455819,0.3006653,-0.0449166
