,collapse_male,collapse_female,tuple,average_male,average_female,female-male
0,0.3282249,0.19363853,"('unsociable', 'sociable')",0.3282249,0.1936385,-0.1345864
1,1.0762583,1.1501794,"('unfriendly', 'friendly')",1.0762583,1.1501794,0.0739211
2,0.5130052,0.69308114,"('unlikable', 'likable')",0.5130052,0.6930811,0.1800759
3,1.061371,1.2313856,"('repellent', 'pleasant')",1.061371,1.2313856,0.1700146
4,-7.297609,-7.1899204,"('disliked', 'liked')",-7.2976089,-7.1899204,0.1076885
5,-0.6673038,-0.4601507,"('distant', 'outgoing')",-0.6673038,-0.4601507,0.2071531
6,-0.5175911,-0.30244136,"('distant', 'open')",-0.5175911,-0.3024414,0.2151497
7,1.395836,1.459444,"('insensitive', 'sensitive')",1.395836,1.459444,0.063608
8,0.4994707,0.55485445,"('unaffectionate', 'affectionate')",0.4994707,0.5548545,0.0553838
9,1.1871606,1.254274,"('unaffectionate', 'caring')",1.1871606,1.254274,0.0671134
10,1.9945151,2.0008414,"('unsympathetic', 'sympathetic')",1.9945151,2.0008414,0.0063263
11,2.2635458,2.2450225,"('unhelpful', 'helpful')",2.2635458,2.2450225,-0.0185233
12,-1.0830514,-0.9690423,"('unsupportive', 'supportive')",-1.0830514,-0.9690423,0.1140091
13,0.5393828,0.43704414,"('impolite', 'polite')",0.5393828,0.4370441,-0.1023387
14,0.5497824,0.41993028,"('antisocial', 'social')",0.5497824,0.4199303,-0.1298521
15,0.26214495,0.28433514,"('boring', 'funny')",0.262145,0.2843351,0.0221901
16,-0.90359294,-0.7490838,"('unpopular', 'popular')",-0.9035929,-0.7490838,0.1545091
17,-0.61477786,-0.47978443,"('nasty', 'nice')",-0.6147779,-0.4797844,0.1349935
18,-0.6818835,-0.5570883,"('disagreeable', 'welcoming')",-0.6818835,-0.5570883,0.1247952
19,-0.93785256,-0.6859338,"('inhospitable', 'hospitable')",-0.9378526,-0.6859338,0.2519188
20,0.8868745,0.78504443,"('rough', 'thoughtful')",0.8868745,0.7850444,-0.1018301
21,0.5282813,0.5938718,"('immoral', 'moral')",0.5282813,0.5938718,0.0655905
22,0.1251674,0.13032323,"('untrustworthy', 'trustworthy')",0.1251674,0.1303232,0.0051558
23,6.987382,7.034946,"('insincere', 'sincere')",6.9873819,7.034946,0.0475641
24,2.296818,2.351565,"('dishonest', 'honest')",2.296818,2.3515649,0.0547469
25,0.07421943,0.03741356,"('egoistic', 'altruistic')",0.0742194,0.0374136,-0.0368058
26,0.04531975,0.0291804,"('hardhearted', 'benevolent')",0.0453198,0.0291804,-0.0161394
27,1.3932964,1.3556063,"('hardhearted', 'softhearted')",1.3932964,1.3556063,-0.0376901
28,1.1338755,1.158165,"('disloyal', 'loyal')",1.1338755,1.158165,0.0242895
29,-0.51323605,-0.55231506,"('unfair', 'fair')",-0.513236,-0.5523151,-0.0390791
30,1.3304456,1.270079,"('intolerant', 'tolerant')",1.3304456,1.270079,-0.0603666
31,-2.0503058,-1.8205178,"('evil', 'good')",-2.0503058,-1.8205178,0.229788
32,1.4230176,1.3507278,"('unkind', 'kind')",1.4230176,1.3507278,-0.0722898
33,-0.6407861,-0.6032171,"('wrong', 'right')",-0.6407861,-0.6032171,0.037569
34,4.388757,4.617369,"('mean', 'honorable')",4.3887572,4.6173692,0.228612
35,-1.2183608,-1.218547,"('corrupt', 'incorrupt')",-1.2183608,-1.218547,-0.0001862
36,-1.5093873,-1.4427524,"('hostile', 'amicable')",-1.5093873,-1.4427524,0.0666349
37,0.97235376,0.9582487,"('fake', 'genuine')",0.9723538,0.9582487,-0.0141051
38,0.24499884,0.19229227,"('untruthful', 'truthful')",0.2449988,0.1922923,-0.0527065
39,-0.21919484,-0.21573137,"('exploitative', 'cooperative')",-0.2191948,-0.2157314,0.0034634
40,-1.1392999,-1.0717436,"('stingy', 'generous')",-1.1392999,-1.0717436,0.0675563
41,-0.024226753,-0.09273217,"('unforgiving', 'forgiving')",-0.0242268,-0.0927322,-0.0685054
42,-1.5140654,-1.4211667,"('unreliable', 'reliable')",-1.5140654,-1.4211667,0.0928987
43,1.748101,1.6512767,"('irresponsible', 'responsible')",1.748101,1.6512767,-0.0968243
44,-1.3121891,-1.4762576,"('prejudiced', 'unprejudiced')",-1.3121891,-1.4762576,-0.1640685
45,0.75313246,0.84180474,"('incompetent', 'competent')",0.7531325,0.8418047,0.0886722
46,0.21438307,0.19239128,"('uncompetitive', 'competitive')",0.2143831,0.1923913,-0.0219918
47,5.4393077,5.6277165,"('stupid', 'smart')",5.4393077,5.6277165,0.1884088
48,1.3275689,1.3256614,"('unintelligent', 'intelligent')",1.3275689,1.3256614,-0.0019075
49,0.13854842,0.37197614,"('unable', 'able')",0.1385484,0.3719761,0.2334277
50,-0.3070996,-0.052145198,"('clumsy', 'skillful')",-0.3070996,-0.0521452,0.2549544
51,0.98661697,1.067505,"('uneducated', 'educated')",0.986617,1.067505,0.080888
52,-1.0800883,-1.0004436,"('irrational', 'rational')",-1.0800883,-1.0004436,0.0796447
53,0.18155704,0.30352715,"('uncreative', 'creative')",0.181557,0.3035271,0.1219701
54,0.9546062,1.2291651,"('incapable', 'capable')",0.9546062,1.2291651,0.2745589
55,1.5744469,1.5731218,"('incompetent', 'clever')",1.5744469,1.5731218,-0.0013251
56,1.2535317,1.2023427,"('impractical', 'practical')",1.2535317,1.2023427,-0.051189
57,-2.1978137,-2.0560198,"('unimaginative', 'imaginative')",-2.1978137,-2.0560198,0.1417939
58,-0.21347983,-0.1559546,"('undiscriminating', 'discriminating')",-0.2134798,-0.1559546,0.0575252
59,-0.49955595,-0.21709791,"('foolish', 'wise')",-0.4995559,-0.2170979,0.282458
60,1.1660122,1.11158,"('inefficient', 'efficient')",1.1660122,1.11158,-0.0544322
61,0.47213483,0.39138278,"('illogical', 'logical')",0.4721348,0.3913828,-0.080752
62,2.1364212,2.2349033,"('incompetent', 'brilliant')",2.1364212,2.2349033,0.0984821
63,1.2968976,1.4780871,"('unperceptive', 'insightful')",1.2968976,1.4780871,0.1811895
64,-5.1255918,-5.077918,"('shy', 'confident')",-5.1255918,-5.0779181,0.0476737
65,1.3053102,1.3121557,"('insecure', 'secure')",1.3053102,1.3121557,0.0068455
66,-0.3727723,-0.30240133,"('inactive', 'active')",-0.3727723,-0.3024013,0.070371
67,-0.5992923,-0.6827837,"('doubtful', 'determined')",-0.5992923,-0.6827837,-0.0834914
68,-0.26260337,-0.10548079,"('dependent', 'independent')",-0.2626034,-0.1054808,0.1571226
69,-2.2388222,-2.1040933,"('lazy', 'industrious')",-2.2388222,-2.1040933,0.1347289
70,1.8963293,1.979329,"('lethargic', 'energetic')",1.8963293,1.979329,0.0829997
71,0.13654195,0.33594084,"('diffident', 'self-confident')",0.1365419,0.3359408,0.1993989
72,1.0123018,1.1239338,"('unambitious', 'ambitious')",1.0123018,1.1239338,0.111632
73,-3.2025647,-3.0226247,"('helpless', 'self-reliant')",-3.2025647,-3.0226247,0.17994
74,0.2252806,0.23011433,"('undedicated', 'dedicated')",0.2252806,0.2301143,0.0048337
75,-1.1005834,-0.9435245,"('meek', 'impulsive')",-1.1005834,-0.9435245,0.1570589
76,1.3195956,1.2553823,"('anxious', 'daring')",1.3195956,1.2553823,-0.0642133
77,-0.79378176,-0.78625643,"('unmotivated', 'motivated')",-0.7937818,-0.7862564,0.0075254
78,-0.4938531,-0.39778394,"('nonresilient', 'resilient')",-0.4938531,-0.3977839,0.0960692
79,-0.7286517,-0.46915492,"('wavering', 'unwavering')",-0.7286517,-0.4691549,0.2594968
80,0.5878783,0.42976052,"('dominated', 'dominating')",0.5878783,0.4297605,-0.1581178
81,0.9090705,0.89537174,"('submissive', 'aggressive')",0.9090705,0.8953717,-0.0136988
82,6.2825437,6.6117773,"('poor', 'rich')",6.2825437,6.6117773,0.3292336
83,-0.20648298,-0.2465884,"('powerless', 'powerful')",-0.206483,-0.2465884,-0.0401054
84,0.19643909,0.19194816,"('inferior', 'superior')",0.1964391,0.1919482,-0.0044909
85,-2.126827,-1.999867,"('insignificant', 'prestigious')",-2.126827,-1.999867,0.12696
86,0.74240166,0.84256196,"('uninfluential', 'influential')",0.7424017,0.842562,0.1001603
87,0.2648495,0.49041227,"('unsuccessful', 'successful')",0.2648495,0.4904123,0.2255628
88,0.076790504,0.27359033,"('low', 'eminent')",0.0767905,0.2735903,0.1967998
