,carnival_male,carnival_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,1.5302926,1.4159851,"('unsociable', 'sociable')",-0.18937308,-0.28026032,0.6704597,0.5678624,-0.1025973
1,-0.47817135,-0.48660916,"('unfriendly', 'friendly')",1.4703354,1.4456896,0.496082,0.4795402,-0.0165418
2,0.036901228,-0.050571024,"('unlikable', 'likable')",0.48088366,0.38040355,0.2588924,0.1649163,-0.0939761
3,0.6494533,0.8308044,"('repellent', 'pleasant')",1.0531428,1.1982265,0.851298,1.0145154,0.1632174
4,-1.4478936,-1.4683373,"('disliked', 'liked')",-7.5927596,-7.671202,-4.5203266,-4.5697699,-0.0494433
5,-1.1129848,-1.1906319,"('distant', 'outgoing')",-0.22408697,-0.13902035,-0.6685359,-0.6648261,0.0037098
6,-1.8063009,-1.8442898,"('distant', 'open')",-0.34714213,-0.22159891,-1.0767215,-1.0329443,0.0437772
7,1.1868502,1.3103008,"('insensitive', 'sensitive')",0.5694378,0.6894596,0.878144,0.9998802,0.1217362
8,-0.047643512,-0.060355037,"('unaffectionate', 'affectionate')",0.88061213,0.86089784,0.4164843,0.4002714,-0.0162129
9,0.85134757,0.9518405,"('unaffectionate', 'caring')",1.3774035,1.564318,1.1143756,1.2580793,0.1437037
10,1.173475,1.1390868,"('unsympathetic', 'sympathetic')",-0.52462953,-0.47018895,0.3244227,0.3344489,0.0100262
11,0.6183654,0.69308573,"('unhelpful', 'helpful')",1.9284968,2.0678396,1.2734311,1.3804626,0.1070315
12,1.1200856,1.1663092,"('unsupportive', 'supportive')",-1.9723861,-1.8852452,-0.4261503,-0.359468,0.0666823
13,1.4130834,1.1285832,"('impolite', 'polite')",-0.6371408,-0.7138053,0.3879713,0.2073889,-0.1805824
14,2.119253,2.0678399,"('antisocial', 'social')",0.023271436,-0.09816041,1.0712621,0.9848397,-0.0864224
15,0.342716,0.17185692,"('boring', 'funny')",-0.090006225,-0.14958557,0.1263549,0.0111357,-0.1152192
16,-1.2082452,-1.1797649,"('unpopular', 'popular')",0.09735608,0.09967029,-0.5554445,-0.5400473,0.0153972
17,-0.9415203,-0.8817317,"('nasty', 'nice')",-0.29516485,-0.27924076,-0.6183426,-0.5804862,0.0378564
18,-0.080646455,-0.28229272,"('disagreeable', 'welcoming')",-0.37333497,-0.39629322,-0.2269907,-0.339293,-0.1123023
19,-1.3581074,-1.3670655,"('inhospitable', 'hospitable')",-0.42748103,-0.3848374,-0.8927943,-0.8759515,0.0168428
20,-0.24816376,-0.13340488,"('rough', 'thoughtful')",0.70800227,0.6971402,0.2299193,0.2818677,0.0519484
21,1.6978881,1.621621,"('immoral', 'moral')",-0.32168666,-0.3002465,0.6881008,0.6606873,-0.0274135
22,-0.021390017,-0.07455324,"('untrustworthy', 'trustworthy')",-0.75297666,-0.68142056,-0.3871833,-0.3779869,0.0091964
23,1.5333729,1.6430155,"('insincere', 'sincere')",6.677025,6.799273,4.1051989,4.2211442,0.1159453
24,0.93576723,0.98589885,"('dishonest', 'honest')",0.96218026,1.0622001,0.9489738,1.0240495,0.0750757
25,-0.78251076,-0.7390709,"('egoistic', 'altruistic')",1.4869006,1.3712326,0.3521949,0.3160809,-0.036114
26,1.3837212,1.1660655,"('hardhearted', 'benevolent')",1.3699706,1.0796078,1.3768458,1.1228366,-0.2540092
27,0.7454601,0.7879846,"('hardhearted', 'softhearted')",1.4616338,1.4478499,1.103547,1.1179173,0.0143703
28,0.11244538,0.082340665,"('disloyal', 'loyal')",1.285451,1.3299531,0.6989482,0.7061469,0.0071987
29,-0.4983319,-0.5539814,"('unfair', 'fair')",-0.2648264,-0.4508716,-0.3815792,-0.5024265,-0.1208473
30,2.5220828,2.4669132,"('intolerant', 'tolerant')",0.8864659,0.8782292,1.7042744,1.6725712,-0.0317032
31,-2.7545018,-2.8355591,"('evil', 'good')",-0.9314999,-0.97235733,-1.8430009,-1.9039582,-0.0609573
32,1.3804941,1.2298251,"('unkind', 'kind')",1.0154836,0.7285511,1.1979889,0.9791881,-0.2188008
