,editorial_male,editorial_female,tuple,average_male,average_female,female-male
0,-0.49591982,-0.6789802,"('unsociable', 'sociable')",-0.4959198,-0.6789802,-0.1830604
1,1.6097388,1.647014,"('unfriendly', 'friendly')",1.6097388,1.647014,0.0372752
2,0.57752776,0.6955956,"('unlikable', 'likable')",0.5775278,0.6955956,0.1180678
3,0.23263562,0.18711878,"('repellent', 'pleasant')",0.2326356,0.1871188,-0.0455168
4,-7.43397,-7.3913984,"('disliked', 'liked')",-7.43397,-7.3913984,0.0425716
5,0.03121049,0.1860569,"('distant', 'outgoing')",0.0312105,0.1860569,0.1548464
6,0.27254933,0.431292,"('distant', 'open')",0.2725493,0.431292,0.1587427
7,0.1841161,0.28283066,"('insensitive', 'sensitive')",0.1841161,0.2828307,0.0987146
8,1.5116693,1.5717386,"('unaffectionate', 'affectionate')",1.5116693,1.5717386,0.0600693
9,1.8775113,2.0411148,"('unaffectionate', 'caring')",1.8775113,2.0411148,0.1636035
10,0.14942601,0.20785463,"('unsympathetic', 'sympathetic')",0.149426,0.2078546,0.0584286
11,1.9196225,1.9836701,"('unhelpful', 'helpful')",1.9196225,1.9836701,0.0640476
12,-1.8376185,-1.7399651,"('unsupportive', 'supportive')",-1.8376185,-1.7399651,0.0976534
13,-0.3795335,-0.51809335,"('impolite', 'polite')",-0.3795335,-0.5180933,-0.1385598
14,-0.36093137,-0.5544839,"('antisocial', 'social')",-0.3609314,-0.5544839,-0.1935525
15,0.24903944,0.22394477,"('boring', 'funny')",0.2490394,0.2239448,-0.0250946
16,-0.38582876,-0.38610685,"('unpopular', 'popular')",-0.3858288,-0.3861068,-0.000278
17,-0.5498799,-0.5041808,"('nasty', 'nice')",-0.5498799,-0.5041808,0.0456991
18,-0.5584357,-0.6130037,"('disagreeable', 'welcoming')",-0.5584357,-0.6130037,-0.054568
19,-0.44704685,-0.28120995,"('inhospitable', 'hospitable')",-0.4470468,-0.2812099,0.1658369
20,0.9287981,0.8507383,"('rough', 'thoughtful')",0.9287981,0.8507383,-0.0780598
21,-0.003317792,0.024876429,"('immoral', 'moral')",-0.0033178,0.0248764,0.0281942
22,-0.85283506,-0.86869955,"('untrustworthy', 'trustworthy')",-0.8528351,-0.8686996,-0.0158645
23,6.4727077,6.4048395,"('insincere', 'sincere')",6.4727077,6.4048395,-0.0678682
24,1.6353272,1.5984579,"('dishonest', 'honest')",1.6353272,1.5984579,-0.0368693
25,0.8514635,0.789255,"('egoistic', 'altruistic')",0.8514635,0.789255,-0.0622085
26,1.3072872,1.1840107,"('hardhearted', 'benevolent')",1.3072872,1.1840107,-0.1232765
27,1.4779587,1.4183121,"('hardhearted', 'softhearted')",1.4779587,1.4183121,-0.0596466
28,1.2333014,1.1796834,"('disloyal', 'loyal')",1.2333014,1.1796834,-0.053618
29,-0.70455843,-0.8512254,"('unfair', 'fair')",-0.7045584,-0.8512254,-0.146667
30,0.73882586,0.7317676,"('intolerant', 'tolerant')",0.7388259,0.7317676,-0.0070583
31,-1.2753947,-1.1888556,"('evil', 'good')",-1.2753947,-1.1888556,0.0865391
32,1.3760052,1.2137858,"('unkind', 'kind')",1.3760052,1.2137858,-0.1622194
33,0.117853135,0.1312061,"('wrong', 'right')",0.1178531,0.1312061,0.013353
34,5.0075483,5.126337,"('mean', 'honorable')",5.0075483,5.1263371,0.1187888
35,-0.6689068,-0.736082,"('corrupt', 'incorrupt')",-0.6689068,-0.736082,-0.0671752
36,-0.29603034,-0.31936052,"('hostile', 'amicable')",-0.2960303,-0.3193605,-0.0233302
37,1.0485685,1.1372614,"('fake', 'genuine')",1.0485685,1.1372614,0.0886929
38,0.39547107,0.42536533,"('untruthful', 'truthful')",0.3954711,0.4253653,0.0298942
39,0.044412576,-0.009275502,"('exploitative', 'cooperative')",0.0444126,-0.0092755,-0.0536881
40,-2.4269252,-2.5140731,"('stingy', 'generous')",-2.4269252,-2.5140731,-0.0871479
41,-0.018795,-0.056215327,"('unforgiving', 'forgiving')",-0.018795,-0.0562153,-0.0374203
42,-2.9499989,-2.7416077,"('unreliable', 'reliable')",-2.9499989,-2.7416077,0.2083912
43,1.1496391,1.2117465,"('irresponsible', 'responsible')",1.1496391,1.2117465,0.0621074
44,-1.0441865,-1.0471348,"('prejudiced', 'unprejudiced')",-1.0441865,-1.0471348,-0.0029483
45,-0.18538184,-0.15455812,"('incompetent', 'competent')",-0.1853818,-0.1545581,0.0308237
46,-1.0658962,-1.0045766,"('uncompetitive', 'competitive')",-1.0658962,-1.0045766,0.0613196
47,5.5992465,5.636555,"('stupid', 'smart')",5.5992465,5.6365552,0.0373087
48,0.5715538,0.50733703,"('unintelligent', 'intelligent')",0.5715538,0.507337,-0.0642168
49,0.27995858,0.42100197,"('unable', 'able')",0.2799586,0.421002,0.1410434
50,-0.15094075,-0.07832453,"('clumsy', 'skillful')",-0.1509407,-0.0783245,0.0726162
51,-0.16634148,-0.25757664,"('uneducated', 'educated')",-0.1663415,-0.2575766,-0.0912351
52,0.2928742,0.16408458,"('irrational', 'rational')",0.2928742,0.1640846,-0.1287896
53,0.6748497,0.76910657,"('uncreative', 'creative')",0.6748497,0.7691066,0.0942569
54,1.406294,1.5744022,"('incapable', 'capable')",1.406294,1.5744022,0.1681082
55,-0.01917288,0.01534378,"('incompetent', 'clever')",-0.0191729,0.0153438,0.0345167
56,0.5810662,0.56646705,"('impractical', 'practical')",0.5810662,0.566467,-0.0145992
57,-3.0661058,-2.9426043,"('unimaginative', 'imaginative')",-3.0661058,-2.9426043,0.1235015
58,0.054160014,0.12679191,"('undiscriminating', 'discriminating')",0.05416,0.1267919,0.0726319
59,0.44111684,0.5019435,"('foolish', 'wise')",0.4411168,0.5019435,0.0608267
60,0.60552436,0.67567056,"('inefficient', 'efficient')",0.6055244,0.6756706,0.0701462
61,0.12190792,-0.07335092,"('illogical', 'logical')",0.1219079,-0.0733509,-0.1952588
62,0.6066728,0.752682,"('incompetent', 'brilliant')",0.6066728,0.752682,0.1460092
63,0.23994847,0.2927035,"('unperceptive', 'insightful')",0.2399485,0.2927035,0.052755
64,-6.4889293,-6.387433,"('shy', 'confident')",-6.4889293,-6.3874331,0.1014962
65,-0.028546715,-0.0817018,"('insecure', 'secure')",-0.0285467,-0.0817018,-0.0531551
66,-0.21321294,-0.13579987,"('inactive', 'active')",-0.2132129,-0.1357999,0.077413
67,-0.26565313,-0.3218813,"('doubtful', 'determined')",-0.2656531,-0.3218813,-0.0562282
68,-0.5775872,-0.63768244,"('dependent', 'independent')",-0.5775872,-0.6376824,-0.0600952
69,-1.4077222,-1.338956,"('lazy', 'industrious')",-1.4077222,-1.338956,0.0687662
70,0.18325089,0.284688,"('lethargic', 'energetic')",0.1832509,0.284688,0.1014371
71,0.47588044,0.49591836,"('diffident', 'self-confident')",0.4758804,0.4959184,0.020038
72,0.7047837,0.7801199,"('unambitious', 'ambitious')",0.7047837,0.7801199,0.0753362
73,-3.0697954,-2.9532018,"('helpless', 'self-reliant')",-3.0697954,-2.9532018,0.1165936
74,-0.09735508,-0.20468484,"('undedicated', 'dedicated')",-0.0973551,-0.2046848,-0.1073297
75,-0.8902152,-0.7178304,"('meek', 'impulsive')",-0.8902152,-0.7178304,0.1723848
76,0.13920967,0.024444258,"('anxious', 'daring')",0.1392097,0.0244443,-0.1147654
77,-1.5397892,-1.4371706,"('unmotivated', 'motivated')",-1.5397892,-1.4371706,0.1026186
78,-0.5859814,-0.5660615,"('nonresilient', 'resilient')",-0.5859814,-0.5660615,0.0199199
79,-0.16075993,-0.015705585,"('wavering', 'unwavering')",-0.1607599,-0.0157056,0.1450543
80,-0.58347714,-0.71748316,"('dominated', 'dominating')",-0.5834771,-0.7174832,-0.1340061
81,-0.5632527,-0.5469121,"('submissive', 'aggressive')",-0.5632527,-0.5469121,0.0163406
82,6.34637,6.4454784,"('poor', 'rich')",6.3463702,6.4454784,0.0991082
83,-0.11013682,-0.13076468,"('powerless', 'powerful')",-0.1101368,-0.1307647,-0.0206279
84,0.00054135546,0.02553649,"('inferior', 'superior')",0.0005414,0.0255365,0.0249951
85,-0.04346989,-0.11158356,"('insignificant', 'prestigious')",-0.0434699,-0.1115836,-0.0681137
86,0.25552076,0.2356513,"('uninfluential', 'influential')",0.2555208,0.2356513,-0.0198695
87,-0.32570878,-0.3029168,"('unsuccessful', 'successful')",-0.3257088,-0.3029168,0.022792
88,0.407114,0.39322516,"('low', 'eminent')",0.407114,0.3932252,-0.0138888
