,volcano_male,volcano_female,tuple,average_male,average_female,female-male
0,0.12860793,0.07184833,"('unsociable', 'sociable')",0.1286079,0.0718483,-0.0567596
1,1.1391122,1.1604043,"('unfriendly', 'friendly')",1.1391122,1.1604043,0.0212921
2,0.433571,0.58219016,"('unlikable', 'likable')",0.433571,0.5821902,0.1486192
3,0.82546276,0.8531275,"('repellent', 'pleasant')",0.8254628,0.8531275,0.0276647
4,-7.532595,-7.564177,"('disliked', 'liked')",-7.5325952,-7.564177,-0.0315818
5,-0.6091713,-0.562192,"('distant', 'outgoing')",-0.6091713,-0.562192,0.0469793
6,-0.23734638,-0.22521873,"('distant', 'open')",-0.2373464,-0.2252187,0.0121277
7,1.4342791,1.4230475,"('insensitive', 'sensitive')",1.4342791,1.4230475,-0.0112316
8,1.1508512,1.1469762,"('unaffectionate', 'affectionate')",1.1508512,1.1469762,-0.003875
9,1.3421404,1.4391841,"('unaffectionate', 'caring')",1.3421404,1.4391841,0.0970437
10,1.5226233,1.4257488,"('unsympathetic', 'sympathetic')",1.5226233,1.4257488,-0.0968745
11,1.8287239,1.8566098,"('unhelpful', 'helpful')",1.8287239,1.8566098,0.0278859
12,-1.3559697,-1.286331,"('unsupportive', 'supportive')",-1.3559697,-1.2863311,0.0696386
13,0.08428711,0.07366006,"('impolite', 'polite')",0.0842871,0.0736601,-0.010627
14,0.19095497,0.16841811,"('antisocial', 'social')",0.190955,0.1684181,-0.0225369
15,0.16237162,0.17253637,"('boring', 'funny')",0.1623716,0.1725364,0.0101648
16,-0.66531587,-0.5236954,"('unpopular', 'popular')",-0.6653159,-0.5236954,0.1416205
17,-0.1760396,-0.14599696,"('nasty', 'nice')",-0.1760396,-0.145997,0.0300426
18,-0.5929233,-0.5014427,"('disagreeable', 'welcoming')",-0.5929233,-0.5014427,0.0914806
19,-0.6811168,-0.61652416,"('inhospitable', 'hospitable')",-0.6811168,-0.6165242,0.0645926
20,0.6713177,0.5637897,"('rough', 'thoughtful')",0.6713177,0.5637897,-0.107528
21,0.20165513,0.24308012,"('immoral', 'moral')",0.2016551,0.2430801,0.041425
22,0.21184778,0.13787468,"('untrustworthy', 'trustworthy')",0.2118478,0.1378747,-0.0739731
23,6.288723,6.390675,"('insincere', 'sincere')",6.288723,6.3906751,0.1019521
24,1.7320893,1.7170938,"('dishonest', 'honest')",1.7320893,1.7170938,-0.0149955
25,0.19751385,0.22509032,"('egoistic', 'altruistic')",0.1975138,0.2250903,0.0275765
26,0.36292773,0.26155567,"('hardhearted', 'benevolent')",0.3629277,0.2615557,-0.101372
27,1.7206131,1.5907627,"('hardhearted', 'softhearted')",1.7206131,1.5907627,-0.1298504
28,0.8094581,0.7668912,"('disloyal', 'loyal')",0.8094581,0.7668912,-0.0425669
29,-0.246257,-0.39540532,"('unfair', 'fair')",-0.246257,-0.3954053,-0.1491483
