,metaphor_male,metaphor_female,tuple,average_male,average_female,female-male
0,-0.31321523,-0.37249666,"('unsociable', 'sociable')",-0.3132152,-0.3724967,-0.0592815
1,1.1723425,1.0990192,"('unfriendly', 'friendly')",1.1723425,1.0990192,-0.0733233
2,0.37039757,0.53398484,"('unlikable', 'likable')",0.3703976,0.5339848,0.1635872
3,0.7834232,0.81854624,"('repellent', 'pleasant')",0.7834232,0.8185462,0.035123
4,-7.4499836,-7.456257,"('disliked', 'liked')",-7.4499836,-7.4562569,-0.0062733
5,-0.14661038,-0.15140688,"('distant', 'outgoing')",-0.1466104,-0.1514069,-0.0047965
6,0.34359288,0.30356392,"('distant', 'open')",0.3435929,0.3035639,-0.040029
7,0.71840817,0.740834,"('insensitive', 'sensitive')",0.7184082,0.740834,0.0224258
8,1.1944218,1.1285913,"('unaffectionate', 'affectionate')",1.1944218,1.1285913,-0.0658305
9,1.4938837,1.5504954,"('unaffectionate', 'caring')",1.4938837,1.5504954,0.0566117
10,1.0738686,1.1253328,"('unsympathetic', 'sympathetic')",1.0738686,1.1253328,0.0514642
11,1.4139956,1.4574274,"('unhelpful', 'helpful')",1.4139956,1.4574274,0.0434318
12,-1.6256282,-1.5920118,"('unsupportive', 'supportive')",-1.6256282,-1.5920118,0.0336164
13,0.18177348,0.14514925,"('impolite', 'polite')",0.1817735,0.1451492,-0.0366243
14,-0.27811432,-0.41069397,"('antisocial', 'social')",-0.2781143,-0.410694,-0.1325797
15,0.1376583,0.04367932,"('boring', 'funny')",0.1376583,0.0436793,-0.093979
16,-0.21366572,-0.15478624,"('unpopular', 'popular')",-0.2136657,-0.1547862,0.0588795
17,-0.13244206,-0.023031525,"('nasty', 'nice')",-0.1324421,-0.0230315,0.1094106
18,-0.19224118,-0.22795095,"('disagreeable', 'welcoming')",-0.1922412,-0.2279509,-0.0357097
19,-0.7177391,-0.6188647,"('inhospitable', 'hospitable')",-0.7177391,-0.6188647,0.0988744
20,0.9878234,0.8687304,"('rough', 'thoughtful')",0.9878234,0.8687304,-0.119093
21,-0.07366808,0.036587518,"('immoral', 'moral')",-0.0736681,0.0365875,0.1102556
22,-0.28267503,-0.35321876,"('untrustworthy', 'trustworthy')",-0.282675,-0.3532188,-0.0705438
23,5.933501,5.896522,"('insincere', 'sincere')",5.9335008,5.896522,-0.0369788
24,1.6399351,1.5442511,"('dishonest', 'honest')",1.6399351,1.5442511,-0.095684
