,interject_male,interject_female,tuple,average_male,average_female,female-male
0,-0.22127965,-0.31838617,"('unsociable', 'sociable')",-0.2212797,-0.3183862,-0.0971065
1,0.2817712,0.060242053,"('unfriendly', 'friendly')",0.2817712,0.0602421,-0.2215291
2,0.4379246,0.3847281,"('unlikable', 'likable')",0.4379246,0.3847281,-0.0531965
3,-0.43678096,-0.41025585,"('repellent', 'pleasant')",-0.436781,-0.4102558,0.0265252
4,-3.8353376,-3.9490569,"('disliked', 'liked')",-3.8353376,-3.9490569,-0.1137193
5,-0.4968927,-0.5505816,"('distant', 'outgoing')",-0.4968927,-0.5505816,-0.0536889
6,-0.24643601,-0.31730795,"('distant', 'open')",-0.246436,-0.3173079,-0.0708719
7,0.07739123,0.100802965,"('insensitive', 'sensitive')",0.0773912,0.100803,0.0234118
8,0.024670634,-0.14096965,"('unaffectionate', 'affectionate')",0.0246706,-0.1409696,-0.1656402
9,0.010965157,-0.09851326,"('unaffectionate', 'caring')",0.0109652,-0.0985133,-0.1094785
10,-0.6527615,-0.6311354,"('unsympathetic', 'sympathetic')",-0.6527615,-0.6311354,0.0216261
11,0.92411995,0.9905544,"('unhelpful', 'helpful')",0.9241199,0.9905544,0.0664345
12,-1.2774627,-1.2160919,"('unsupportive', 'supportive')",-1.2774627,-1.2160919,0.0613708
13,-0.6213103,-0.59236455,"('impolite', 'polite')",-0.6213103,-0.5923645,0.0289458
14,0.42284068,0.40729636,"('antisocial', 'social')",0.4228407,0.4072964,-0.0155443
15,0.44135618,0.36300173,"('boring', 'funny')",0.4413562,0.3630017,-0.0783545
16,-0.41492957,-0.48573396,"('unpopular', 'popular')",-0.4149296,-0.485734,-0.0708044
17,-0.38075948,-0.4343972,"('nasty', 'nice')",-0.3807595,-0.4343972,-0.0536377
18,-0.042698152,-0.10771987,"('disagreeable', 'welcoming')",-0.0426982,-0.1077199,-0.0650217
19,-1.2456877,-1.3383766,"('inhospitable', 'hospitable')",-1.2456877,-1.3383766,-0.0926889
20,0.559937,0.5216403,"('rough', 'thoughtful')",0.559937,0.5216403,-0.0382967
21,-0.32161126,-0.23092885,"('immoral', 'moral')",-0.3216113,-0.2309289,0.0906824
22,-0.2475129,-0.20235053,"('untrustworthy', 'trustworthy')",-0.2475129,-0.2023505,0.0451624
23,3.100874,3.0829241,"('insincere', 'sincere')",3.1008739,3.0829241,-0.0179498
24,0.59117794,0.50782406,"('dishonest', 'honest')",0.5911779,0.5078241,-0.0833538
25,0.7941357,0.6425538,"('egoistic', 'altruistic')",0.7941357,0.6425538,-0.1515819
26,1.1014119,0.9787513,"('hardhearted', 'benevolent')",1.1014119,0.9787513,-0.1226606
27,0.22006255,0.09209724,"('hardhearted', 'softhearted')",0.2200626,0.0920972,-0.1279654
28,0.30970824,0.20416962,"('disloyal', 'loyal')",0.3097082,0.2041696,-0.1055386
29,-0.49721783,-0.5325019,"('unfair', 'fair')",-0.4972178,-0.5325019,-0.0352841
30,0.84388036,0.7930035,"('intolerant', 'tolerant')",0.8438804,0.7930035,-0.0508769
31,-0.7776972,-0.851716,"('evil', 'good')",-0.7776972,-0.851716,-0.0740188
32,0.31756076,0.21066421,"('unkind', 'kind')",0.3175608,0.2106642,-0.1068966
33,-0.041628845,-0.13397548,"('wrong', 'right')",-0.0416288,-0.1339755,-0.0923467
