,bassoon_male,bassoon_female,tuple,average_male,average_female,female-male
0,0.48009604,0.59136564,"('unsociable', 'sociable')",0.480096,0.5913656,0.1112696
1,0.319384,-0.07380478,"('unfriendly', 'friendly')",0.319384,-0.0738048,-0.3931888
2,0.12734327,0.18671949,"('unlikable', 'likable')",0.1273433,0.1867195,0.0593762
3,-0.2852488,0.020989707,"('repellent', 'pleasant')",-0.2852488,0.0209897,0.3062385
4,-2.891106,-3.2809918,"('disliked', 'liked')",-2.8911059,-3.2809918,-0.3898859
5,-0.29710564,-0.64434147,"('distant', 'outgoing')",-0.2971056,-0.6443415,-0.3472359
6,-0.20175016,-0.61721325,"('distant', 'open')",-0.2017502,-0.6172132,-0.415463
7,0.020981364,0.22828498,"('insensitive', 'sensitive')",0.0209814,0.228285,0.2073036
8,-0.039985582,-0.4042608,"('unaffectionate', 'affectionate')",-0.0399856,-0.4042608,-0.3642752
9,-0.19704358,-0.4254806,"('unaffectionate', 'caring')",-0.1970436,-0.4254806,-0.228437
10,-0.28259286,-0.05198175,"('unsympathetic', 'sympathetic')",-0.2825929,-0.0519818,0.2306111
11,0.0544822,0.36858496,"('unhelpful', 'helpful')",0.0544822,0.368585,0.3141028
12,-1.0498116,-1.0803579,"('unsupportive', 'supportive')",-1.0498116,-1.0803579,-0.0305463
13,0.4288814,0.62283015,"('impolite', 'polite')",0.4288814,0.6228302,0.1939488
14,0.07031682,0.3315015,"('antisocial', 'social')",0.0703168,0.3315015,0.2611847
15,0.8904872,0.76056194,"('boring', 'funny')",0.8904872,0.7605619,-0.1299253
16,-0.07771381,-0.18477245,"('unpopular', 'popular')",-0.0777138,-0.1847724,-0.1070586
17,-0.17999186,-0.25167468,"('nasty', 'nice')",-0.1799919,-0.2516747,-0.0716828
18,-0.017243335,-0.13537376,"('disagreeable', 'welcoming')",-0.0172433,-0.1353738,-0.1181305
19,-0.7356989,-0.8657609,"('inhospitable', 'hospitable')",-0.7356989,-0.8657609,-0.130062
20,0.2538143,0.34266612,"('rough', 'thoughtful')",0.2538143,0.3426661,0.0888518
21,-0.13820863,0.20815831,"('immoral', 'moral')",-0.1382086,0.2081583,0.3463669
22,-0.11487419,0.060245242,"('untrustworthy', 'trustworthy')",-0.1148742,0.0602452,0.1751194
23,1.8174455,2.186919,"('insincere', 'sincere')",1.8174455,2.186919,0.3694735
24,0.0863695,0.14281139,"('dishonest', 'honest')",0.0863695,0.1428114,0.0564419
25,0.965349,0.658459,"('egoistic', 'altruistic')",0.965349,0.658459,-0.30689
26,1.1029352,0.75883144,"('hardhearted', 'benevolent')",1.1029352,0.7588314,-0.3441038
27,0.5940062,0.45295534,"('hardhearted', 'softhearted')",0.5940062,0.4529553,-0.1410509
28,1.3301653,1.169603,"('disloyal', 'loyal')",1.3301653,1.169603,-0.1605623
29,0.068771,-0.00030926242,"('unfair', 'fair')",0.068771,-0.0003093,-0.0690803
30,-0.10951059,0.20140018,"('intolerant', 'tolerant')",-0.1095106,0.2014002,0.3109108
31,-0.7800581,-1.072566,"('evil', 'good')",-0.7800581,-1.072566,-0.2925079
32,0.7901516,0.7763939,"('unkind', 'kind')",0.7901516,0.7763939,-0.0137577
33,0.21692427,0.0492242,"('wrong', 'right')",0.2169243,0.0492242,-0.1677001
34,1.8656712,2.1120732,"('mean', 'honorable')",1.8656712,2.1120732,0.246402
35,0.7157409,0.20462482,"('corrupt', 'incorrupt')",0.7157409,0.2046248,-0.5111161
36,0.19201362,-0.3568962,"('hostile', 'amicable')",0.1920136,-0.3568962,-0.5489098
37,0.43242684,0.49121678,"('fake', 'genuine')",0.4324268,0.4912168,0.05879
38,-0.24939275,-0.27335826,"('untruthful', 'truthful')",-0.2493927,-0.2733583,-0.0239656
39,0.23103611,0.3767298,"('exploitative', 'cooperative')",0.2310361,0.3767298,0.1456937
40,-0.30568165,-0.5982226,"('stingy', 'generous')",-0.3056816,-0.5982226,-0.292541
41,0.45206615,0.36170822,"('unforgiving', 'forgiving')",0.4520662,0.3617082,-0.090358
42,-1.5095873,-1.4040945,"('unreliable', 'reliable')",-1.5095873,-1.4040945,0.1054928
43,-0.05408134,0.24409223,"('irresponsible', 'responsible')",-0.0540813,0.2440922,0.2981735
44,-1.5005151,-1.4123429,"('prejudiced', 'unprejudiced')",-1.5005151,-1.4123429,0.0881722
45,-0.5587526,-0.2805292,"('incompetent', 'competent')",-0.5587526,-0.2805292,0.2782234
46,-0.5675459,-0.2620048,"('uncompetitive', 'competitive')",-0.5675459,-0.2620048,0.3055411
47,2.6523564,2.8450713,"('stupid', 'smart')",2.6523564,2.8450713,0.1927149
48,-0.39350685,-0.24456158,"('unintelligent', 'intelligent')",-0.3935069,-0.2445616,0.1489453
49,-0.35698608,-0.23160651,"('unable', 'able')",-0.3569861,-0.2316065,0.1253796
50,-0.23188412,-0.22696431,"('clumsy', 'skillful')",-0.2318841,-0.2269643,0.0049198
51,-1.0173203,-0.82990545,"('uneducated', 'educated')",-1.0173203,-0.8299055,0.1874148
52,-0.15350106,-0.5562528,"('irrational', 'rational')",-0.1535011,-0.5562528,-0.4027517
53,0.43160003,0.24673891,"('uncreative', 'creative')",0.4316,0.2467389,-0.1848611
54,0.22125193,0.06448404,"('incapable', 'capable')",0.2212519,0.064484,-0.1567679
55,-0.28431803,0.1352151,"('incompetent', 'clever')",-0.284318,0.1352151,0.4195331
56,0.8827581,1.1355908,"('impractical', 'practical')",0.8827581,1.1355908,0.2528327
