,fee_male,fee_female,tuple,average_male,average_female,female-male
0,0.34805787,0.27533594,"('unsociable', 'sociable')",0.3480579,0.2753359,-0.072722
1,1.7106652,1.6453865,"('unfriendly', 'friendly')",1.7106652,1.6453865,-0.0652787
2,0.074095175,0.11638505,"('unlikable', 'likable')",0.0740952,0.1163851,0.0422899
3,1.0946304,1.2117661,"('repellent', 'pleasant')",1.0946304,1.2117661,0.1171357
4,-6.916879,-6.9034214,"('disliked', 'liked')",-6.9168792,-6.9034214,0.0134578
5,-0.26136804,0.0072756596,"('distant', 'outgoing')",-0.261368,0.0072757,0.2686437
6,0.15886857,0.30972213,"('distant', 'open')",0.1588686,0.3097221,0.1508535
7,1.4422816,1.4674739,"('insensitive', 'sensitive')",1.4422816,1.4674739,0.0251923
8,1.2765554,1.1799023,"('unaffectionate', 'affectionate')",1.2765554,1.1799023,-0.0966531
9,1.9428645,2.123884,"('unaffectionate', 'caring')",1.9428645,2.123884,0.1810195
10,1.1715143,1.128596,"('unsympathetic', 'sympathetic')",1.1715143,1.1285959,-0.0429184
11,1.9817519,2.1325233,"('unhelpful', 'helpful')",1.9817519,2.1325233,0.1507714
12,-1.2274512,-0.98082817,"('unsupportive', 'supportive')",-1.2274512,-0.9808282,0.246623
13,0.09546904,0.033055853,"('impolite', 'polite')",0.095469,0.0330559,-0.0624131
14,-0.18007433,-0.19960552,"('antisocial', 'social')",-0.1800743,-0.1996055,-0.0195312
15,0.48076567,0.5189206,"('boring', 'funny')",0.4807657,0.5189206,0.0381549
16,-0.38453108,-0.3003995,"('unpopular', 'popular')",-0.3845311,-0.3003995,0.0841316
17,-0.06021199,-0.016748227,"('nasty', 'nice')",-0.060212,-0.0167482,0.0434638
18,-0.23868471,-0.25930393,"('disagreeable', 'welcoming')",-0.2386847,-0.2593039,-0.0206192
19,-0.2023738,0.053887077,"('inhospitable', 'hospitable')",-0.2023738,0.0538871,0.2562609
20,0.46363014,0.30631083,"('rough', 'thoughtful')",0.4636301,0.3063108,-0.1573193
21,-0.035571307,0.18793803,"('immoral', 'moral')",-0.0355713,0.187938,0.2235093
22,-0.2707432,-0.16081814,"('untrustworthy', 'trustworthy')",-0.2707432,-0.1608181,0.1099251
23,6.74802,6.956948,"('insincere', 'sincere')",6.7480202,6.9569478,0.2089276
24,1.9933143,2.1312714,"('dishonest', 'honest')",1.9933143,2.1312714,0.1379571
25,0.9068021,0.698051,"('egoistic', 'altruistic')",0.9068021,0.698051,-0.2087511
26,0.8833416,0.5944637,"('hardhearted', 'benevolent')",0.8833416,0.5944637,-0.2888779
27,1.9343568,1.6628462,"('hardhearted', 'softhearted')",1.9343568,1.6628462,-0.2715106
28,1.3733351,1.3098911,"('disloyal', 'loyal')",1.3733351,1.3098911,-0.063444
29,-0.9192437,-0.96137375,"('unfair', 'fair')",-0.9192437,-0.9613737,-0.04213
30,0.85573107,0.9111963,"('intolerant', 'tolerant')",0.8557311,0.9111963,0.0554652
31,-1.4257705,-1.4471502,"('evil', 'good')",-1.4257705,-1.4471502,-0.0213797
32,1.362613,1.2436798,"('unkind', 'kind')",1.362613,1.2436798,-0.1189332
33,-0.19021253,-0.06722493,"('wrong', 'right')",-0.1902125,-0.0672249,0.1229876
34,4.592968,4.9889355,"('mean', 'honorable')",4.592968,4.9889355,0.3959675
35,-1.1491319,-1.2094471,"('corrupt', 'incorrupt')",-1.1491319,-1.2094471,-0.0603152
36,-1.0005188,-1.0969062,"('hostile', 'amicable')",-1.0005188,-1.0969062,-0.0963874
37,1.0326617,0.8216771,"('fake', 'genuine')",1.0326617,0.8216771,-0.2109846
38,-0.015470285,0.089871295,"('untruthful', 'truthful')",-0.0154703,0.0898713,0.1053416
39,0.35416046,0.36406514,"('exploitative', 'cooperative')",0.3541605,0.3640651,0.0099046
40,-0.48370028,-0.70935696,"('stingy', 'generous')",-0.4837003,-0.709357,-0.2256567
41,0.15825704,0.022133477,"('unforgiving', 'forgiving')",0.158257,0.0221335,-0.1361235
42,-1.9688897,-2.026487,"('unreliable', 'reliable')",-1.9688897,-2.0264871,-0.0575974
43,1.0354614,1.0490683,"('irresponsible', 'responsible')",1.0354614,1.0490683,0.0136069
44,-1.7091365,-2.0851305,"('prejudiced', 'unprejudiced')",-1.7091365,-2.0851305,-0.375994
45,0.103568636,0.1488666,"('incompetent', 'competent')",0.1035686,0.1488666,0.045298
46,-0.7166656,-0.6730083,"('uncompetitive', 'competitive')",-0.7166656,-0.6730083,0.0436573
