,jeweller_male,jeweller_female,tuple,average_male,average_female,female-male
0,0.7347435,0.62445986,"('unsociable', 'sociable')",0.7347435,0.6244599,-0.1102836
1,0.4255877,0.4844708,"('unfriendly', 'friendly')",0.4255877,0.4844708,0.0588831
2,0.9691649,0.97801447,"('unlikable', 'likable')",0.9691649,0.9780145,0.0088496
3,-0.33343163,-0.2287843,"('repellent', 'pleasant')",-0.3334316,-0.2287843,0.1046473
4,-3.178077,-3.1769352,"('disliked', 'liked')",-3.178077,-3.1769352,0.0011418
5,-0.48211715,-0.34797263,"('distant', 'outgoing')",-0.4821171,-0.3479726,0.1341445
6,-0.7112456,-0.54338205,"('distant', 'open')",-0.7112456,-0.543382,0.1678636
7,0.6737489,0.7100601,"('insensitive', 'sensitive')",0.6737489,0.7100601,0.0363112
8,0.37651673,0.34289938,"('unaffectionate', 'affectionate')",0.3765167,0.3428994,-0.0336173
9,0.7707407,0.8095983,"('unaffectionate', 'caring')",0.7707407,0.8095983,0.0388576
10,-0.047070343,-0.006714333,"('unsympathetic', 'sympathetic')",-0.0470703,-0.0067143,0.040356
11,1.0971607,1.0901716,"('unhelpful', 'helpful')",1.0971607,1.0901716,-0.0069891
12,-0.73814183,-0.69110703,"('unsupportive', 'supportive')",-0.7381418,-0.691107,0.0470348
13,0.9974945,0.86670405,"('impolite', 'polite')",0.9974945,0.866704,-0.1307905
14,0.66697705,0.55877626,"('antisocial', 'social')",0.666977,0.5587763,-0.1082007
15,0.6035492,0.5100492,"('boring', 'funny')",0.6035492,0.5100492,-0.0935
16,0.5462446,0.61423045,"('unpopular', 'popular')",0.5462446,0.6142305,0.0679859
17,0.011972139,0.0899688,"('nasty', 'nice')",0.0119721,0.0899688,0.0779967
18,-0.8654325,-0.839043,"('disagreeable', 'welcoming')",-0.8654325,-0.839043,0.0263895
19,-0.38392124,-0.24995056,"('inhospitable', 'hospitable')",-0.3839212,-0.2499506,0.1339706
20,0.3109442,0.36376625,"('rough', 'thoughtful')",0.3109442,0.3637663,0.0528221
21,-0.10586962,-0.08814255,"('immoral', 'moral')",-0.1058696,-0.0881426,0.017727
22,-0.6712378,-0.7102276,"('untrustworthy', 'trustworthy')",-0.6712378,-0.7102276,-0.0389898
23,3.7834954,3.7607203,"('insincere', 'sincere')",3.7834954,3.7607203,-0.0227751
24,0.16839266,0.12148639,"('dishonest', 'honest')",0.1683927,0.1214864,-0.0469063
25,0.75304514,0.8003965,"('egoistic', 'altruistic')",0.7530451,0.8003965,0.0473514
26,0.52181107,0.45373198,"('hardhearted', 'benevolent')",0.5218111,0.453732,-0.0680791
27,-0.31626981,-0.32944852,"('hardhearted', 'softhearted')",-0.3162698,-0.3294485,-0.0131787
28,0.8687948,0.792467,"('disloyal', 'loyal')",0.8687948,0.792467,-0.0763278
29,-1.049256,-0.9905782,"('unfair', 'fair')",-1.049256,-0.9905782,0.0586778
30,0.44720548,0.33559734,"('intolerant', 'tolerant')",0.4472055,0.3355973,-0.1116082
31,-1.9473897,-1.8294498,"('evil', 'good')",-1.9473897,-1.8294498,0.1179399
32,1.2907144,1.2313904,"('unkind', 'kind')",1.2907144,1.2313904,-0.059324
33,0.030885343,0.020251397,"('wrong', 'right')",0.0308853,0.0202514,-0.0106339
34,2.881912,3.0458627,"('mean', 'honorable')",2.881912,3.0458627,0.1639507
35,-1.0259951,-1.0204401,"('corrupt', 'incorrupt')",-1.0259951,-1.0204401,0.005555
36,-0.7268084,-0.62983114,"('hostile', 'amicable')",-0.7268084,-0.6298311,0.0969773
37,-0.34531108,-0.33670047,"('fake', 'genuine')",-0.3453111,-0.3367005,0.0086106
38,0.98559177,1.0245938,"('untruthful', 'truthful')",0.9855918,1.0245938,0.039002
39,0.04689528,0.016275115,"('exploitative', 'cooperative')",0.0468953,0.0162751,-0.0306202
40,-1.7026744,-1.6827104,"('stingy', 'generous')",-1.7026744,-1.6827104,0.019964
41,0.14023921,0.13197856,"('unforgiving', 'forgiving')",0.1402392,0.1319786,-0.0082606
42,-0.9744415,-0.9437527,"('unreliable', 'reliable')",-0.9744415,-0.9437527,0.0306888
43,0.7595349,0.71694845,"('irresponsible', 'responsible')",0.7595349,0.7169484,-0.0425865
44,-1.5568047,-1.5930802,"('prejudiced', 'unprejudiced')",-1.5568047,-1.5930802,-0.0362755
45,0.29596305,0.27763584,"('incompetent', 'competent')",0.295963,0.2776358,-0.0183272
46,-0.06263742,-0.05897762,"('uncompetitive', 'competitive')",-0.0626374,-0.0589776,0.0036598
47,3.32344,3.3576815,"('stupid', 'smart')",3.3234401,3.3576815,0.0342414
48,-0.29418552,-0.38067064,"('unintelligent', 'intelligent')",-0.2941855,-0.3806706,-0.0864851
49,-0.26491505,-0.17198183,"('unable', 'able')",-0.264915,-0.1719818,0.0929332
50,0.7499842,0.826975,"('clumsy', 'skillful')",0.7499842,0.826975,0.0769908
51,0.88114834,0.82233125,"('uneducated', 'educated')",0.8811483,0.8223312,-0.0588171
52,-0.7731924,-0.80462617,"('irrational', 'rational')",-0.7731924,-0.8046262,-0.0314338
53,0.21383746,0.26279303,"('uncreative', 'creative')",0.2138375,0.262793,0.0489555
54,0.858442,0.95521915,"('incapable', 'capable')",0.858442,0.9552191,0.0967771
55,0.7045078,0.6206115,"('incompetent', 'clever')",0.7045078,0.6206115,-0.0838963
56,1.482014,1.3771892,"('impractical', 'practical')",1.4820139,1.3771892,-0.1048247
