,pug_male,pug_female,tuple,average_male,average_female,female-male
0,0.24914633,0.10064413,"('unsociable', 'sociable')",0.2491463,0.1006441,-0.1485022
1,-0.63933975,-0.7265934,"('unfriendly', 'friendly')",-0.6393397,-0.7265934,-0.0872537
2,-0.31277925,-0.124146044,"('unlikable', 'likable')",-0.3127792,-0.124146,0.1886332
3,-0.6413491,-0.5752482,"('repellent', 'pleasant')",-0.6413491,-0.5752482,0.0661009
4,-3.5777755,-3.6540294,"('disliked', 'liked')",-3.5777755,-3.6540294,-0.0762539
5,-0.9294626,-0.9392588,"('distant', 'outgoing')",-0.9294626,-0.9392588,-0.0097962
6,-0.7941387,-0.8464871,"('distant', 'open')",-0.7941387,-0.8464871,-0.0523484
7,0.46401796,0.38619238,"('insensitive', 'sensitive')",0.464018,0.3861924,-0.0778256
8,-0.6185529,-0.5561216,"('unaffectionate', 'affectionate')",-0.6185529,-0.5561216,0.0624313
9,-0.3976832,-0.38907695,"('unaffectionate', 'caring')",-0.3976832,-0.3890769,0.0086063
10,0.06706868,-0.0031937845,"('unsympathetic', 'sympathetic')",0.0670687,-0.0031938,-0.0702625
11,0.01334431,0.1641122,"('unhelpful', 'helpful')",0.0133443,0.1641122,0.1507679
12,-1.4756639,-1.5161905,"('unsupportive', 'supportive')",-1.4756639,-1.5161905,-0.0405266
13,-0.27049246,-0.2629542,"('impolite', 'polite')",-0.2704925,-0.2629542,0.0075383
14,-0.1886632,-0.15273498,"('antisocial', 'social')",-0.1886632,-0.152735,0.0359282
15,0.83443034,0.8190487,"('boring', 'funny')",0.8344303,0.8190487,-0.0153816
16,-0.8098677,-0.8642707,"('unpopular', 'popular')",-0.8098677,-0.8642707,-0.054403
17,-0.21465185,-0.23742263,"('nasty', 'nice')",-0.2146519,-0.2374226,-0.0227707
18,-0.5582753,-0.5052354,"('disagreeable', 'welcoming')",-0.5582753,-0.5052354,0.0530399
19,-0.15151978,-0.081265,"('inhospitable', 'hospitable')",-0.1515198,-0.081265,0.0702548
20,-0.14956364,-0.23066597,"('rough', 'thoughtful')",-0.1495636,-0.230666,-0.0811024
21,-0.66375744,-0.48907542,"('immoral', 'moral')",-0.6637574,-0.4890754,0.174682
22,-0.008091666,-0.11506604,"('untrustworthy', 'trustworthy')",-0.0080917,-0.115066,-0.1069743
23,2.610719,2.6694083,"('insincere', 'sincere')",2.610719,2.6694083,0.0586893
24,0.43919414,0.45754832,"('dishonest', 'honest')",0.4391941,0.4575483,0.0183542
25,0.10766394,0.10588135,"('egoistic', 'altruistic')",0.1076639,0.1058813,-0.0017826
26,0.9827764,0.71890175,"('hardhearted', 'benevolent')",0.9827764,0.7189018,-0.2638746
27,0.70065725,0.5880423,"('hardhearted', 'softhearted')",0.7006572,0.5880423,-0.1126149
28,0.2428498,0.061819255,"('disloyal', 'loyal')",0.2428498,0.0618193,-0.1810305
29,-0.232199,-0.31688267,"('unfair', 'fair')",-0.232199,-0.3168827,-0.0846837
30,0.59878325,0.73266387,"('intolerant', 'tolerant')",0.5987833,0.7326639,0.1338806
31,-0.7452033,-0.8839696,"('evil', 'good')",-0.7452033,-0.8839696,-0.1387663
32,0.59057057,0.51777077,"('unkind', 'kind')",0.5905706,0.5177708,-0.0727998
33,-0.3329618,-0.4034532,"('wrong', 'right')",-0.3329618,-0.4034532,-0.0704914
34,1.6461341,1.8516308,"('mean', 'honorable')",1.6461341,1.8516308,0.2054967
35,0.13538966,-0.0904109,"('corrupt', 'incorrupt')",0.1353897,-0.0904109,-0.2258006
36,-1.0742722,-1.2021208,"('hostile', 'amicable')",-1.0742722,-1.2021208,-0.1278486
37,0.5841067,0.57190484,"('fake', 'genuine')",0.5841067,0.5719048,-0.0122019
38,-0.30067742,-0.31701177,"('untruthful', 'truthful')",-0.3006774,-0.3170118,-0.0163344
39,-0.14195558,0.085831836,"('exploitative', 'cooperative')",-0.1419556,0.0858318,0.2277874
40,-1.0754809,-1.204676,"('stingy', 'generous')",-1.0754809,-1.204676,-0.1291951
