,kla_male,kla_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.18488784,0.027389158,"('unsociable', 'sociable')",-0.1096316,-0.31590366,0.0376281,-0.1442572,-0.1818853
1,-1.0464863,-0.93113166,"('unfriendly', 'friendly')",1.3213285,1.105282,0.1374211,0.0870751,-0.050346
2,0.51102173,0.56551856,"('unlikable', 'likable')",0.5973131,0.6094464,0.5541674,0.5874825,0.0333151
3,-0.10554117,-0.097930625,"('repellent', 'pleasant')",0.5355441,0.5833511,0.2150015,0.2427102,0.0277087
4,-0.07169695,-0.091496885,"('disliked', 'liked')",-6.2304125,-6.348021,-3.1510546,-3.219759,-0.0687044
5,-0.91911155,-0.7798406,"('distant', 'outgoing')",-0.4814857,-0.504148,-0.7002986,-0.6419943,0.0583043
6,-1.2909513,-1.0969214,"('distant', 'open')",-0.6915246,-0.7522872,-0.9912379,-0.9246043,0.0666336
7,-0.5243374,-0.53696364,"('insensitive', 'sensitive')",0.08232743,0.04275306,-0.221005,-0.2471053,-0.0261003
8,-0.37989193,-0.3155471,"('unaffectionate', 'affectionate')",0.41511375,0.31651324,0.0176109,0.0004831,-0.0171278
9,-0.6755997,-0.6606993,"('unaffectionate', 'caring')",0.6365351,0.5191998,-0.0195323,-0.0707498,-0.0512175
10,-0.65782017,-0.70816374,"('unsympathetic', 'sympathetic')",-1.1284872,-1.2104226,-0.8931537,-0.9592932,-0.0661395
11,-0.28913045,-0.37100995,"('unhelpful', 'helpful')",1.247992,1.2542058,0.4794308,0.4415979,-0.0378329
12,-0.5446155,-0.43032894,"('unsupportive', 'supportive')",-2.2925954,-2.365425,-1.4186054,-1.397877,0.0207284
13,-0.38528752,-0.49601904,"('impolite', 'polite')",-0.8590922,-0.8990703,-0.6221899,-0.6975447,-0.0753548
14,0.55076075,0.39971367,"('antisocial', 'social')",0.29840592,0.2049826,0.4245833,0.3023481,-0.1222352
15,0.43456855,0.34953594,"('boring', 'funny')",0.37474516,0.31130487,0.4046569,0.3304204,-0.0742365
16,-0.13689065,-0.09185527,"('unpopular', 'popular')",0.5291101,0.45451522,0.1961097,0.18133,-0.0147797
17,-0.13562931,-0.1039096,"('nasty', 'nice')",-0.47010118,-0.4895657,-0.3028652,-0.2967376,0.0061276
18,-0.031922176,0.030489191,"('disagreeable', 'welcoming')",-0.50205433,-0.6247952,-0.2669882,-0.297153,-0.0301648
