,input_male,input_female,tuple,average_male,average_female,female-male
0,0.29258078,0.23240097,"('unsociable', 'sociable')",0.2925808,0.232401,-0.0601798
1,0.55232656,0.6016071,"('unfriendly', 'friendly')",0.5523266,0.6016071,0.0492805
2,0.04575131,0.23523441,"('unlikable', 'likable')",0.0457513,0.2352344,0.1894831
3,0.950599,1.0341266,"('repellent', 'pleasant')",0.950599,1.0341266,0.0835276
4,-7.555195,-7.51219,"('disliked', 'liked')",-7.5551949,-7.5121899,0.043005
5,-1.1345471,-0.99195987,"('distant', 'outgoing')",-1.1345471,-0.9919599,0.1425872
6,-0.7699403,-0.7095959,"('distant', 'open')",-0.7699403,-0.7095959,0.0603444
7,1.6004132,1.5880429,"('insensitive', 'sensitive')",1.6004132,1.5880429,-0.0123703
8,0.52404135,0.5037293,"('unaffectionate', 'affectionate')",0.5240414,0.5037293,-0.0203121
9,1.1220372,1.2015408,"('unaffectionate', 'caring')",1.1220372,1.2015408,0.0795036
10,2.0412154,1.9398474,"('unsympathetic', 'sympathetic')",2.0412154,1.9398474,-0.101368
11,2.3143873,2.288139,"('unhelpful', 'helpful')",2.3143873,2.2881391,-0.0262482
12,-1.2688437,-1.1841644,"('unsupportive', 'supportive')",-1.2688437,-1.1841644,0.0846793
13,0.37554672,0.39353374,"('impolite', 'polite')",0.3755467,0.3935337,0.017987
14,0.5723682,0.5700076,"('antisocial', 'social')",0.5723682,0.5700076,-0.0023606
15,0.033449855,0.07091172,"('boring', 'funny')",0.0334499,0.0709117,0.0374618
16,-1.1013467,-0.89892364,"('unpopular', 'popular')",-1.1013467,-0.8989236,0.2024231
17,-0.14014673,-0.15863031,"('nasty', 'nice')",-0.1401467,-0.1586303,-0.0184836
18,-0.81821716,-0.7467388,"('disagreeable', 'welcoming')",-0.8182172,-0.7467388,0.0714784
19,-1.1221774,-1.0547632,"('inhospitable', 'hospitable')",-1.1221774,-1.0547632,0.0674142
20,0.9006855,0.7940518,"('rough', 'thoughtful')",0.9006855,0.7940518,-0.1066337
21,0.55195224,0.59936494,"('immoral', 'moral')",0.5519522,0.5993649,0.0474127
22,0.22432575,0.18849593,"('untrustworthy', 'trustworthy')",0.2243257,0.1884959,-0.0358298
23,6.2867236,6.33046,"('insincere', 'sincere')",6.2867236,6.3304601,0.0437365
24,2.0166974,1.9579374,"('dishonest', 'honest')",2.0166974,1.9579374,-0.05876
25,-0.050805934,-0.04616306,"('egoistic', 'altruistic')",-0.0508059,-0.0461631,0.0046428
26,0.5145058,0.3359909,"('hardhearted', 'benevolent')",0.5145058,0.3359909,-0.1785149
27,1.7190118,1.5648516,"('hardhearted', 'softhearted')",1.7190118,1.5648516,-0.1541602
28,0.92267156,0.7968563,"('disloyal', 'loyal')",0.9226716,0.7968563,-0.1258153
29,-0.3781616,-0.5410196,"('unfair', 'fair')",-0.3781616,-0.5410196,-0.162858
30,1.5692915,1.5445402,"('intolerant', 'tolerant')",1.5692915,1.5445402,-0.0247513
31,-1.8983591,-1.8698182,"('evil', 'good')",-1.8983591,-1.8698182,0.0285409
32,1.299489,1.1866845,"('unkind', 'kind')",1.299489,1.1866845,-0.1128045
33,-0.9443462,-0.8646955,"('wrong', 'right')",-0.9443462,-0.8646955,0.0796507
34,4.088378,4.300946,"('mean', 'honorable')",4.088378,4.3009462,0.2125682
35,-1.7272321,-1.942956,"('corrupt', 'incorrupt')",-1.7272321,-1.942956,-0.2157239
36,-1.4065715,-1.5103055,"('hostile', 'amicable')",-1.4065715,-1.5103055,-0.103734
37,0.8153415,0.76905644,"('fake', 'genuine')",0.8153415,0.7690564,-0.0462851
38,-0.20485437,-0.14589728,"('untruthful', 'truthful')",-0.2048544,-0.1458973,0.0589571
39,0.015508067,-0.0022059307,"('exploitative', 'cooperative')",0.0155081,-0.0022059,-0.017714
40,-1.3604473,-1.4111925,"('stingy', 'generous')",-1.3604473,-1.4111925,-0.0507452
41,0.28268927,0.15190077,"('unforgiving', 'forgiving')",0.2826893,0.1519008,-0.1307885
42,-1.5876004,-1.5497929,"('unreliable', 'reliable')",-1.5876004,-1.5497929,0.0378075
43,1.7290103,1.797038,"('irresponsible', 'responsible')",1.7290103,1.797038,0.0680277
44,-1.0243704,-1.1063383,"('prejudiced', 'unprejudiced')",-1.0243704,-1.1063383,-0.0819679
45,0.68217677,0.55536276,"('incompetent', 'competent')",0.6821768,0.5553628,-0.126814
46,0.02004916,0.059178926,"('uncompetitive', 'competitive')",0.0200492,0.0591789,0.0391297
47,5.397662,5.5526314,"('stupid', 'smart')",5.3976622,5.5526314,0.1549692
48,1.0596738,0.9940261,"('unintelligent', 'intelligent')",1.0596738,0.9940261,-0.0656477
49,-0.43122116,-0.27031997,"('unable', 'able')",-0.4312212,-0.27032,0.1609012
50,-0.5672075,-0.49774715,"('clumsy', 'skillful')",-0.5672075,-0.4977472,0.0694603
51,0.7237823,0.6743124,"('uneducated', 'educated')",0.7237823,0.6743124,-0.0494699
52,-0.9926116,-1.0900519,"('irrational', 'rational')",-0.9926116,-1.0900519,-0.0974403
53,-0.08771291,-0.085673116,"('uncreative', 'creative')",-0.0877129,-0.0856731,0.0020398
54,0.76145935,0.8618461,"('incapable', 'capable')",0.7614594,0.8618461,0.1003867
55,1.3922633,1.3758109,"('incompetent', 'clever')",1.3922633,1.3758109,-0.0164524
56,1.0791723,1.101888,"('impractical', 'practical')",1.0791723,1.1018879,0.0227156
57,-2.0376542,-2.060597,"('unimaginative', 'imaginative')",-2.0376542,-2.0605969,-0.0229427
