,development_male,development_female,tuple,average_male,average_female,female-male
0,-0.07323755,-0.22631907,"('unsociable', 'sociable')",-0.0732376,-0.2263191,-0.1530815
1,1.1477563,1.0609267,"('unfriendly', 'friendly')",1.1477563,1.0609267,-0.0868296
2,0.38620314,0.50246316,"('unlikable', 'likable')",0.3862031,0.5024632,0.1162601
3,0.4955193,0.7076397,"('repellent', 'pleasant')",0.4955193,0.7076397,0.2121204
4,-6.9073734,-7.122571,"('disliked', 'liked')",-6.9073734,-7.122571,-0.2151976
5,-0.6844789,-0.7054406,"('distant', 'outgoing')",-0.6844789,-0.7054406,-0.0209617
6,-0.61006117,-0.6389837,"('distant', 'open')",-0.6100612,-0.6389837,-0.0289225
7,0.5501791,0.58046544,"('insensitive', 'sensitive')",0.5501791,0.5804654,0.0302863
8,1.1668935,1.1320469,"('unaffectionate', 'affectionate')",1.1668935,1.1320469,-0.0348466
9,1.8061658,1.8427099,"('unaffectionate', 'caring')",1.8061658,1.8427099,0.0365441
10,0.74611354,0.8850784,"('unsympathetic', 'sympathetic')",0.7461135,0.8850784,0.1389649
11,2.512882,2.4542487,"('unhelpful', 'helpful')",2.512882,2.4542487,-0.0586333
12,-1.316287,-1.3365808,"('unsupportive', 'supportive')",-1.316287,-1.3365808,-0.0202938
13,0.1265063,0.052731536,"('impolite', 'polite')",0.1265063,0.0527315,-0.0737748
14,0.46445754,0.4508576,"('antisocial', 'social')",0.4644575,0.4508576,-0.0135999
15,0.4811333,0.34495607,"('boring', 'funny')",0.4811333,0.3449561,-0.1361772
16,-0.2408295,-0.21745631,"('unpopular', 'popular')",-0.2408295,-0.2174563,0.0233732
17,-0.4461766,-0.34358913,"('nasty', 'nice')",-0.4461766,-0.3435891,0.1025875
18,-0.9326632,-0.98599625,"('disagreeable', 'welcoming')",-0.9326632,-0.9859962,-0.053333
19,-0.66610575,-0.734687,"('inhospitable', 'hospitable')",-0.6661057,-0.734687,-0.0685813
20,0.6909552,0.58753717,"('rough', 'thoughtful')",0.6909552,0.5875372,-0.103418
21,0.11690995,0.17150415,"('immoral', 'moral')",0.11691,0.1715042,0.0545942
22,-0.375277,-0.46945825,"('untrustworthy', 'trustworthy')",-0.375277,-0.4694583,-0.0941813
23,6.368927,6.432186,"('insincere', 'sincere')",6.368927,6.4321861,0.0632591
24,1.1228445,1.1814129,"('dishonest', 'honest')",1.1228445,1.1814129,0.0585684
25,0.45301282,0.42840332,"('egoistic', 'altruistic')",0.4530128,0.4284033,-0.0246095
26,1.2342949,1.1163142,"('hardhearted', 'benevolent')",1.2342949,1.1163142,-0.1179807
27,1.2284784,1.2692335,"('hardhearted', 'softhearted')",1.2284784,1.2692335,0.0407551
28,1.0215969,0.90634054,"('disloyal', 'loyal')",1.0215969,0.9063405,-0.1152564
29,-0.74532187,-0.93917054,"('unfair', 'fair')",-0.7453219,-0.9391705,-0.1938486
30,1.3731564,1.3183057,"('intolerant', 'tolerant')",1.3731564,1.3183057,-0.0548507
31,-1.93199,-1.9621032,"('evil', 'good')",-1.93199,-1.9621032,-0.0301132
32,1.176394,1.1248498,"('unkind', 'kind')",1.176394,1.1248498,-0.0515442
33,-0.427571,-0.45753428,"('wrong', 'right')",-0.427571,-0.4575343,-0.0299633
34,4.515239,4.7132096,"('mean', 'honorable')",4.5152388,4.7132096,0.1979708
35,-1.4676412,-1.6232547,"('corrupt', 'incorrupt')",-1.4676412,-1.6232547,-0.1556135
36,-0.47054246,-0.74856323,"('hostile', 'amicable')",-0.4705425,-0.7485632,-0.2780207
37,0.70545965,0.64825654,"('fake', 'genuine')",0.7054597,0.6482565,-0.0572032
38,0.45166165,0.38608676,"('untruthful', 'truthful')",0.4516616,0.3860868,-0.0655748
39,-0.12904154,-0.16214722,"('exploitative', 'cooperative')",-0.1290415,-0.1621472,-0.0331057
40,-2.3033195,-2.3186011,"('stingy', 'generous')",-2.3033195,-2.3186011,-0.0152816
41,-0.052571453,-0.15702894,"('unforgiving', 'forgiving')",-0.0525715,-0.1570289,-0.1044574
42,-2.3564334,-2.3190253,"('unreliable', 'reliable')",-2.3564334,-2.3190253,0.0374081
43,1.1529869,1.2251538,"('irresponsible', 'responsible')",1.1529869,1.2251538,0.0721669
44,-0.9967089,-1.0348219,"('prejudiced', 'unprejudiced')",-0.9967089,-1.0348219,-0.038113
45,-0.014349932,-0.008344406,"('incompetent', 'competent')",-0.0143499,-0.0083444,0.0060055
46,-0.76328266,-0.69143784,"('uncompetitive', 'competitive')",-0.7632827,-0.6914378,0.0718449
47,5.260702,5.542722,"('stupid', 'smart')",5.2607021,5.5427222,0.2820201
48,0.72722983,0.6950536,"('unintelligent', 'intelligent')",0.7272298,0.6950536,-0.0321762
49,0.14160828,0.21614665,"('unable', 'able')",0.1416083,0.2161466,0.0745383
50,-0.40278187,-0.35318565,"('clumsy', 'skillful')",-0.4027819,-0.3531857,0.0495962
51,0.17473796,0.09183505,"('uneducated', 'educated')",0.174738,0.0918351,-0.0829029
52,-0.4091049,-0.55626273,"('irrational', 'rational')",-0.4091049,-0.5562627,-0.1471578
53,0.5295052,0.49455628,"('uncreative', 'creative')",0.5295052,0.4945563,-0.0349489
54,1.103805,1.1208242,"('incapable', 'capable')",1.1038049,1.1208242,0.0170193
55,0.5740864,0.6233322,"('incompetent', 'clever')",0.5740864,0.6233322,0.0492458
56,0.80660903,0.80062866,"('impractical', 'practical')",0.806609,0.8006287,-0.0059803
57,-2.6739018,-2.7099311,"('unimaginative', 'imaginative')",-2.6739018,-2.7099311,-0.0360293
58,-0.35502073,-0.3506375,"('undiscriminating', 'discriminating')",-0.3550207,-0.3506375,0.0043832
59,-0.078077905,-0.026225083,"('foolish', 'wise')",-0.0780779,-0.0262251,0.0518528
60,0.5192994,0.6881642,"('inefficient', 'efficient')",0.5192994,0.6881642,0.1688648
61,-0.01387394,-0.18284565,"('illogical', 'logical')",-0.0138739,-0.1828457,-0.1689718
62,0.9259463,1.0937493,"('incompetent', 'brilliant')",0.9259463,1.0937493,0.167803
63,0.6100778,0.6167201,"('unperceptive', 'insightful')",0.6100778,0.6167201,0.0066423
64,-5.736104,-5.781714,"('shy', 'confident')",-5.736104,-5.781714,-0.04561
65,0.27140749,0.32049704,"('insecure', 'secure')",0.2714075,0.320497,0.0490895
66,-0.26762223,-0.31004697,"('inactive', 'active')",-0.2676222,-0.310047,-0.0424248
67,-0.47129667,-0.4684821,"('doubtful', 'determined')",-0.4712967,-0.4684821,0.0028146
68,-0.96644896,-1.063487,"('dependent', 'independent')",-0.966449,-1.0634871,-0.0970381
69,-1.3247417,-1.4279653,"('lazy', 'industrious')",-1.3247417,-1.4279653,-0.1032236
70,0.9353997,0.97933245,"('lethargic', 'energetic')",0.9353997,0.9793324,0.0439327
71,0.30494282,0.31175756,"('diffident', 'self-confident')",0.3049428,0.3117576,0.0068148
72,0.5667445,0.7137333,"('unambitious', 'ambitious')",0.5667445,0.7137333,0.1469888
73,-3.5165446,-3.5094295,"('helpless', 'self-reliant')",-3.5165446,-3.5094295,0.0071151
