,lion_male,lion_female,tuple,average_male,average_female,female-male
0,0.4181763,0.39912462,"('unsociable', 'sociable')",0.4181763,0.3991246,-0.0190517
1,1.6610992,1.6727548,"('unfriendly', 'friendly')",1.6610992,1.6727548,0.0116556
2,0.40089172,0.45523867,"('unlikable', 'likable')",0.4008917,0.4552387,0.054347
3,0.73577565,0.9610832,"('repellent', 'pleasant')",0.7357756,0.9610832,0.2253076
4,-7.021183,-7.1143317,"('disliked', 'liked')",-7.021183,-7.1143317,-0.0931487
5,-0.12912056,-0.06737962,"('distant', 'outgoing')",-0.1291206,-0.0673796,0.061741
6,0.27027214,0.301287,"('distant', 'open')",0.2702721,0.301287,0.0310149
7,1.3338629,1.517573,"('insensitive', 'sensitive')",1.3338629,1.517573,0.1837101
8,1.6100497,1.5138524,"('unaffectionate', 'affectionate')",1.6100497,1.5138524,-0.0961973
9,2.0965264,2.2168622,"('unaffectionate', 'caring')",2.0965264,2.2168622,0.1203358
10,1.3737044,1.4502442,"('unsympathetic', 'sympathetic')",1.3737044,1.4502442,0.0765398
11,1.9736694,2.163119,"('unhelpful', 'helpful')",1.9736694,2.1631191,0.1894497
12,-0.9684643,-0.83430433,"('unsupportive', 'supportive')",-0.9684643,-0.8343043,0.13416
13,0.13800849,0.20291325,"('impolite', 'polite')",0.1380085,0.2029133,0.0649048
14,0.2602497,0.19835919,"('antisocial', 'social')",0.2602497,0.1983592,-0.0618905
15,0.65088576,0.5419649,"('boring', 'funny')",0.6508858,0.5419649,-0.1089209
16,-0.65262586,-0.57069474,"('unpopular', 'popular')",-0.6526259,-0.5706947,0.0819312
17,-0.35083562,-0.3422447,"('nasty', 'nice')",-0.3508356,-0.3422447,0.0085909
18,-0.12811881,-0.1685722,"('disagreeable', 'welcoming')",-0.1281188,-0.1685722,-0.0404534
19,-0.3226596,-0.2076936,"('inhospitable', 'hospitable')",-0.3226596,-0.2076936,0.114966
20,0.31609604,0.20398065,"('rough', 'thoughtful')",0.316096,0.2039807,-0.1121153
21,0.10357896,0.34844664,"('immoral', 'moral')",0.103579,0.3484466,0.2448676
22,-0.45670122,-0.30683023,"('untrustworthy', 'trustworthy')",-0.4567012,-0.3068302,0.149871
23,6.6636195,6.890968,"('insincere', 'sincere')",6.6636195,6.8909678,0.2273483
24,2.0101938,2.1141424,"('dishonest', 'honest')",2.0101938,2.1141424,0.1039486
25,0.8558854,0.75060296,"('egoistic', 'altruistic')",0.8558854,0.750603,-0.1052824
26,0.90460694,0.48882288,"('hardhearted', 'benevolent')",0.9046069,0.4888229,-0.415784
27,1.8905511,1.7444608,"('hardhearted', 'softhearted')",1.8905511,1.7444608,-0.1460903
28,1.4879966,1.4239153,"('disloyal', 'loyal')",1.4879966,1.4239153,-0.0640813
29,-0.5722941,-0.60531795,"('unfair', 'fair')",-0.5722941,-0.605318,-0.0330239
30,1.1112325,1.1588494,"('intolerant', 'tolerant')",1.1112325,1.1588494,0.0476169
31,-1.4204129,-1.4709563,"('evil', 'good')",-1.4204129,-1.4709563,-0.0505434
32,1.5139619,1.4139415,"('unkind', 'kind')",1.5139619,1.4139415,-0.1000204
33,-0.16760224,-0.13454899,"('wrong', 'right')",-0.1676022,-0.134549,0.0330532
34,4.698105,5.0270686,"('mean', 'honorable')",4.6981049,5.0270686,0.3289637
35,-1.0953157,-1.3996148,"('corrupt', 'incorrupt')",-1.0953157,-1.3996148,-0.3042991
36,-1.0874023,-1.296972,"('hostile', 'amicable')",-1.0874023,-1.296972,-0.2095697
37,1.271337,1.252017,"('fake', 'genuine')",1.271337,1.252017,-0.01932
38,0.21767266,0.35781062,"('untruthful', 'truthful')",0.2176727,0.3578106,0.1401379
39,0.33770725,0.27056,"('exploitative', 'cooperative')",0.3377073,0.27056,-0.0671473
40,-0.88215655,-1.0050292,"('stingy', 'generous')",-0.8821566,-1.0050292,-0.1228726
41,0.54150975,0.27958483,"('unforgiving', 'forgiving')",0.5415097,0.2795848,-0.2619249
42,-2.4009204,-2.3004718,"('unreliable', 'reliable')",-2.4009204,-2.3004718,0.1004486
43,1.3335115,1.4680089,"('irresponsible', 'responsible')",1.3335115,1.4680089,0.1344974
44,-1.8164096,-1.983142,"('prejudiced', 'unprejudiced')",-1.8164096,-1.983142,-0.1667324
45,0.24263845,0.2952692,"('incompetent', 'competent')",0.2426385,0.2952692,0.0526307
46,-0.5826373,-0.499109,"('uncompetitive', 'competitive')",-0.5826373,-0.499109,0.0835283
47,4.9200563,5.085575,"('stupid', 'smart')",4.9200563,5.0855751,0.1655188
