,village_male,village_female,tuple,average_male,average_female,female-male
0,0.8730417,0.8140462,"('unsociable', 'sociable')",0.8730417,0.8140462,-0.0589955
1,0.92792636,0.7494468,"('unfriendly', 'friendly')",0.9279264,0.7494468,-0.1784796
2,-0.07811259,-0.0054482855,"('unlikable', 'likable')",-0.0781126,-0.0054483,0.0726643
3,0.7803134,0.88136244,"('repellent', 'pleasant')",0.7803134,0.8813624,0.101049
4,-7.091169,-7.281841,"('disliked', 'liked')",-7.0911689,-7.2818408,-0.1906719
5,-1.0921835,-1.1197937,"('distant', 'outgoing')",-1.0921835,-1.1197937,-0.0276102
6,-0.51761574,-0.6315375,"('distant', 'open')",-0.5176157,-0.6315375,-0.1139218
7,1.8718499,1.9014516,"('insensitive', 'sensitive')",1.8718499,1.9014516,0.0296017
8,1.158381,1.0157294,"('unaffectionate', 'affectionate')",1.158381,1.0157294,-0.1426516
9,1.6261683,1.564484,"('unaffectionate', 'caring')",1.6261683,1.564484,-0.0616843
10,1.4835529,1.5950503,"('unsympathetic', 'sympathetic')",1.4835529,1.5950503,0.1114974
11,1.6725959,1.8166529,"('unhelpful', 'helpful')",1.6725959,1.8166529,0.144057
12,-1.2798474,-1.2950197,"('unsupportive', 'supportive')",-1.2798474,-1.2950197,-0.0151723
13,0.0322735,0.23865312,"('impolite', 'polite')",0.0322735,0.2386531,0.2063796
14,0.64234245,0.75631565,"('antisocial', 'social')",0.6423424,0.7563156,0.1139732
15,0.59280837,0.4716668,"('boring', 'funny')",0.5928084,0.4716668,-0.1211416
16,-0.35237193,-0.47319186,"('unpopular', 'popular')",-0.3523719,-0.4731919,-0.12082
17,-0.08034569,-0.0013776943,"('nasty', 'nice')",-0.0803457,-0.0013777,0.078968
18,-0.7139651,-0.73535365,"('disagreeable', 'welcoming')",-0.7139651,-0.7353536,-0.0213885
19,-0.7159874,-0.72314954,"('inhospitable', 'hospitable')",-0.7159874,-0.7231495,-0.0071621
20,0.71621406,0.63858676,"('rough', 'thoughtful')",0.7162141,0.6385868,-0.0776273
21,-0.089583635,0.08067021,"('immoral', 'moral')",-0.0895836,0.0806702,0.1702538
22,0.07054942,0.102221556,"('untrustworthy', 'trustworthy')",0.0705494,0.1022216,0.0316722
23,6.243553,6.3869185,"('insincere', 'sincere')",6.2435532,6.3869185,0.1433653
24,1.608338,1.5806379,"('dishonest', 'honest')",1.608338,1.5806379,-0.0277001
25,0.82847583,0.6701295,"('egoistic', 'altruistic')",0.8284758,0.6701295,-0.1583463
26,1.0969735,0.97061205,"('hardhearted', 'benevolent')",1.0969735,0.970612,-0.1263615
27,1.7186729,1.4520394,"('hardhearted', 'softhearted')",1.7186729,1.4520394,-0.2666335
