,plunger_male,plunger_female,tuple,average_male,average_female,female-male
0,-6.63884e-05,-0.2295733,"('unsociable', 'sociable')",-6.64e-05,-0.2295733,-0.2295069
1,-0.33475226,-0.54376334,"('unfriendly', 'friendly')",-0.3347523,-0.5437633,-0.209011
2,0.33153796,0.22455788,"('unlikable', 'likable')",0.331538,0.2245579,-0.1069801
3,-0.8277383,-0.7272692,"('repellent', 'pleasant')",-0.8277383,-0.7272692,0.1004691
4,-2.4175382,-2.4768329,"('disliked', 'liked')",-2.4175382,-2.4768329,-0.0592947
5,-1.0092161,-0.96982837,"('distant', 'outgoing')",-1.0092161,-0.9698284,0.0393877
6,-1.2490826,-1.2147892,"('distant', 'open')",-1.2490826,-1.2147892,0.0342934
7,0.82431114,0.9207097,"('insensitive', 'sensitive')",0.8243111,0.9207097,0.0963986
8,0.0033584572,-0.21017648,"('unaffectionate', 'affectionate')",0.0033585,-0.2101765,-0.213535
9,0.24627468,0.10982916,"('unaffectionate', 'caring')",0.2462747,0.1098292,-0.1364455
10,0.22886744,0.017471012,"('unsympathetic', 'sympathetic')",0.2288674,0.017471,-0.2113964
11,1.1129264,1.0659095,"('unhelpful', 'helpful')",1.1129264,1.0659095,-0.0470169
12,-0.53184605,-0.5529575,"('unsupportive', 'supportive')",-0.531846,-0.5529575,-0.0211115
13,0.37823987,0.1444039,"('impolite', 'polite')",0.3782399,0.1444039,-0.233836
14,0.9413486,0.86392987,"('antisocial', 'social')",0.9413486,0.8639299,-0.0774187
15,0.773396,0.5357902,"('boring', 'funny')",0.773396,0.5357902,-0.2376058
16,-0.54288423,-0.5701216,"('unpopular', 'popular')",-0.5428842,-0.5701216,-0.0272374
17,-0.5468958,-0.54759467,"('nasty', 'nice')",-0.5468958,-0.5475947,-0.0006989
18,-0.98520035,-0.9421848,"('disagreeable', 'welcoming')",-0.9852003,-0.9421848,0.0430155
19,-1.6458452,-1.6809822,"('inhospitable', 'hospitable')",-1.6458452,-1.6809822,-0.035137
20,-0.028870536,0.059457406,"('rough', 'thoughtful')",-0.0288705,0.0594574,0.0883279
21,0.1868377,0.079304054,"('immoral', 'moral')",0.1868377,0.0793041,-0.1075336
22,-0.42425665,-0.4480428,"('untrustworthy', 'trustworthy')",-0.4242567,-0.4480428,-0.0237861
23,2.6290157,2.5404449,"('insincere', 'sincere')",2.6290157,2.5404449,-0.0885708
24,0.046709586,-0.025830213,"('dishonest', 'honest')",0.0467096,-0.0258302,-0.0725398
25,0.032538477,0.12024385,"('egoistic', 'altruistic')",0.0325385,0.1202438,0.0877053
26,0.67631465,0.3358355,"('hardhearted', 'benevolent')",0.6763147,0.3358355,-0.3404792
27,-0.018256078,-0.019181697,"('hardhearted', 'softhearted')",-0.0182561,-0.0191817,-0.0009256
28,0.36667138,0.17857088,"('disloyal', 'loyal')",0.3666714,0.1785709,-0.1881005
29,-0.7592902,-0.7331876,"('unfair', 'fair')",-0.7592902,-0.7331876,0.0261026
