,stake_male,stake_female,tuple,average_male,average_female,female-male
0,-0.29095656,-0.48176262,"('unsociable', 'sociable')",-0.2909566,-0.4817626,-0.190806
1,1.5872264,1.5683775,"('unfriendly', 'friendly')",1.5872264,1.5683775,-0.0188489
2,0.39933544,0.56168205,"('unlikable', 'likable')",0.3993354,0.561682,0.1623466
3,0.42046115,0.5182161,"('repellent', 'pleasant')",0.4204611,0.5182161,0.097755
4,-6.7636,-6.9711323,"('disliked', 'liked')",-6.7635999,-6.9711323,-0.2075324
5,-0.13565668,-0.05748442,"('distant', 'outgoing')",-0.1356567,-0.0574844,0.0781723
6,0.5138558,0.5431865,"('distant', 'open')",0.5138558,0.5431865,0.0293307
7,0.9005867,0.9094647,"('insensitive', 'sensitive')",0.9005867,0.9094647,0.008878
8,1.4217664,1.3759843,"('unaffectionate', 'affectionate')",1.4217664,1.3759843,-0.0457821
9,1.7000897,1.728263,"('unaffectionate', 'caring')",1.7000897,1.728263,0.0281733
10,0.5192402,0.4934739,"('unsympathetic', 'sympathetic')",0.5192402,0.4934739,-0.0257663
11,1.1264374,1.175631,"('unhelpful', 'helpful')",1.1264374,1.175631,0.0491936
12,-1.8343238,-1.8687526,"('unsupportive', 'supportive')",-1.8343238,-1.8687526,-0.0344288
13,-0.67005014,-0.62774944,"('impolite', 'polite')",-0.6700501,-0.6277494,0.0423007
14,-0.14298944,-0.23974058,"('antisocial', 'social')",-0.1429894,-0.2397406,-0.0967512
15,0.47071335,0.40348405,"('boring', 'funny')",0.4707133,0.403484,-0.0672293
16,-0.64965916,-0.6119593,"('unpopular', 'popular')",-0.6496592,-0.6119593,0.0376999
17,0.3717821,0.41101453,"('nasty', 'nice')",0.3717821,0.4110145,0.0392324
18,-0.33823526,-0.2483812,"('disagreeable', 'welcoming')",-0.3382353,-0.2483812,0.0898541
19,-0.14115052,-0.07937875,"('inhospitable', 'hospitable')",-0.1411505,-0.0793787,0.0617718
20,0.34924543,0.2604682,"('rough', 'thoughtful')",0.3492454,0.2604682,-0.0887772
21,-0.6579705,-0.55853635,"('immoral', 'moral')",-0.6579705,-0.5585364,0.0994341
22,-0.3060942,-0.36933106,"('untrustworthy', 'trustworthy')",-0.3060942,-0.3693311,-0.0632369
23,6.015011,6.162609,"('insincere', 'sincere')",6.0150108,6.1626091,0.1475983
24,1.3242929,1.2780123,"('dishonest', 'honest')",1.3242929,1.2780123,-0.0462806
25,0.94870293,0.9701922,"('egoistic', 'altruistic')",0.9487029,0.9701922,0.0214893
26,1.7230302,1.4784955,"('hardhearted', 'benevolent')",1.7230302,1.4784955,-0.2445347
27,2.0518546,1.83734,"('hardhearted', 'softhearted')",2.0518546,1.83734,-0.2145146
28,1.0780389,0.91623276,"('disloyal', 'loyal')",1.0780389,0.9162328,-0.1618061
29,-0.5427482,-0.6153258,"('unfair', 'fair')",-0.5427482,-0.6153258,-0.0725776
30,0.4718286,0.4507809,"('intolerant', 'tolerant')",0.4718286,0.4507809,-0.0210477
31,-0.78621227,-0.8291448,"('evil', 'good')",-0.7862123,-0.8291448,-0.0429325
32,0.982788,0.8737492,"('unkind', 'kind')",0.982788,0.8737492,-0.1090388
33,-0.26993936,-0.245273,"('wrong', 'right')",-0.2699394,-0.245273,0.0246664
