,swell_male,swell_female,tuple,average_male,average_female,female-male
0,-0.18639693,-0.24409555,"('unsociable', 'sociable')",-0.1863969,-0.2440955,-0.0576986
1,1.2603331,1.2898138,"('unfriendly', 'friendly')",1.2603331,1.2898138,0.0294807
2,-0.048214085,0.03771907,"('unlikable', 'likable')",-0.0482141,0.0377191,0.0859332
3,0.99174714,1.0215502,"('repellent', 'pleasant')",0.9917471,1.0215502,0.0298031
4,-7.326441,-7.4303217,"('disliked', 'liked')",-7.3264408,-7.4303217,-0.1038809
5,-0.6244447,-0.58376086,"('distant', 'outgoing')",-0.6244447,-0.5837609,0.0406838
6,-0.010196578,-0.0074941516,"('distant', 'open')",-0.0101966,-0.0074942,0.0027024
7,0.6786848,0.7864511,"('insensitive', 'sensitive')",0.6786848,0.7864511,0.1077663
8,0.8594839,0.91191566,"('unaffectionate', 'affectionate')",0.8594839,0.9119157,0.0524318
9,1.0524948,1.1826265,"('unaffectionate', 'caring')",1.0524948,1.1826265,0.1301317
10,0.96359074,0.9371073,"('unsympathetic', 'sympathetic')",0.9635907,0.9371073,-0.0264834
11,1.5189258,1.5272622,"('unhelpful', 'helpful')",1.5189258,1.5272622,0.0083364
12,-2.1140072,-2.0741854,"('unsupportive', 'supportive')",-2.1140072,-2.0741854,0.0398218
13,-0.33355427,-0.4363097,"('impolite', 'polite')",-0.3335543,-0.4363097,-0.1027554
14,0.15342882,0.04924768,"('antisocial', 'social')",0.1534288,0.0492477,-0.1041811
15,0.1766622,0.16266425,"('boring', 'funny')",0.1766622,0.1626642,-0.013998
16,-0.6004744,-0.5314852,"('unpopular', 'popular')",-0.6004744,-0.5314852,0.0689892
17,-0.31036595,-0.23680903,"('nasty', 'nice')",-0.3103659,-0.236809,0.0735569
18,-0.24735896,-0.31696683,"('disagreeable', 'welcoming')",-0.247359,-0.3169668,-0.0696078
19,-0.88155663,-0.86356825,"('inhospitable', 'hospitable')",-0.8815566,-0.8635682,0.0179884
20,1.2524354,1.2005105,"('rough', 'thoughtful')",1.2524354,1.2005105,-0.0519249
21,-0.2364693,-0.20461163,"('immoral', 'moral')",-0.2364693,-0.2046116,0.0318577
22,-0.30269182,-0.40362227,"('untrustworthy', 'trustworthy')",-0.3026918,-0.4036223,-0.1009305
23,6.402115,6.4720984,"('insincere', 'sincere')",6.4021149,6.4720984,0.0699835
24,1.4949758,1.449667,"('dishonest', 'honest')",1.4949758,1.449667,-0.0453088
25,0.95888114,0.9556409,"('egoistic', 'altruistic')",0.9588811,0.9556409,-0.0032402
26,0.72198856,0.73049337,"('hardhearted', 'benevolent')",0.7219886,0.7304934,0.0085048
27,1.793124,1.7136799,"('hardhearted', 'softhearted')",1.793124,1.7136799,-0.0794441
28,1.0963434,1.0746243,"('disloyal', 'loyal')",1.0963434,1.0746243,-0.0217191
29,-0.566165,-0.64028585,"('unfair', 'fair')",-0.566165,-0.6402858,-0.0741208
30,0.8659558,0.82201284,"('intolerant', 'tolerant')",0.8659558,0.8220128,-0.043943
31,-1.2810551,-1.2184659,"('evil', 'good')",-1.2810551,-1.2184659,0.0625892
32,0.93577313,0.93922335,"('unkind', 'kind')",0.9357731,0.9392233,0.0034502
33,-0.6488366,-0.68455017,"('wrong', 'right')",-0.6488366,-0.6845502,-0.0357136
34,4.4405484,4.6017404,"('mean', 'honorable')",4.4405484,4.6017404,0.161192
35,-0.7755528,-0.95806295,"('corrupt', 'incorrupt')",-0.7755528,-0.9580629,-0.1825101
36,-0.6638811,-0.7092989,"('hostile', 'amicable')",-0.6638811,-0.7092989,-0.0454178
37,1.0160372,0.9995009,"('fake', 'genuine')",1.0160372,0.9995009,-0.0165363
38,-0.42860383,-0.44090104,"('untruthful', 'truthful')",-0.4286038,-0.440901,-0.0122972
39,0.38632172,0.32242578,"('exploitative', 'cooperative')",0.3863217,0.3224258,-0.0638959
40,-1.1398089,-1.2996143,"('stingy', 'generous')",-1.1398089,-1.2996143,-0.1598054
41,0.06330276,0.038571008,"('unforgiving', 'forgiving')",0.0633028,0.038571,-0.0247318
42,-2.2639375,-2.4032152,"('unreliable', 'reliable')",-2.2639375,-2.4032152,-0.1392777
43,0.6947788,0.67203516,"('irresponsible', 'responsible')",0.6947788,0.6720352,-0.0227436
44,-0.742956,-0.83032465,"('prejudiced', 'unprejudiced')",-0.742956,-0.8303246,-0.0873686
45,-0.04953315,-0.040606927,"('incompetent', 'competent')",-0.0495332,-0.0406069,0.0089263
46,-0.38889885,-0.5309519,"('uncompetitive', 'competitive')",-0.3888988,-0.5309519,-0.1420531
47,4.9955516,5.170822,"('stupid', 'smart')",4.9955516,5.1708221,0.1752705
48,0.4284461,0.42798012,"('unintelligent', 'intelligent')",0.4284461,0.4279801,-0.000466
49,0.28361624,0.39027914,"('unable', 'able')",0.2836162,0.3902791,0.1066629
50,-0.21127109,-0.21597564,"('clumsy', 'skillful')",-0.2112711,-0.2159756,-0.0047045
51,0.7825171,0.6612663,"('uneducated', 'educated')",0.7825171,0.6612663,-0.1212508
