,creature_male,creature_female,tuple,average_male,average_female,female-male
0,0.46711114,0.50064534,"('unsociable', 'sociable')",0.4671111,0.5006453,0.0335342
1,1.5945802,1.523754,"('unfriendly', 'friendly')",1.5945802,1.523754,-0.0708262
2,0.20131105,0.3372631,"('unlikable', 'likable')",0.2013111,0.3372631,0.135952
3,1.1778711,1.2380396,"('repellent', 'pleasant')",1.1778711,1.2380396,0.0601685
4,-7.0604124,-7.016485,"('disliked', 'liked')",-7.0604124,-7.0164852,0.0439272
5,-0.16172107,0.017515134,"('distant', 'outgoing')",-0.1617211,0.0175151,0.1792362
6,0.1356129,0.22061697,"('distant', 'open')",0.1356129,0.220617,0.0850041
7,1.7512398,1.8569617,"('insensitive', 'sensitive')",1.7512398,1.8569617,0.1057219
8,0.86959195,0.87006515,"('unaffectionate', 'affectionate')",0.869592,0.8700652,0.0004732
9,1.5567515,1.6734834,"('unaffectionate', 'caring')",1.5567515,1.6734834,0.1167319
10,1.3987658,1.4953823,"('unsympathetic', 'sympathetic')",1.3987658,1.4953823,0.0966165
11,2.1636515,2.3073647,"('unhelpful', 'helpful')",2.1636515,2.3073647,0.1437132
12,-1.0322844,-0.7408683,"('unsupportive', 'supportive')",-1.0322844,-0.7408683,0.2914161
13,0.36761284,0.28165275,"('impolite', 'polite')",0.3676128,0.2816527,-0.0859601
14,0.1387754,0.20187637,"('antisocial', 'social')",0.1387754,0.2018764,0.063101
15,0.41462475,0.41580498,"('boring', 'funny')",0.4146248,0.415805,0.0011802
16,-0.56533957,-0.4841088,"('unpopular', 'popular')",-0.5653396,-0.4841088,0.0812308
17,-0.4355281,-0.360777,"('nasty', 'nice')",-0.4355281,-0.360777,0.0747511
18,-0.30496815,-0.2592637,"('disagreeable', 'welcoming')",-0.3049681,-0.2592637,0.0457044
19,-0.45096207,-0.23584513,"('inhospitable', 'hospitable')",-0.4509621,-0.2358451,0.215117
20,0.62463003,0.47468245,"('rough', 'thoughtful')",0.62463,0.4746825,-0.1499475
21,0.33070248,0.63682806,"('immoral', 'moral')",0.3307025,0.6368281,0.3061256
22,0.06211131,0.1911666,"('untrustworthy', 'trustworthy')",0.0621113,0.1911666,0.1290553
23,6.9250774,7.061354,"('insincere', 'sincere')",6.9250774,7.0613542,0.1362768
24,2.118075,2.3295496,"('dishonest', 'honest')",2.1180749,2.3295496,0.2114747
25,0.7853864,0.5615958,"('egoistic', 'altruistic')",0.7853864,0.5615958,-0.2237906
26,0.2433993,0.060894374,"('hardhearted', 'benevolent')",0.2433993,0.0608944,-0.1825049
27,1.8344443,1.6112671,"('hardhearted', 'softhearted')",1.8344443,1.6112671,-0.2231772
28,1.3452163,1.2945149,"('disloyal', 'loyal')",1.3452163,1.2945149,-0.0507014
29,-0.55458575,-0.53230375,"('unfair', 'fair')",-0.5545858,-0.5323038,0.022282
30,0.8987473,0.9750409,"('intolerant', 'tolerant')",0.8987473,0.9750409,0.0762936
31,-1.6785575,-1.6577255,"('evil', 'good')",-1.6785575,-1.6577255,0.020832
32,1.4647424,1.4071685,"('unkind', 'kind')",1.4647424,1.4071685,-0.0575739
33,-0.15601185,-0.06391549,"('wrong', 'right')",-0.1560118,-0.0639155,0.0920963
34,4.7279983,4.982299,"('mean', 'honorable')",4.7279983,4.9822989,0.2543006
35,-1.2963309,-1.3784477,"('corrupt', 'incorrupt')",-1.2963309,-1.3784477,-0.0821168
36,-1.4164529,-1.5575045,"('hostile', 'amicable')",-1.4164529,-1.5575045,-0.1410516
37,1.2266507,1.100084,"('fake', 'genuine')",1.2266507,1.1000839,-0.1265668
38,0.13855383,0.21597472,"('untruthful', 'truthful')",0.1385538,0.2159747,0.0774209
39,0.33836186,0.38041845,"('exploitative', 'cooperative')",0.3383619,0.3804184,0.0420565
40,-0.60506946,-0.7682252,"('stingy', 'generous')",-0.6050695,-0.7682252,-0.1631557
41,-0.07461305,-0.14558323,"('unforgiving', 'forgiving')",-0.074613,-0.1455832,-0.0709702
42,-1.7302953,-1.7278332,"('unreliable', 'reliable')",-1.7302953,-1.7278332,0.0024621
43,1.2856328,1.4319478,"('irresponsible', 'responsible')",1.2856328,1.4319478,0.146315
44,-1.6452749,-1.9444492,"('prejudiced', 'unprejudiced')",-1.6452749,-1.9444492,-0.2991743
45,0.5546532,0.66805905,"('incompetent', 'competent')",0.5546532,0.6680591,0.1134059
46,-0.34285936,-0.20109363,"('uncompetitive', 'competitive')",-0.3428594,-0.2010936,0.1417658
47,4.7938294,4.9304247,"('stupid', 'smart')",4.7938294,4.9304247,0.1365953
48,0.8240359,0.8379513,"('unintelligent', 'intelligent')",0.8240359,0.8379513,0.0139154
49,0.4194131,0.60524887,"('unable', 'able')",0.4194131,0.6052489,0.1858358
50,-0.0037801247,0.019173888,"('clumsy', 'skillful')",-0.0037801,0.0191739,0.022954
51,1.2105317,1.260673,"('uneducated', 'educated')",1.2105317,1.260673,0.0501413
52,-0.26923883,-0.26102263,"('irrational', 'rational')",-0.2692388,-0.2610226,0.0082162
53,0.058240734,0.05638984,"('uncreative', 'creative')",0.0582407,0.0563898,-0.0018509
54,1.1711452,1.507479,"('incapable', 'capable')",1.1711452,1.507479,0.3363338
55,1.4291376,1.5520293,"('incompetent', 'clever')",1.4291376,1.5520293,0.1228917
56,0.91831887,1.1152158,"('impractical', 'practical')",0.9183189,1.1152158,0.1968969
57,-2.0346203,-2.0552943,"('unimaginative', 'imaginative')",-2.0346203,-2.0552943,-0.020674
58,0.23367606,0.18125471,"('undiscriminating', 'discriminating')",0.2336761,0.1812547,-0.0524214
59,-0.13410655,-0.092735216,"('foolish', 'wise')",-0.1341065,-0.0927352,0.0413713
60,0.9458773,1.0900863,"('inefficient', 'efficient')",0.9458773,1.0900863,0.144209
61,0.55357,0.5222411,"('illogical', 'logical')",0.55357,0.5222411,-0.0313289
62,1.6561732,1.9689656,"('incompetent', 'brilliant')",1.6561732,1.9689656,0.3127924
63,0.90105456,1.1979171,"('unperceptive', 'insightful')",0.9010546,1.1979171,0.2968625
64,-5.8459687,-5.52714,"('shy', 'confident')",-5.8459687,-5.5271401,0.3188286
