,culture_male,culture_female,tuple,average_male,average_female,female-male
0,-0.10157753,-0.22526352,"('unsociable', 'sociable')",-0.1015775,-0.2252635,-0.123686
1,0.9779806,0.94385713,"('unfriendly', 'friendly')",0.9779806,0.9438571,-0.0341235
2,0.2776245,0.36698157,"('unlikable', 'likable')",0.2776245,0.3669816,0.0893571
3,0.8435241,0.8184556,"('repellent', 'pleasant')",0.8435241,0.8184556,-0.0250685
4,-7.1366076,-7.2217073,"('disliked', 'liked')",-7.1366076,-7.2217073,-0.0850997
5,-0.39954,-0.39662912,"('distant', 'outgoing')",-0.39954,-0.3966291,0.0029109
6,-0.042027313,-0.06328333,"('distant', 'open')",-0.0420273,-0.0632833,-0.021256
7,0.69893306,0.70126414,"('insensitive', 'sensitive')",0.6989331,0.7012641,0.002331
8,0.99075365,0.9238638,"('unaffectionate', 'affectionate')",0.9907537,0.9238638,-0.0668899
9,1.6266481,1.6326383,"('unaffectionate', 'caring')",1.6266481,1.6326383,0.0059902
10,0.8308481,0.8136167,"('unsympathetic', 'sympathetic')",0.8308481,0.8136167,-0.0172314
11,1.749091,1.7578762,"('unhelpful', 'helpful')",1.749091,1.7578762,0.0087852
12,-1.454163,-1.4622712,"('unsupportive', 'supportive')",-1.454163,-1.4622712,-0.0081082
13,-0.023250699,-0.08609794,"('impolite', 'polite')",-0.0232507,-0.0860979,-0.0628472
14,0.28658614,0.20966606,"('antisocial', 'social')",0.2865861,0.2096661,-0.07692
15,0.17916952,0.12997176,"('boring', 'funny')",0.1791695,0.1299718,-0.0491977
16,-0.019599743,0.0088851005,"('unpopular', 'popular')",-0.0195997,0.0088851,0.0284848
17,0.17522237,0.2313866,"('nasty', 'nice')",0.1752224,0.2313866,0.0561642
18,-0.37528926,-0.39054707,"('disagreeable', 'welcoming')",-0.3752893,-0.3905471,-0.0152578
19,-0.5083851,-0.3984034,"('inhospitable', 'hospitable')",-0.5083851,-0.3984034,0.1099817
20,0.6975854,0.615047,"('rough', 'thoughtful')",0.6975854,0.615047,-0.0825384
21,0.15968603,0.18140578,"('immoral', 'moral')",0.159686,0.1814058,0.0217198
22,-0.40212503,-0.4680114,"('untrustworthy', 'trustworthy')",-0.402125,-0.4680114,-0.0658864
23,6.2701964,6.2877655,"('insincere', 'sincere')",6.2701964,6.2877655,0.0175691
24,1.5586102,1.4458463,"('dishonest', 'honest')",1.5586102,1.4458463,-0.1127639
25,0.29504415,0.22479059,"('egoistic', 'altruistic')",0.2950442,0.2247906,-0.0702536
26,0.5634191,0.49353546,"('hardhearted', 'benevolent')",0.5634191,0.4935355,-0.0698836
27,1.5267515,1.3522499,"('hardhearted', 'softhearted')",1.5267515,1.3522499,-0.1745016
28,1.046899,1.0008291,"('disloyal', 'loyal')",1.046899,1.0008291,-0.0460699
29,-0.37748736,-0.49466577,"('unfair', 'fair')",-0.3774874,-0.4946658,-0.1171784
30,1.2106874,1.216555,"('intolerant', 'tolerant')",1.2106874,1.216555,0.0058676
31,-0.9902271,-0.9628549,"('evil', 'good')",-0.9902271,-0.9628549,0.0273722
32,1.2415698,1.1423848,"('unkind', 'kind')",1.2415698,1.1423848,-0.099185
33,-0.36261904,-0.3546495,"('wrong', 'right')",-0.362619,-0.3546495,0.0079695
34,4.61208,4.7687583,"('mean', 'honorable')",4.6120801,4.7687583,0.1566782
35,-1.1622415,-1.3213323,"('corrupt', 'incorrupt')",-1.1622415,-1.3213323,-0.1590908
36,-0.5765637,-0.6303446,"('hostile', 'amicable')",-0.5765637,-0.6303446,-0.0537809
37,0.5981716,0.59475404,"('fake', 'genuine')",0.5981716,0.594754,-0.0034176
38,-0.3104009,-0.26820245,"('untruthful', 'truthful')",-0.3104009,-0.2682025,0.0421984
39,0.37732342,0.34721428,"('exploitative', 'cooperative')",0.3773234,0.3472143,-0.0301091
40,-1.6196829,-1.7791964,"('stingy', 'generous')",-1.6196829,-1.7791964,-0.1595135
41,0.098351985,0.06935332,"('unforgiving', 'forgiving')",0.098352,0.0693533,-0.0289987
42,-2.0567799,-2.0401595,"('unreliable', 'reliable')",-2.0567799,-2.0401595,0.0166204
43,0.9098103,0.92447996,"('irresponsible', 'responsible')",0.9098103,0.92448,0.0146697
44,-1.1940256,-1.2002982,"('prejudiced', 'unprejudiced')",-1.1940256,-1.2002982,-0.0062726
45,0.37063548,0.27616727,"('incompetent', 'competent')",0.3706355,0.2761673,-0.0944682
46,-0.7602681,-0.79548204,"('uncompetitive', 'competitive')",-0.7602681,-0.795482,-0.0352139
47,5.071019,5.20027,"('stupid', 'smart')",5.0710192,5.2002702,0.129251
48,0.5208726,0.4628126,"('unintelligent', 'intelligent')",0.5208726,0.4628126,-0.05806
49,0.2888874,0.40080753,"('unable', 'able')",0.2888874,0.4008075,0.1119201
