,type_male,type_female,tuple,average_male,average_female,female-male
0,-0.10655492,-0.13510941,"('unsociable', 'sociable')",-0.1065549,-0.1351094,-0.0285545
1,1.3265246,1.3361362,"('unfriendly', 'friendly')",1.3265246,1.3361362,0.0096116
2,0.1795758,0.50672126,"('unlikable', 'likable')",0.1795758,0.5067213,0.3271455
3,0.4887321,0.7201407,"('repellent', 'pleasant')",0.4887321,0.7201407,0.2314086
4,-7.4068832,-7.426889,"('disliked', 'liked')",-7.4068832,-7.4268889,-0.0200057
5,-0.4751818,-0.22176036,"('distant', 'outgoing')",-0.4751818,-0.2217604,0.2534214
6,-0.15378225,0.101759754,"('distant', 'open')",-0.1537822,0.1017598,0.255542
7,0.8294611,0.77763546,"('insensitive', 'sensitive')",0.8294611,0.7776355,-0.0518256
8,1.0802292,1.0485516,"('unaffectionate', 'affectionate')",1.0802292,1.0485516,-0.0316776
9,1.487461,1.586147,"('unaffectionate', 'caring')",1.487461,1.586147,0.098686
10,0.9616042,1.2886786,"('unsympathetic', 'sympathetic')",0.9616042,1.2886786,0.3270744
11,2.086777,2.1441748,"('unhelpful', 'helpful')",2.086777,2.1441748,0.0573978
12,-1.5702362,-1.5509962,"('unsupportive', 'supportive')",-1.5702362,-1.5509962,0.01924
13,0.19235253,0.3067222,"('impolite', 'polite')",0.1923525,0.3067222,0.1143697
14,-0.24229039,-0.48197928,"('antisocial', 'social')",-0.2422904,-0.4819793,-0.2396889
15,0.40490893,0.33950567,"('boring', 'funny')",0.4049089,0.3395057,-0.0654032
16,-0.2615831,-0.27157658,"('unpopular', 'popular')",-0.2615831,-0.2715766,-0.0099935
17,-0.20381975,-0.13846518,"('nasty', 'nice')",-0.2038198,-0.1384652,0.0653546
18,-0.62327975,-0.7821799,"('disagreeable', 'welcoming')",-0.6232798,-0.7821799,-0.1589001
19,-0.5837461,-0.39751053,"('inhospitable', 'hospitable')",-0.5837461,-0.3975105,0.1862356
20,0.9137898,0.6236712,"('rough', 'thoughtful')",0.9137898,0.6236712,-0.2901186
21,-0.12850456,0.13790199,"('immoral', 'moral')",-0.1285046,0.137902,0.2664066
22,-0.75744575,-0.57153535,"('untrustworthy', 'trustworthy')",-0.7574458,-0.5715353,0.1859105
23,6.5614223,6.567171,"('insincere', 'sincere')",6.5614223,6.5671711,0.0057488
24,1.6752336,1.7171983,"('dishonest', 'honest')",1.6752336,1.7171983,0.0419647
25,0.46810704,0.3544731,"('egoistic', 'altruistic')",0.468107,0.3544731,-0.1136339
26,0.6727595,0.26968223,"('hardhearted', 'benevolent')",0.6727595,0.2696822,-0.4030773
27,1.4974385,1.5343174,"('hardhearted', 'softhearted')",1.4974385,1.5343174,0.0368789
28,1.4193913,1.3330405,"('disloyal', 'loyal')",1.4193913,1.3330405,-0.0863508
29,-0.55766326,-0.71312064,"('unfair', 'fair')",-0.5576633,-0.7131206,-0.1554573
30,0.7980658,0.90919137,"('intolerant', 'tolerant')",0.7980658,0.9091914,0.1111256
31,-1.7725742,-1.7991753,"('evil', 'good')",-1.7725742,-1.7991753,-0.0266011
32,1.6765509,1.4902385,"('unkind', 'kind')",1.6765509,1.4902385,-0.1863124
33,-0.47436175,-0.4918665,"('wrong', 'right')",-0.4743617,-0.4918665,-0.0175048
34,4.6982703,4.93571,"('mean', 'honorable')",4.6982703,4.93571,0.2374397
35,-0.9183724,-1.2162302,"('corrupt', 'incorrupt')",-0.9183724,-1.2162302,-0.2978578
