,softdrink_male,softdrink_female,tuple,average_male,average_female,female-male
0,-0.41318446,-0.54270613,"('unsociable', 'sociable')",-0.4131845,-0.5427061,-0.1295216
1,-0.5941778,-0.71383625,"('unfriendly', 'friendly')",-0.5941778,-0.7138363,-0.1196585
2,0.539266,0.5141404,"('unlikable', 'likable')",0.539266,0.5141404,-0.0251256
3,-0.667835,-0.6205133,"('repellent', 'pleasant')",-0.667835,-0.6205133,0.0473217
4,-1.6685256,-1.704738,"('disliked', 'liked')",-1.6685256,-1.704738,-0.0362124
5,-0.49989572,-0.42182168,"('distant', 'outgoing')",-0.4998957,-0.4218217,0.078074
6,-0.70456576,-0.62776446,"('distant', 'open')",-0.7045658,-0.6277645,0.0768013
7,-0.27712825,-0.339443,"('insensitive', 'sensitive')",-0.2771282,-0.339443,-0.0623148
8,-0.43139428,-0.5420172,"('unaffectionate', 'affectionate')",-0.4313943,-0.5420172,-0.1106229
9,-0.19772881,-0.35188967,"('unaffectionate', 'caring')",-0.1977288,-0.3518897,-0.1541609
10,-0.98674697,-1.0929828,"('unsympathetic', 'sympathetic')",-0.986747,-1.0929828,-0.1062358
11,0.32322147,0.26354158,"('unhelpful', 'helpful')",0.3232215,0.2635416,-0.0596799
12,-0.84606886,-0.8348454,"('unsupportive', 'supportive')",-0.8460689,-0.8348454,0.0112235
13,-0.37141103,-0.5046799,"('impolite', 'polite')",-0.371411,-0.5046799,-0.1332689
14,0.24830458,0.162102,"('antisocial', 'social')",0.2483046,0.162102,-0.0862026
15,0.6653983,0.54996866,"('boring', 'funny')",0.6653983,0.5499687,-0.1154296
16,-0.19919686,-0.1794095,"('unpopular', 'popular')",-0.1991969,-0.1794095,0.0197874
17,-0.49659783,-0.43853566,"('nasty', 'nice')",-0.4965978,-0.4385357,0.0580621
18,-0.4547977,-0.43321255,"('disagreeable', 'welcoming')",-0.4547977,-0.4332125,0.0215852
19,-0.86713684,-0.82725793,"('inhospitable', 'hospitable')",-0.8671368,-0.8272579,0.0398789
20,0.054401897,0.10673003,"('rough', 'thoughtful')",0.0544019,0.10673,0.0523281
21,-0.35224408,-0.3909707,"('immoral', 'moral')",-0.3522441,-0.3909707,-0.0387266
22,-0.776595,-0.74314207,"('untrustworthy', 'trustworthy')",-0.776595,-0.7431421,0.0334529
23,1.2257204,1.1886297,"('insincere', 'sincere')",1.2257204,1.1886297,-0.0370907
24,0.04218959,-0.077767655,"('dishonest', 'honest')",0.0421896,-0.0777677,-0.1199573
25,-0.24673884,-0.26944295,"('egoistic', 'altruistic')",-0.2467388,-0.2694429,-0.0227041
26,-0.041031398,-0.13498716,"('hardhearted', 'benevolent')",-0.0410314,-0.1349872,-0.0939558
27,0.058570087,-0.031544354,"('hardhearted', 'softhearted')",0.0585701,-0.0315444,-0.0901145
