,regulator_male,regulator_female,tuple,average_male,average_female,female-male
0,0.66869175,0.5848628,"('unsociable', 'sociable')",0.6686918,0.5848628,-0.083829
1,0.6628685,0.5497486,"('unfriendly', 'friendly')",0.6628685,0.5497486,-0.1131199
2,0.45137894,0.50272036,"('unlikable', 'likable')",0.4513789,0.5027204,0.0513415
3,0.8734239,1.0415264,"('repellent', 'pleasant')",0.8734239,1.0415264,0.1681025
4,-7.212914,-7.2646136,"('disliked', 'liked')",-7.212914,-7.2646136,-0.0516996
5,-1.1092505,-1.139103,"('distant', 'outgoing')",-1.1092505,-1.1391031,-0.0298526
6,-0.87521565,-0.9221034,"('distant', 'open')",-0.8752156,-0.9221034,-0.0468878
7,1.6371943,1.7460665,"('insensitive', 'sensitive')",1.6371943,1.7460665,0.1088722
8,0.4242098,0.31311113,"('unaffectionate', 'affectionate')",0.4242098,0.3131111,-0.1110987
9,1.3677373,1.3183793,"('unaffectionate', 'caring')",1.3677373,1.3183793,-0.049358
10,1.3756584,1.4648389,"('unsympathetic', 'sympathetic')",1.3756584,1.4648389,0.0891805
11,2.3803833,2.4776134,"('unhelpful', 'helpful')",2.3803833,2.4776134,0.0972301
12,-0.855825,-0.8371449,"('unsupportive', 'supportive')",-0.855825,-0.8371449,0.0186801
13,0.6425117,0.63102055,"('impolite', 'polite')",0.6425117,0.6310205,-0.0114912
14,0.8242346,0.84312,"('antisocial', 'social')",0.8242346,0.84312,0.0188854
15,0.05563651,0.05244804,"('boring', 'funny')",0.0556365,0.052448,-0.0031885
16,-0.57769215,-0.49975315,"('unpopular', 'popular')",-0.5776922,-0.4997531,0.0779391
17,-0.21351066,-0.21537207,"('nasty', 'nice')",-0.2135107,-0.2153721,-0.0018614
18,-1.163333,-1.1537399,"('disagreeable', 'welcoming')",-1.1633331,-1.1537399,0.0095932
19,-1.0097826,-1.0058825,"('inhospitable', 'hospitable')",-1.0097826,-1.0058825,0.0039001
20,0.688376,0.6666403,"('rough', 'thoughtful')",0.688376,0.6666403,-0.0217357
21,0.63272846,0.75798327,"('immoral', 'moral')",0.6327285,0.7579833,0.1252548
22,0.4142523,0.43031758,"('untrustworthy', 'trustworthy')",0.4142523,0.4303176,0.0160653
23,6.85898,6.997883,"('insincere', 'sincere')",6.8589802,6.9978828,0.1389026
24,1.5821064,1.6035087,"('dishonest', 'honest')",1.5821064,1.6035087,0.0214023
25,-0.25980157,-0.3477087,"('egoistic', 'altruistic')",-0.2598016,-0.3477087,-0.0879071
26,0.78962475,0.6252343,"('hardhearted', 'benevolent')",0.7896248,0.6252343,-0.1643905
27,1.0383288,0.94838995,"('hardhearted', 'softhearted')",1.0383288,0.9483899,-0.0899389
28,1.2010254,1.206505,"('disloyal', 'loyal')",1.2010254,1.2065049,0.0054795
29,-0.18196584,-0.31272954,"('unfair', 'fair')",-0.1819658,-0.3127295,-0.1307637
30,1.5424262,1.4984008,"('intolerant', 'tolerant')",1.5424262,1.4984008,-0.0440254
31,-2.1373055,-2.1689749,"('evil', 'good')",-2.1373055,-2.1689749,-0.0316694
32,1.6125681,1.5496242,"('unkind', 'kind')",1.6125681,1.5496242,-0.0629439
33,-0.49904135,-0.59669226,"('wrong', 'right')",-0.4990413,-0.5966923,-0.097651
34,4.655077,4.8128395,"('mean', 'honorable')",4.655077,4.8128395,0.1577625
35,-1.7649119,-1.884876,"('corrupt', 'incorrupt')",-1.7649119,-1.884876,-0.1199641
36,-0.97165185,-1.1212623,"('hostile', 'amicable')",-0.9716519,-1.1212623,-0.1496104
