,grandfather_male,grandfather_female,tuple,average_male,average_female,female-male
0,-0.09772917,-0.04758264,"('unsociable', 'sociable')",-0.0977292,-0.0475826,0.0501466
1,0.84894574,0.7807471,"('unfriendly', 'friendly')",0.8489457,0.7807471,-0.0681986
2,-0.2800599,-0.18019247,"('unlikable', 'likable')",-0.2800599,-0.1801925,0.0998674
3,0.7434858,0.83052635,"('repellent', 'pleasant')",0.7434858,0.8305264,0.0870406
4,-7.1253004,-7.269075,"('disliked', 'liked')",-7.1253004,-7.2690749,-0.1437745
5,-0.7574542,-0.7924006,"('distant', 'outgoing')",-0.7574542,-0.7924006,-0.0349464
6,-0.17955174,-0.29811123,"('distant', 'open')",-0.1795517,-0.2981112,-0.1185595
7,0.7308064,0.80959666,"('insensitive', 'sensitive')",0.7308064,0.8095967,0.0787903
8,0.83113956,0.6917376,"('unaffectionate', 'affectionate')",0.8311396,0.6917376,-0.139402
9,1.006507,0.9663616,"('unaffectionate', 'caring')",1.006507,0.9663616,-0.0401454
10,0.88013816,0.9890246,"('unsympathetic', 'sympathetic')",0.8801382,0.9890246,0.1088864
11,1.1490813,1.2190455,"('unhelpful', 'helpful')",1.1490813,1.2190455,0.0699642
12,-1.8976301,-1.8707194,"('unsupportive', 'supportive')",-1.8976301,-1.8707194,0.0269107
13,-0.30362138,-0.19582534,"('impolite', 'polite')",-0.3036214,-0.1958253,0.1077961
14,0.4185985,0.4400276,"('antisocial', 'social')",0.4185985,0.4400276,0.0214291
15,-0.15318249,-0.24895284,"('boring', 'funny')",-0.1531825,-0.2489528,-0.0957703
16,-0.7667093,-0.75108355,"('unpopular', 'popular')",-0.7667093,-0.7510836,0.0156257
17,-0.1897026,-0.13561368,"('nasty', 'nice')",-0.1897026,-0.1356137,0.0540889
18,-0.28490222,-0.31669527,"('disagreeable', 'welcoming')",-0.2849022,-0.3166953,-0.0317931
19,-0.9501859,-1.0190777,"('inhospitable', 'hospitable')",-0.9501859,-1.0190777,-0.0688918
20,1.0239751,0.9204978,"('rough', 'thoughtful')",1.0239751,0.9204978,-0.1034773
21,-0.52212805,-0.37393907,"('immoral', 'moral')",-0.522128,-0.3739391,0.1481889
22,-0.33788544,-0.31999755,"('untrustworthy', 'trustworthy')",-0.3378854,-0.3199975,0.0178879
23,5.7655087,5.854884,"('insincere', 'sincere')",5.7655087,5.8548841,0.0893754
24,1.215184,1.1123252,"('dishonest', 'honest')",1.215184,1.1123252,-0.1028588
25,0.75776005,0.6373228,"('egoistic', 'altruistic')",0.75776,0.6373228,-0.1204372
26,0.8639127,0.7390506,"('hardhearted', 'benevolent')",0.8639127,0.7390506,-0.1248621
27,1.4818847,1.2727342,"('hardhearted', 'softhearted')",1.4818847,1.2727342,-0.2091505
28,0.8916027,0.8474607,"('disloyal', 'loyal')",0.8916027,0.8474607,-0.044142
29,-0.68282396,-0.83389604,"('unfair', 'fair')",-0.682824,-0.833896,-0.151072
30,0.77422804,0.85805994,"('intolerant', 'tolerant')",0.774228,0.8580599,0.0838319
31,-1.5142188,-1.5619931,"('evil', 'good')",-1.5142188,-1.5619931,-0.0477743
32,0.9074056,0.8567357,"('unkind', 'kind')",0.9074056,0.8567357,-0.0506699
33,-0.52325815,-0.6214528,"('wrong', 'right')",-0.5232581,-0.6214528,-0.0981947
