,libido_male,libido_female,tuple,average_male,average_female,female-male
0,-0.9241513,-1.0937485,"('unsociable', 'sociable')",-0.9241513,-1.0937485,-0.1695972
1,0.23078133,0.051725954,"('unfriendly', 'friendly')",0.2307813,0.051726,-0.1790553
2,1.5725361,1.5036433,"('unlikable', 'likable')",1.5725361,1.5036433,-0.0688928
3,-1.0928653,-0.9127222,"('repellent', 'pleasant')",-1.0928653,-0.9127222,0.1801431
4,-2.0904827,-2.1268268,"('disliked', 'liked')",-2.0904827,-2.1268268,-0.0363441
5,1.030141,1.0789835,"('distant', 'outgoing')",1.030141,1.0789835,0.0488425
6,0.8497704,0.87224054,"('distant', 'open')",0.8497704,0.8722405,0.0224701
7,-1.609932,-1.6503978,"('insensitive', 'sensitive')",-1.6099319,-1.6503978,-0.0404659
8,0.96963674,0.92854095,"('unaffectionate', 'affectionate')",0.9696367,0.9285409,-0.0410958
9,-0.034501903,-0.1522094,"('unaffectionate', 'caring')",-0.0345019,-0.1522094,-0.1177075
10,-1.4664769,-1.6158893,"('unsympathetic', 'sympathetic')",-1.4664769,-1.6158893,-0.1494124
11,0.01381724,-0.06290725,"('unhelpful', 'helpful')",0.0138172,-0.0629072,-0.0767244
12,-0.8348665,-0.8338424,"('unsupportive', 'supportive')",-0.8348665,-0.8338424,0.0010241
13,-1.2759235,-1.4602611,"('impolite', 'polite')",-1.2759235,-1.4602611,-0.1843376
14,-1.1177504,-1.2707335,"('antisocial', 'social')",-1.1177504,-1.2707335,-0.1529831
15,0.5562334,0.35432297,"('boring', 'funny')",0.5562334,0.354323,-0.2019104
16,-0.17576313,-0.12379581,"('unpopular', 'popular')",-0.1757631,-0.1237958,0.0519673
17,-0.8089201,-0.7029751,"('nasty', 'nice')",-0.8089201,-0.7029751,0.105945
18,0.14999825,0.054416284,"('disagreeable', 'welcoming')",0.1499982,0.0544163,-0.0955819
19,0.041783955,0.12859783,"('inhospitable', 'hospitable')",0.041784,0.1285978,0.0868138
20,-0.7304433,-0.7472551,"('rough', 'thoughtful')",-0.7304433,-0.7472551,-0.0168118
21,-0.9949227,-1.091614,"('immoral', 'moral')",-0.9949227,-1.091614,-0.0966913
22,-1.0714215,-1.2722968,"('untrustworthy', 'trustworthy')",-1.0714215,-1.2722968,-0.2008753
23,0.6779203,0.55340636,"('insincere', 'sincere')",0.6779203,0.5534064,-0.1245139
24,-0.007306099,-0.26744556,"('dishonest', 'honest')",-0.0073061,-0.2674456,-0.2601395
25,0.57526755,0.57340515,"('egoistic', 'altruistic')",0.5752676,0.5734051,-0.0018625
26,0.47506183,0.13244806,"('hardhearted', 'benevolent')",0.4750618,0.1324481,-0.3426137
