,pencil_male,pencil_female,tuple,average_male,average_female,female-male
0,-0.45670545,-0.49565405,"('unsociable', 'sociable')",-0.4567055,-0.495654,-0.0389485
1,1.8030329,1.7949507,"('unfriendly', 'friendly')",1.8030329,1.7949507,-0.0080822
2,0.3984867,0.52960217,"('unlikable', 'likable')",0.3984867,0.5296022,0.1311155
3,0.6207569,0.8683321,"('repellent', 'pleasant')",0.6207569,0.8683321,0.2475752
4,-7.488284,-7.2073913,"('disliked', 'liked')",-7.4882841,-7.2073913,0.2808928
5,0.35490516,0.5606781,"('distant', 'outgoing')",0.3549052,0.5606781,0.2057729
6,0.53859013,0.7993777,"('distant', 'open')",0.5385901,0.7993777,0.2607876
7,0.35113442,0.57532567,"('insensitive', 'sensitive')",0.3511344,0.5753257,0.2241913
8,1.5800238,1.6088767,"('unaffectionate', 'affectionate')",1.5800238,1.6088767,0.0288529
9,2.06758,2.1868334,"('unaffectionate', 'caring')",2.06758,2.1868334,0.1192534
10,0.6164087,0.8113838,"('unsympathetic', 'sympathetic')",0.6164087,0.8113838,0.1949751
11,1.8782718,1.9593823,"('unhelpful', 'helpful')",1.8782718,1.9593823,0.0811105
12,-1.4944113,-1.452894,"('unsupportive', 'supportive')",-1.4944113,-1.452894,0.0415173
13,0.1446616,-0.0040768683,"('impolite', 'polite')",0.1446616,-0.0040769,-0.1487385
14,-0.9883422,-1.0117931,"('antisocial', 'social')",-0.9883422,-1.0117931,-0.0234509
15,0.70274115,0.7258517,"('boring', 'funny')",0.7027411,0.7258517,0.0231106
16,-0.30760247,-0.13806108,"('unpopular', 'popular')",-0.3076025,-0.1380611,0.1695414
17,-0.34624922,-0.31706908,"('nasty', 'nice')",-0.3462492,-0.3170691,0.0291801
18,-0.9074543,-0.9638734,"('disagreeable', 'welcoming')",-0.9074543,-0.9638734,-0.0564191
19,0.15281798,0.3792207,"('inhospitable', 'hospitable')",0.152818,0.3792207,0.2264027
20,0.6892282,0.54938155,"('rough', 'thoughtful')",0.6892282,0.5493816,-0.1398466
21,-0.25781834,-0.03949251,"('immoral', 'moral')",-0.2578183,-0.0394925,0.2183258
22,-1.1802441,-1.1061876,"('untrustworthy', 'trustworthy')",-1.1802441,-1.1061876,0.0740565
23,6.665543,6.5079327,"('insincere', 'sincere')",6.6655431,6.5079327,-0.1576104
24,1.7887149,1.8830963,"('dishonest', 'honest')",1.7887149,1.8830963,0.0943814
25,0.6809662,0.5524479,"('egoistic', 'altruistic')",0.6809662,0.5524479,-0.1285183
26,0.5706779,0.3520277,"('hardhearted', 'benevolent')",0.5706779,0.3520277,-0.2186502
27,1.7354491,1.716497,"('hardhearted', 'softhearted')",1.7354491,1.7164969,-0.0189522
28,1.0989294,1.1057366,"('disloyal', 'loyal')",1.0989294,1.1057366,0.0068072
29,-0.5704122,-0.70146793,"('unfair', 'fair')",-0.5704122,-0.7014679,-0.1310557
30,0.7110289,0.7604843,"('intolerant', 'tolerant')",0.7110289,0.7604843,0.0494554
31,-1.0274227,-1.0082333,"('evil', 'good')",-1.0274227,-1.0082333,0.0191894
32,1.4161078,1.3064843,"('unkind', 'kind')",1.4161078,1.3064843,-0.1096235
33,0.04991161,0.020711549,"('wrong', 'right')",0.0499116,0.0207115,-0.0292001
34,4.6967697,4.801647,"('mean', 'honorable')",4.6967697,4.8016472,0.1048775
