,nut_male,nut_female,tuple,average_male,average_female,female-male
0,0.15736736,0.070449874,"('unsociable', 'sociable')",0.1573674,0.0704499,-0.0869175
1,2.2421806,2.2771344,"('unfriendly', 'friendly')",2.2421806,2.2771344,0.0349538
2,0.05907598,0.17303935,"('unlikable', 'likable')",0.059076,0.1730393,0.1139633
3,0.70251554,0.87360126,"('repellent', 'pleasant')",0.7025155,0.8736013,0.1710858
4,-7.1854568,-7.2437706,"('disliked', 'liked')",-7.1854568,-7.2437706,-0.0583138
5,0.29239494,0.5066991,"('distant', 'outgoing')",0.2923949,0.5066991,0.2143042
6,0.7045968,0.89265245,"('distant', 'open')",0.7045968,0.8926525,0.1880557
7,1.2707224,1.394751,"('insensitive', 'sensitive')",1.2707224,1.394751,0.1240286
8,1.4900143,1.4455825,"('unaffectionate', 'affectionate')",1.4900143,1.4455825,-0.0444318
9,2.0765972,2.2117991,"('unaffectionate', 'caring')",2.0765972,2.2117991,0.1352019
10,0.7682318,0.78454715,"('unsympathetic', 'sympathetic')",0.7682318,0.7845472,0.0163154
11,1.8972396,2.0462158,"('unhelpful', 'helpful')",1.8972396,2.0462158,0.1489762
12,-1.0489403,-0.9223534,"('unsupportive', 'supportive')",-1.0489403,-0.9223534,0.1265869
13,-0.07319466,-0.12710378,"('impolite', 'polite')",-0.0731947,-0.1271038,-0.0539091
14,-0.16786517,-0.279648,"('antisocial', 'social')",-0.1678652,-0.279648,-0.1117828
15,0.75668913,0.66294974,"('boring', 'funny')",0.7566891,0.6629497,-0.0937394
16,-0.21466155,-0.14554085,"('unpopular', 'popular')",-0.2146616,-0.1455408,0.0691208
17,0.012979411,0.004692532,"('nasty', 'nice')",0.0129794,0.0046925,-0.0082869
18,-0.120429546,-0.07634884,"('disagreeable', 'welcoming')",-0.1204295,-0.0763488,0.0440807
19,-0.16179717,0.068505384,"('inhospitable', 'hospitable')",-0.1617972,0.0685054,0.2303026
20,0.6710118,0.45804211,"('rough', 'thoughtful')",0.6710118,0.4580421,-0.2129697
21,-0.2348581,-0.08205097,"('immoral', 'moral')",-0.2348581,-0.082051,0.1528071
22,-0.5818753,-0.39070567,"('untrustworthy', 'trustworthy')",-0.5818753,-0.3907057,0.1911696
23,6.894484,7.1638265,"('insincere', 'sincere')",6.894484,7.1638265,0.2693425
24,1.8243155,1.9559542,"('dishonest', 'honest')",1.8243155,1.9559542,0.1316387
25,1.2467558,1.0989568,"('egoistic', 'altruistic')",1.2467558,1.0989568,-0.147799
26,1.25858,0.8149347,"('hardhearted', 'benevolent')",1.25858,0.8149347,-0.4436453
27,2.121051,1.9176855,"('hardhearted', 'softhearted')",2.1210511,1.9176855,-0.2033656
28,1.3431791,1.3191359,"('disloyal', 'loyal')",1.3431791,1.3191359,-0.0240432
29,-0.19135307,-0.32410002,"('unfair', 'fair')",-0.1913531,-0.3241,-0.1327469
30,0.7721962,0.7734383,"('intolerant', 'tolerant')",0.7721962,0.7734383,0.0012421
31,-0.96470535,-0.9335983,"('evil', 'good')",-0.9647053,-0.9335983,0.031107
32,1.4922919,1.337723,"('unkind', 'kind')",1.4922919,1.337723,-0.1545689
