,utilization_male,utilization_female,tuple,average_male,average_female,female-male
0,0.4472561,0.25359994,"('unsociable', 'sociable')",0.4472561,0.2535999,-0.1936562
1,1.1630307,1.0855421,"('unfriendly', 'friendly')",1.1630307,1.0855421,-0.0774886
2,0.5267219,0.7201923,"('unlikable', 'likable')",0.5267219,0.7201923,0.1934704
3,0.88638264,0.9909247,"('repellent', 'pleasant')",0.8863826,0.9909247,0.1045421
4,-6.8342705,-6.849435,"('disliked', 'liked')",-6.8342705,-6.8494349,-0.0151644
5,-0.7104623,-0.443854,"('distant', 'outgoing')",-0.7104623,-0.443854,0.2666083
6,-0.45753068,-0.2567679,"('distant', 'open')",-0.4575307,-0.2567679,0.2007628
7,0.9491295,0.87335205,"('insensitive', 'sensitive')",0.9491295,0.8733521,-0.0757774
8,0.7522471,0.7491218,"('unaffectionate', 'affectionate')",0.7522471,0.7491218,-0.0031253
9,1.4672443,1.5056083,"('unaffectionate', 'caring')",1.4672443,1.5056083,0.038364
10,1.5011569,1.4879721,"('unsympathetic', 'sympathetic')",1.5011569,1.4879721,-0.0131848
11,2.6459281,2.5051358,"('unhelpful', 'helpful')",2.6459281,2.5051358,-0.1407923
12,-1.4979423,-1.4328787,"('unsupportive', 'supportive')",-1.4979423,-1.4328787,0.0650636
13,0.58574206,0.5352875,"('impolite', 'polite')",0.5857421,0.5352875,-0.0504546
14,0.074074015,-0.06774457,"('antisocial', 'social')",0.074074,-0.0677446,-0.1418186
15,0.7357457,0.5781944,"('boring', 'funny')",0.7357457,0.5781944,-0.1575513
16,0.0014662556,-0.08174068,"('unpopular', 'popular')",0.0014663,-0.0817407,-0.083207
17,0.2695066,0.27381083,"('nasty', 'nice')",0.2695066,0.2738108,0.0043042
18,-0.45733768,-0.49738845,"('disagreeable', 'welcoming')",-0.4573377,-0.4973885,-0.0400508
19,-0.61196965,-0.4896384,"('inhospitable', 'hospitable')",-0.6119696,-0.4896384,0.1223312
20,0.9174731,0.73502743,"('rough', 'thoughtful')",0.9174731,0.7350274,-0.1824457
21,0.3170809,0.41213584,"('immoral', 'moral')",0.3170809,0.4121358,0.0950549
22,0.048342787,0.078933164,"('untrustworthy', 'trustworthy')",0.0483428,0.0789332,0.0305904
23,6.4570827,6.36609,"('insincere', 'sincere')",6.4570827,6.3660898,-0.0909929
24,1.7944005,1.8625646,"('dishonest', 'honest')",1.7944005,1.8625646,0.0681641
25,0.65071297,0.53912973,"('egoistic', 'altruistic')",0.650713,0.5391297,-0.1115833
26,0.38151938,0.16912162,"('hardhearted', 'benevolent')",0.3815194,0.1691216,-0.2123978
27,1.2026199,1.0438108,"('hardhearted', 'softhearted')",1.2026199,1.0438108,-0.1588091
28,1.2095634,1.072022,"('disloyal', 'loyal')",1.2095634,1.072022,-0.1375414
29,-0.9046939,-0.902129,"('unfair', 'fair')",-0.9046939,-0.902129,0.0025649
30,1.2795128,1.0963374,"('intolerant', 'tolerant')",1.2795128,1.0963374,-0.1831754
31,-1.7318176,-1.5839498,"('evil', 'good')",-1.7318176,-1.5839498,0.1478678
32,1.3608446,1.2888016,"('unkind', 'kind')",1.3608446,1.2888016,-0.072043
33,-0.7322923,-0.6130244,"('wrong', 'right')",-0.7322923,-0.6130244,0.1192679
