,sail_male,sail_female,tuple,average_male,average_female,female-male
0,-0.05995362,-0.07744785,"('unsociable', 'sociable')",-0.0599536,-0.0774478,-0.0174942
1,1.3593496,1.5620495,"('unfriendly', 'friendly')",1.3593496,1.5620495,0.2026999
2,0.03362482,0.12214668,"('unlikable', 'likable')",0.0336248,0.1221467,0.0885219
3,0.61986184,0.55426085,"('repellent', 'pleasant')",0.6198618,0.5542608,-0.065601
4,-7.5926394,-7.77085,"('disliked', 'liked')",-7.5926394,-7.7708502,-0.1782108
5,-0.8505529,-0.78988886,"('distant', 'outgoing')",-0.8505529,-0.7898889,0.060664
6,-0.19369137,-0.1498271,"('distant', 'open')",-0.1936914,-0.1498271,0.0438643
7,0.958694,0.9587357,"('insensitive', 'sensitive')",0.958694,0.9587357,4.17e-05
8,1.1778889,1.2261429,"('unaffectionate', 'affectionate')",1.1778889,1.2261429,0.048254
9,1.7153566,1.8066252,"('unaffectionate', 'caring')",1.7153566,1.8066252,0.0912686
10,0.969553,0.94421124,"('unsympathetic', 'sympathetic')",0.969553,0.9442112,-0.0253418
11,1.5679698,1.6659222,"('unhelpful', 'helpful')",1.5679698,1.6659222,0.0979524
12,-1.5030732,-1.5323017,"('unsupportive', 'supportive')",-1.5030732,-1.5323017,-0.0292285
13,-0.12626365,-0.14076197,"('impolite', 'polite')",-0.1262636,-0.140762,-0.0144984
14,0.32523417,0.29004952,"('antisocial', 'social')",0.3252342,0.2900495,-0.0351847
15,0.2625121,0.18376338,"('boring', 'funny')",0.2625121,0.1837634,-0.0787487
16,-0.4297499,-0.38519865,"('unpopular', 'popular')",-0.4297499,-0.3851987,0.0445512
17,-0.29799074,-0.3247664,"('nasty', 'nice')",-0.2979907,-0.3247664,-0.0267757
18,-0.54129136,-0.6341498,"('disagreeable', 'welcoming')",-0.5412914,-0.6341498,-0.0928584
19,-0.7808261,-0.66673744,"('inhospitable', 'hospitable')",-0.7808261,-0.6667374,0.1140887
20,0.77196175,0.6670442,"('rough', 'thoughtful')",0.7719617,0.6670442,-0.1049175
21,-0.16172898,-0.14903285,"('immoral', 'moral')",-0.161729,-0.1490328,0.0126962
