,premeditation_male,premeditation_female,tuple,average_male,average_female,female-male
0,-0.4161589,-0.6318013,"('unsociable', 'sociable')",-0.4161589,-0.6318013,-0.2156424
1,-0.7009897,-0.7780091,"('unfriendly', 'friendly')",-0.7009897,-0.7780091,-0.0770194
2,0.48954502,0.50881463,"('unlikable', 'likable')",0.489545,0.5088146,0.0192696
3,-0.6433715,-0.59157896,"('repellent', 'pleasant')",-0.6433715,-0.591579,0.0517925
4,-1.5144938,-1.6864758,"('disliked', 'liked')",-1.5144938,-1.6864758,-0.171982
5,-0.067113996,-0.03804883,"('distant', 'outgoing')",-0.067114,-0.0380488,0.0290652
6,0.06360417,0.097098134,"('distant', 'open')",0.0636042,0.0970981,0.0334939
7,-0.626159,-0.6355624,"('insensitive', 'sensitive')",-0.626159,-0.6355624,-0.0094034
8,-0.582169,-0.6155472,"('unaffectionate', 'affectionate')",-0.582169,-0.6155472,-0.0333782
9,-1.2814744,-1.2955037,"('unaffectionate', 'caring')",-1.2814744,-1.2955037,-0.0140293
10,-1.5744998,-1.6093074,"('unsympathetic', 'sympathetic')",-1.5744998,-1.6093074,-0.0348076
11,-0.3492106,-0.3055933,"('unhelpful', 'helpful')",-0.3492106,-0.3055933,0.0436173
12,-1.4503448,-1.4490694,"('unsupportive', 'supportive')",-1.4503448,-1.4490694,0.0012754
13,-1.3391533,-1.3571327,"('impolite', 'polite')",-1.3391533,-1.3571327,-0.0179794
14,0.027432771,0.010447718,"('antisocial', 'social')",0.0274328,0.0104477,-0.0169851
15,0.9831951,0.8913605,"('boring', 'funny')",0.9831951,0.8913605,-0.0918346
16,0.51965386,0.45459273,"('unpopular', 'popular')",0.5196539,0.4545927,-0.0650612
17,-0.5689768,-0.54542506,"('nasty', 'nice')",-0.5689768,-0.5454251,0.0235517
18,0.14718968,0.066740274,"('disagreeable', 'welcoming')",0.1471897,0.0667403,-0.0804494
19,-0.005478723,-0.104884036,"('inhospitable', 'hospitable')",-0.0054787,-0.104884,-0.0994053
20,0.8086217,0.8444333,"('rough', 'thoughtful')",0.8086217,0.8444333,0.0358116
21,-0.5450247,-0.54890007,"('immoral', 'moral')",-0.5450247,-0.5489001,-0.0038754
22,0.08830769,0.018785253,"('untrustworthy', 'trustworthy')",0.0883077,0.0187853,-0.0695224
23,1.4045708,1.3672923,"('insincere', 'sincere')",1.4045708,1.3672923,-0.0372785
24,-0.39120215,-0.4171722,"('dishonest', 'honest')",-0.3912022,-0.4171722,-0.02597
25,0.96712565,0.8767351,"('egoistic', 'altruistic')",0.9671257,0.8767351,-0.0903906
26,0.8415195,0.7546176,"('hardhearted', 'benevolent')",0.8415195,0.7546176,-0.0869019
27,-0.30828768,-0.27857733,"('hardhearted', 'softhearted')",-0.3082877,-0.2785773,0.0297104
28,-0.4293914,-0.48605514,"('disloyal', 'loyal')",-0.4293914,-0.4860551,-0.0566637
29,-0.18760817,-0.17964616,"('unfair', 'fair')",-0.1876082,-0.1796462,0.007962
30,0.34684438,0.27664563,"('intolerant', 'tolerant')",0.3468444,0.2766456,-0.0701988
31,0.052194223,0.052690215,"('evil', 'good')",0.0521942,0.0526902,0.000496
32,0.017549805,-0.044790186,"('unkind', 'kind')",0.0175498,-0.0447902,-0.06234
33,-0.14269012,-0.13507023,"('wrong', 'right')",-0.1426901,-0.1350702,0.0076199
34,2.4008048,2.4713635,"('mean', 'honorable')",2.4008048,2.4713635,0.0705587
35,0.95212936,0.84650373,"('corrupt', 'incorrupt')",0.9521294,0.8465037,-0.1056257
36,0.5992524,0.37211835,"('hostile', 'amicable')",0.5992524,0.3721184,-0.227134
37,-0.17274515,-0.13902675,"('fake', 'genuine')",-0.1727452,-0.1390267,0.0337185
38,-0.37755376,-0.37169415,"('untruthful', 'truthful')",-0.3775538,-0.3716941,0.0058597
39,0.1830663,0.3029456,"('exploitative', 'cooperative')",0.1830663,0.3029456,0.1198793
40,-0.44954515,-0.5845109,"('stingy', 'generous')",-0.4495451,-0.5845109,-0.1349658
41,-0.016928634,-0.18555051,"('unforgiving', 'forgiving')",-0.0169286,-0.1855505,-0.1686219
42,-0.17390397,-0.18514666,"('unreliable', 'reliable')",-0.173904,-0.1851467,-0.0112427
43,-0.5625211,-0.456356,"('irresponsible', 'responsible')",-0.5625211,-0.456356,0.1061651
44,0.18459588,0.3803409,"('prejudiced', 'unprejudiced')",0.1845959,0.3803409,0.195745
45,-0.117858894,-0.23268177,"('incompetent', 'competent')",-0.1178589,-0.2326818,-0.1148229
46,-1.4659353,-1.4800081,"('uncompetitive', 'competitive')",-1.4659353,-1.4800081,-0.0140728
47,1.868312,1.9954695,"('stupid', 'smart')",1.868312,1.9954695,0.1271575
48,-1.0930839,-0.96841997,"('unintelligent', 'intelligent')",-1.0930839,-0.96842,0.1246639
49,-0.15046872,0.06927705,"('unable', 'able')",-0.1504687,0.069277,0.2197457
50,1.0788023,1.0649916,"('clumsy', 'skillful')",1.0788023,1.0649916,-0.0138107
51,-0.2894564,-0.4782238,"('uneducated', 'educated')",-0.2894564,-0.4782238,-0.1887674
