,veil_male,veil_female,tuple,average_male,average_female,female-male
0,-0.17792255,-0.3022769,"('unsociable', 'sociable')",-0.1779225,-0.3022769,-0.1243544
1,1.1378478,1.1222103,"('unfriendly', 'friendly')",1.1378478,1.1222103,-0.0156375
2,0.021230942,0.08549471,"('unlikable', 'likable')",0.0212309,0.0854947,0.0642638
3,0.76664984,0.732061,"('repellent', 'pleasant')",0.7666498,0.732061,-0.0345888
4,-6.810085,-6.8795,"('disliked', 'liked')",-6.8100848,-6.8794999,-0.0694151
5,-0.60815823,-0.59821564,"('distant', 'outgoing')",-0.6081582,-0.5982156,0.0099426
6,0.020168722,-0.0040596314,"('distant', 'open')",0.0201687,-0.0040596,-0.0242283
7,0.7836887,0.83927596,"('insensitive', 'sensitive')",0.7836887,0.839276,0.0555873
8,1.085844,1.1418446,"('unaffectionate', 'affectionate')",1.085844,1.1418446,0.0560006
9,1.2104439,1.360499,"('unaffectionate', 'caring')",1.2104439,1.360499,0.1500551
10,1.1740928,1.1037163,"('unsympathetic', 'sympathetic')",1.1740928,1.1037163,-0.0703765
11,1.3569739,1.2901369,"('unhelpful', 'helpful')",1.3569739,1.2901369,-0.066837
12,-1.6935267,-1.6604671,"('unsupportive', 'supportive')",-1.6935267,-1.6604671,0.0330596
13,-0.22078764,-0.39847893,"('impolite', 'polite')",-0.2207876,-0.3984789,-0.1776913
14,0.15916124,0.038873795,"('antisocial', 'social')",0.1591612,0.0388738,-0.1202874
15,0.16762766,0.093344405,"('boring', 'funny')",0.1676277,0.0933444,-0.0742833
16,-0.3119106,-0.21931955,"('unpopular', 'popular')",-0.3119106,-0.2193196,0.092591
17,-0.48197883,-0.41851804,"('nasty', 'nice')",-0.4819788,-0.418518,0.0634608
18,-0.009772968,-0.09127111,"('disagreeable', 'welcoming')",-0.009773,-0.0912711,-0.0814981
19,-0.5030652,-0.4795593,"('inhospitable', 'hospitable')",-0.5030652,-0.4795593,0.0235059
20,0.95844597,0.89325047,"('rough', 'thoughtful')",0.958446,0.8932505,-0.0651955
21,-0.38499546,-0.39826605,"('immoral', 'moral')",-0.3849955,-0.398266,-0.0132705
22,-0.352722,-0.49725863,"('untrustworthy', 'trustworthy')",-0.352722,-0.4972586,-0.1445366
23,6.1661677,6.1511903,"('insincere', 'sincere')",6.1661677,6.1511903,-0.0149774
24,1.4969147,1.3754331,"('dishonest', 'honest')",1.4969147,1.3754331,-0.1214816
25,0.9106665,0.93481886,"('egoistic', 'altruistic')",0.9106665,0.9348189,0.0241524
26,0.6583961,0.69482666,"('hardhearted', 'benevolent')",0.6583961,0.6948267,0.0364306
27,1.5925419,1.4941968,"('hardhearted', 'softhearted')",1.5925419,1.4941968,-0.0983451
