,allegion_male,allegion_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-1.8035165,-1.9055536,"('unsociable', 'sociable')",-0.7736962,-0.9044138,-1.2886064,-1.4049838,-0.1163774
1,-1.7447082,-1.9370424,"('unfriendly', 'friendly')",2.6461594,2.5233586,0.4507256,0.2931581,-0.1575675
2,0.28900716,0.38663518,"('unlikable', 'likable')",0.38639393,0.42414775,0.3377005,0.4053915,0.067691
3,-1.0587664,-0.92835766,"('repellent', 'pleasant')",-0.36229417,-0.21468765,-0.7105303,-0.5715227,0.1390076
4,0.64565766,0.5432322,"('disliked', 'liked')",-5.276194,-5.640713,-2.3152683,-2.5487404,-0.2334721
5,0.28251317,0.22082937,"('distant', 'outgoing')",0.8780003,0.85964286,0.5802568,0.5402361,-0.0400207
6,0.0548622,-0.023292888,"('distant', 'open')",0.7745575,0.7827721,0.4147098,0.3797396,-0.0349702
7,-1.0253822,-0.9839077,"('insensitive', 'sensitive')",0.32272533,0.42072177,-0.3513284,-0.281593,0.0697354
8,-0.5548795,-0.64116377,"('unaffectionate', 'affectionate')",1.4781669,1.369916,0.4616437,0.3643761,-0.0972676
9,-1.1744308,-1.2568951,"('unaffectionate', 'caring')",1.456846,1.4556639,0.1412076,0.0993844,-0.0418232
10,-2.649855,-2.6169662,"('unsympathetic', 'sympathetic')",-0.9426483,-0.83209264,-1.7962515,-1.7245295,0.071722
11,-1.4184152,-1.3410631,"('unhelpful', 'helpful')",0.96365553,1.1217593,-0.2273798,-0.1096519,0.1177279
12,-1.3201144,-1.2728271,"('unsupportive', 'supportive')",-1.4582359,-1.4545851,-1.3891752,-1.3637061,0.0254691
13,-1.8477669,-1.8361894,"('impolite', 'polite')",-1.2192944,-1.172545,-1.5335307,-1.5043671,0.0291636
14,-0.7177562,-0.65560067,"('antisocial', 'social')",0.09995585,0.07170576,-0.3089002,-0.2919475,0.0169527
15,0.5782032,0.43912587,"('boring', 'funny')",0.2911314,0.23206906,0.4346673,0.3355975,-0.0990698
16,-0.36551744,-0.30834347,"('unpopular', 'popular')",0.01933276,0.022326127,-0.1730923,-0.1430087,0.0300836
17,-0.055900827,-0.0515904,"('nasty', 'nice')",-0.47999123,-0.45429903,-0.267946,-0.2529447,0.0150013
18,-0.41280472,-0.33604634,"('disagreeable', 'welcoming')",-0.56023693,-0.48930165,-0.4865208,-0.412674,0.0738468
19,-0.714451,-0.7681464,"('inhospitable', 'hospitable')",0.25964653,0.2675376,-0.2274022,-0.2503044,-0.0229022
20,-0.52938944,-0.4448738,"('rough', 'thoughtful')",1.1182064,1.0540959,0.2944085,0.304611,0.0102025
21,-1.3811883,-1.2741829,"('immoral', 'moral')",-1.6470163,-1.462336,-1.5141022,-1.3682594,0.1458428
22,-1.2524619,-1.2267047,"('untrustworthy', 'trustworthy')",-0.81637126,-0.7948362,-1.0344166,-1.0107704,0.0236462
23,-1.430055,-1.468579,"('insincere', 'sincere')",5.2044387,5.379153,1.8871918,1.9552869,0.0680951
24,-1.0197445,-1.0271031,"('dishonest', 'honest')",0.53590435,0.49241647,-0.2419201,-0.2673433,-0.0254232
25,0.2969851,0.28021687,"('egoistic', 'altruistic')",1.9498367,1.9067862,1.1234109,1.0935016,-0.0299093
