,basil_male,basil_female,tuple,average_male,average_female,female-male
0,0.5575667,0.56243974,"('unsociable', 'sociable')",0.5575667,0.5624397,0.004873
1,1.0484399,1.0069255,"('unfriendly', 'friendly')",1.0484399,1.0069255,-0.0415144
2,0.48325694,0.63266975,"('unlikable', 'likable')",0.4832569,0.6326697,0.1494128
3,0.93292826,1.1598848,"('repellent', 'pleasant')",0.9329283,1.1598848,0.2269565
4,-6.797304,-6.7623377,"('disliked', 'liked')",-6.7973042,-6.7623377,0.0349665
5,-0.6407976,-0.4732203,"('distant', 'outgoing')",-0.6407976,-0.4732203,0.1675773
6,-0.16940641,-0.1278174,"('distant', 'open')",-0.1694064,-0.1278174,0.041589
7,1.4892907,1.5003031,"('insensitive', 'sensitive')",1.4892907,1.5003031,0.0110124
8,1.0504788,0.86689144,"('unaffectionate', 'affectionate')",1.0504788,0.8668914,-0.1835874
9,1.2836256,1.2263323,"('unaffectionate', 'caring')",1.2836256,1.2263323,-0.0572933
10,1.7965223,1.7176961,"('unsympathetic', 'sympathetic')",1.7965223,1.7176961,-0.0788262
11,1.8559594,1.9301817,"('unhelpful', 'helpful')",1.8559594,1.9301817,0.0742223
12,-1.0277609,-0.91465557,"('unsupportive', 'supportive')",-1.0277609,-0.9146556,0.1131053
13,0.18303533,0.2524057,"('impolite', 'polite')",0.1830353,0.2524057,0.0693704
14,0.40453106,0.49678785,"('antisocial', 'social')",0.4045311,0.4967878,0.0922567
15,0.26129285,0.32482564,"('boring', 'funny')",0.2612928,0.3248256,0.0635328
16,-0.72032887,-0.52418983,"('unpopular', 'popular')",-0.7203289,-0.5241898,0.1961391
17,0.18665114,0.1727332,"('nasty', 'nice')",0.1866511,0.1727332,-0.0139179
18,-0.4835637,-0.40783918,"('disagreeable', 'welcoming')",-0.4835637,-0.4078392,0.0757245
19,-0.49207458,-0.4492656,"('inhospitable', 'hospitable')",-0.4920746,-0.4492656,0.042809
20,0.8654006,0.72746366,"('rough', 'thoughtful')",0.8654006,0.7274637,-0.1379369
21,0.3321005,0.50185287,"('immoral', 'moral')",0.3321005,0.5018529,0.1697524
22,0.34990314,0.37530053,"('untrustworthy', 'trustworthy')",0.3499031,0.3753005,0.0253974
23,6.116556,6.2686853,"('insincere', 'sincere')",6.1165562,6.2686853,0.1521291
24,1.7821823,1.8674151,"('dishonest', 'honest')",1.7821823,1.8674151,0.0852328
25,0.17072952,0.15860066,"('egoistic', 'altruistic')",0.1707295,0.1586007,-0.0121288
26,0.5260708,0.22681636,"('hardhearted', 'benevolent')",0.5260708,0.2268164,-0.2992544
27,1.9092972,1.6834178,"('hardhearted', 'softhearted')",1.9092972,1.6834178,-0.2258794
28,1.0491973,0.9226383,"('disloyal', 'loyal')",1.0491973,0.9226383,-0.126559
29,-0.18909769,-0.28899848,"('unfair', 'fair')",-0.1890977,-0.2889985,-0.0999008
30,1.3254459,1.2932812,"('intolerant', 'tolerant')",1.3254459,1.2932812,-0.0321647
31,-1.3074927,-1.2059898,"('evil', 'good')",-1.3074927,-1.2059898,0.1015029
32,1.3571354,1.2265644,"('unkind', 'kind')",1.3571354,1.2265644,-0.130571
33,-1.1727542,-1.0617622,"('wrong', 'right')",-1.1727542,-1.0617622,0.110992
34,4.1351504,4.427208,"('mean', 'honorable')",4.1351504,4.4272079,0.2920575
35,-1.3862182,-1.5226777,"('corrupt', 'incorrupt')",-1.3862182,-1.5226777,-0.1364595
36,-0.8833636,-1.0914735,"('hostile', 'amicable')",-0.8833636,-1.0914735,-0.2081099
37,0.8354241,0.80936015,"('fake', 'genuine')",0.8354241,0.8093601,-0.026064
38,-0.37832308,-0.30206716,"('untruthful', 'truthful')",-0.3783231,-0.3020672,0.0762559
39,-0.028083783,0.070015915,"('exploitative', 'cooperative')",-0.0280838,0.0700159,0.0980997
40,-0.7262447,-0.7868027,"('stingy', 'generous')",-0.7262447,-0.7868027,-0.060558
41,0.35778224,0.17462133,"('unforgiving', 'forgiving')",0.3577822,0.1746213,-0.1831609
42,-1.1406577,-1.205031,"('unreliable', 'reliable')",-1.1406577,-1.205031,-0.0643733
43,1.5398976,1.5710177,"('irresponsible', 'responsible')",1.5398976,1.5710177,0.0311201
44,-1.2157756,-1.3746654,"('prejudiced', 'unprejudiced')",-1.2157756,-1.3746654,-0.1588898
45,0.8692224,0.8395633,"('incompetent', 'competent')",0.8692224,0.8395633,-0.0296591
46,-0.15029143,-0.12323188,"('uncompetitive', 'competitive')",-0.1502914,-0.1232319,0.0270595
47,5.2516403,5.4869614,"('stupid', 'smart')",5.2516403,5.4869614,0.2353211
48,1.0810081,1.0119637,"('unintelligent', 'intelligent')",1.0810081,1.0119637,-0.0690444
49,-0.3321283,-0.14775959,"('unable', 'able')",-0.3321283,-0.1477596,0.1843687
50,-0.038050093,-0.058253054,"('clumsy', 'skillful')",-0.0380501,-0.0582531,-0.020203
51,0.7633414,0.8054367,"('uneducated', 'educated')",0.7633414,0.8054367,0.0420953
52,-0.61568964,-0.66205114,"('irrational', 'rational')",-0.6156896,-0.6620511,-0.0463615
53,0.52414554,0.47025323,"('uncreative', 'creative')",0.5241455,0.4702532,-0.0538923
54,0.81457084,0.9239121,"('incapable', 'capable')",0.8145708,0.9239121,0.1093413
55,1.2286112,1.2990853,"('incompetent', 'clever')",1.2286112,1.2990853,0.0704741
56,0.63966954,0.8413917,"('impractical', 'practical')",0.6396695,0.8413917,0.2017222
57,-1.898598,-1.940411,"('unimaginative', 'imaginative')",-1.898598,-1.940411,-0.041813
58,0.08695543,-0.012383901,"('undiscriminating', 'discriminating')",0.0869554,-0.0123839,-0.0993393
59,-0.10887285,0.020172007,"('foolish', 'wise')",-0.1088729,0.020172,0.1290449
60,0.5482237,0.78879356,"('inefficient', 'efficient')",0.5482237,0.7887936,0.2405699
61,0.70998955,0.56385136,"('illogical', 'logical')",0.7099895,0.5638514,-0.1461381
62,1.4556888,1.7196382,"('incompetent', 'brilliant')",1.4556888,1.7196382,0.2639494
63,0.9035112,1.1271584,"('unperceptive', 'insightful')",0.9035112,1.1271584,0.2236472
64,-5.387633,-5.151905,"('shy', 'confident')",-5.3876328,-5.1519051,0.2357277
65,1.5220335,1.4852943,"('insecure', 'secure')",1.5220335,1.4852943,-0.0367392
66,0.15496883,0.050226327,"('inactive', 'active')",0.1549688,0.0502263,-0.1047425
67,-0.9178002,-0.77284163,"('doubtful', 'determined')",-0.9178002,-0.7728416,0.1449586
68,-0.4709223,-0.30388534,"('dependent', 'independent')",-0.4709223,-0.3038853,0.167037
69,-1.978906,-1.8907254,"('lazy', 'industrious')",-1.978906,-1.8907254,0.0881806
70,1.9488962,1.988928,"('lethargic', 'energetic')",1.9488962,1.988928,0.0400318
71,0.029562032,0.29176402,"('diffident', 'self-confident')",0.029562,0.291764,0.262202
72,0.7918075,0.977351,"('unambitious', 'ambitious')",0.7918075,0.977351,0.1855435
73,-2.9415357,-2.7986565,"('helpless', 'self-reliant')",-2.9415357,-2.7986565,0.1428792
74,0.38868105,0.33820096,"('undedicated', 'dedicated')",0.3886811,0.338201,-0.0504801
75,-0.74128985,-0.699617,"('meek', 'impulsive')",-0.7412899,-0.699617,0.0416729
76,1.2956275,1.1945714,"('anxious', 'daring')",1.2956275,1.1945714,-0.1010561
77,-0.9799762,-0.82753944,"('unmotivated', 'motivated')",-0.9799762,-0.8275394,0.1524368
78,-0.42625463,-0.41269493,"('nonresilient', 'resilient')",-0.4262546,-0.4126949,0.0135597
79,-0.10462238,-0.21871902,"('wavering', 'unwavering')",-0.1046224,-0.218719,-0.1140966
80,0.3270688,0.27566075,"('dominated', 'dominating')",0.3270688,0.2756608,-0.051408
81,0.43760794,0.56032676,"('submissive', 'aggressive')",0.4376079,0.5603268,0.1227189
82,6.095229,6.2951055,"('poor', 'rich')",6.0952291,6.2951055,0.1998764
83,-0.7839273,-0.7524665,"('powerless', 'powerful')",-0.7839273,-0.7524665,0.0314608
84,0.29708093,0.16591755,"('inferior', 'superior')",0.2970809,0.1659175,-0.1311634
85,-1.4811434,-1.6615102,"('insignificant', 'prestigious')",-1.4811434,-1.6615102,-0.1803668
86,0.63089985,0.6953283,"('uninfluential', 'influential')",0.6308998,0.6953283,0.0644285
87,0.124431044,0.31916273,"('unsuccessful', 'successful')",0.124431,0.3191627,0.1947317
88,0.0031911302,0.041837513,"('low', 'eminent')",0.0031911,0.0418375,0.0386464
