,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.903087,-2.080124,"('unsociable', 'sociable')",-0.24781041,-0.4373291,-1.0754488,-1.2587265,-0.1832777
1,-0.6091566,-0.77992326,"('unfriendly', 'friendly')",1.4790262,1.316415,0.4349348,0.2682458,-0.166689
2,1.2291149,1.2164943,"('unlikable', 'likable')",0.97133243,1.0002264,1.1002237,1.1083603,0.0081366
3,-0.69514966,-0.623834,"('repellent', 'pleasant')",0.7119261,0.7618117,0.0083882,0.0689888,0.0606006
4,-0.05334077,-0.105338484,"('disliked', 'liked')",-6.074671,-6.0698767,-3.0640059,-3.0876076,-0.0236017
5,0.3514179,0.3232677,"('distant', 'outgoing')",-0.41290003,-0.39486152,-0.0307411,-0.0357969,-0.0050558
6,-0.079544716,-0.1387743,"('distant', 'open')",-0.5294752,-0.5898367,-0.30451,-0.3643055,-0.0597955
7,-1.0711876,-1.1245997,"('insensitive', 'sensitive')",0.00929152,-0.028691312,-0.530948,-0.5766455,-0.0456975
8,-0.17338757,-0.22605124,"('unaffectionate', 'affectionate')",0.5219191,0.4267974,0.1742657,0.1003731,-0.0738926
9,-0.709195,-0.8572295,"('unaffectionate', 'caring')",0.8655124,0.7686378,0.0781587,-0.0442958,-0.1224545
10,-2.2746925,-2.3516588,"('unsympathetic', 'sympathetic')",-0.8455114,-0.9702689,-1.560102,-1.6609639,-0.1008619
11,-0.926728,-0.9841552,"('unhelpful', 'helpful')",1.2055941,1.1963179,0.139433,0.1060814,-0.0333516
12,-1.0731597,-1.0448222,"('unsupportive', 'supportive')",-2.2855592,-2.2997212,-1.6793594,-1.6722717,0.0070877
13,-1.8035411,-1.8608513,"('impolite', 'polite')",-1.1898237,-1.2360448,-1.4966824,-1.5484481,-0.0517657
14,-1.0606786,-1.0742947,"('antisocial', 'social')",-0.05040873,-0.12060793,-0.5555437,-0.5974513,-0.0419076
15,0.20307522,0.09638036,"('boring', 'funny')",0.09694862,0.09230195,0.1500119,0.0943412,-0.0556707
16,0.069725096,0.04490608,"('unpopular', 'popular')",0.5094574,0.46998775,0.2895913,0.2574469,-0.0321444
17,-0.0486934,0.01036399,"('nasty', 'nice')",-0.16997203,-0.120258704,-0.1093327,-0.0549474,0.0543853
18,-0.14942978,-0.19911271,"('disagreeable', 'welcoming')",-0.5844416,-0.6485374,-0.3669357,-0.4238251,-0.0568894
19,-0.76488143,-0.7976203,"('inhospitable', 'hospitable')",-0.54806906,-0.5302635,-0.6564752,-0.6639419,-0.0074667
20,0.21933143,0.22018643,"('rough', 'thoughtful')",1.0421609,1.0177797,0.6307461,0.6189831,-0.011763
21,-0.8289715,-0.90944546,"('immoral', 'moral')",-0.59614176,-0.610199,-0.7125566,-0.7598222,-0.0472656
22,-1.2037606,-1.2483876,"('untrustworthy', 'trustworthy')",-1.1341453,-1.2390542,-1.1689529,-1.2437209,-0.074768
23,-0.863955,-1.0051506,"('insincere', 'sincere')",5.284583,5.105533,2.210314,2.0501914,-0.1601226
24,-0.4976967,-0.62955797,"('dishonest', 'honest')",0.41302827,0.3341586,-0.0423342,-0.1476997,-0.1053655
25,0.37951773,0.36195278,"('egoistic', 'altruistic')",1.5236924,1.5588454,0.9516051,0.9603991,0.008794
26,0.32467943,0.24440391,"('hardhearted', 'benevolent')",1.7584224,1.6722685,1.0415509,0.9583362,-0.0832147
27,-0.31851745,-0.37402695,"('hardhearted', 'softhearted')",1.0848624,0.95650035,0.3831725,0.2912367,-0.0919358
28,-0.91339445,-1.0839019,"('disloyal', 'loyal')",0.95223117,0.8194741,0.0194184,-0.1322139,-0.1516323
29,-0.67839324,-0.7253473,"('unfair', 'fair')",-0.20943747,-0.32203388,-0.4439154,-0.5236906,-0.0797752
30,-0.92977303,-1.0006908,"('intolerant', 'tolerant')",0.8492914,0.746672,-0.0402408,-0.1270094,-0.0867686
31,0.3448026,0.44894227,"('evil', 'good')",-0.5305563,-0.5363318,-0.0928769,-0.0436947,0.0491822
32,-0.82646275,-1.0158477,"('unkind', 'kind')",0.5919407,0.3683681,-0.117261,-0.3237398,-0.2064788
33,0.5302452,0.3953625,"('wrong', 'right')",-0.63714015,-0.6315742,-0.0534475,-0.1181059,-0.0646584
34,0.043968383,0.16845416,"('mean', 'honorable')",5.1863065,5.2840204,2.6151373,2.7262373,0.1111
35,0.92674744,0.87783664,"('corrupt', 'incorrupt')",-0.20820813,-0.20433702,0.3592696,0.3367498,-0.0225198
36,0.7875184,0.6674547,"('hostile', 'amicable')",0.1268477,0.0075657237,0.457183,0.3375102,-0.1196728
37,-0.12573563,-0.13897139,"('fake', 'genuine')",-0.26083624,-0.2753687,-0.1932859,-0.20717,-0.0138841
38,-0.85483825,-0.8830953,"('untruthful', 'truthful')",-0.44268414,-0.38763937,-0.6487612,-0.6353673,0.0133939
39,0.85314983,0.9015769,"('exploitative', 'cooperative')",0.4107971,0.44075948,0.6319734,0.6711682,0.0391948
