,copying_male,copying_female,tuple,average_male,average_female,female-male
0,-0.015798332,-0.23457691,"('unsociable', 'sociable')",-0.0157983,-0.2345769,-0.2187786
1,1.6256686,1.7476726,"('unfriendly', 'friendly')",1.6256686,1.7476726,0.122004
2,0.45838892,0.61641777,"('unlikable', 'likable')",0.4583889,0.6164178,0.1580289
3,0.62949723,0.8147612,"('repellent', 'pleasant')",0.6294972,0.8147612,0.185264
4,-7.7699075,-7.7386622,"('disliked', 'liked')",-7.7699075,-7.7386622,0.0312453
5,-0.43881404,-0.101731785,"('distant', 'outgoing')",-0.438814,-0.1017318,0.3370822
6,-0.11340592,0.23437366,"('distant', 'open')",-0.1134059,0.2343737,0.3477796
7,0.56767744,0.6693446,"('insensitive', 'sensitive')",0.5676774,0.6693446,0.1016672
8,1.3223772,1.3616955,"('unaffectionate', 'affectionate')",1.3223772,1.3616955,0.0393183
9,2.009882,2.1699681,"('unaffectionate', 'caring')",2.009882,2.1699681,0.1600861
10,0.86826915,0.88698304,"('unsympathetic', 'sympathetic')",0.8682691,0.886983,0.0187139
11,1.9433315,1.9970703,"('unhelpful', 'helpful')",1.9433315,1.9970703,0.0537388
12,-1.5377958,-1.5592575,"('unsupportive', 'supportive')",-1.5377958,-1.5592575,-0.0214617
13,0.28587395,0.026020363,"('impolite', 'polite')",0.2858739,0.0260204,-0.2598535
14,-0.5220779,-0.55368024,"('antisocial', 'social')",-0.5220779,-0.5536802,-0.0316023
15,0.10557431,-0.019209232,"('boring', 'funny')",0.1055743,-0.0192092,-0.1247835
16,-0.28925836,-0.07932428,"('unpopular', 'popular')",-0.2892584,-0.0793243,0.2099341
17,0.20758331,0.26596704,"('nasty', 'nice')",0.2075833,0.265967,0.0583837
18,-0.74763685,-0.8166793,"('disagreeable', 'welcoming')",-0.7476369,-0.8166793,-0.0690424
19,-0.49463326,-0.24564575,"('inhospitable', 'hospitable')",-0.4946333,-0.2456457,0.2489876
20,0.97137403,0.79124546,"('rough', 'thoughtful')",0.971374,0.7912455,-0.1801285
21,-0.40990722,-0.27332208,"('immoral', 'moral')",-0.4099072,-0.2733221,0.1365851
22,-1.0036529,-0.9823813,"('untrustworthy', 'trustworthy')",-1.0036529,-0.9823813,0.0212716
23,6.9981,7.070904,"('insincere', 'sincere')",6.9980998,7.0709038,0.072804
24,1.6149842,1.7089307,"('dishonest', 'honest')",1.6149842,1.7089307,0.0939465
25,0.5537907,0.53229845,"('egoistic', 'altruistic')",0.5537907,0.5322984,-0.0214923
26,0.6901307,0.5246583,"('hardhearted', 'benevolent')",0.6901307,0.5246583,-0.1654724
27,1.5207759,1.4385718,"('hardhearted', 'softhearted')",1.5207759,1.4385718,-0.0822041
28,1.54556,1.6216025,"('disloyal', 'loyal')",1.54556,1.6216025,0.0760425
29,-0.42147326,-0.4239807,"('unfair', 'fair')",-0.4214733,-0.4239807,-0.0025074
30,1.0019258,1.0143462,"('intolerant', 'tolerant')",1.0019258,1.0143462,0.0124204
31,-1.4933109,-1.2475052,"('evil', 'good')",-1.4933109,-1.2475052,0.2458057
32,1.5591187,1.4042751,"('unkind', 'kind')",1.5591187,1.4042751,-0.1548436
33,-0.114216276,-0.13915351,"('wrong', 'right')",-0.1142163,-0.1391535,-0.0249372
34,5.0215764,5.4216876,"('mean', 'honorable')",5.0215764,5.4216876,0.4001112
35,-1.097131,-1.0557306,"('corrupt', 'incorrupt')",-1.097131,-1.0557306,0.0414004
36,-0.885412,-0.70873475,"('hostile', 'amicable')",-0.885412,-0.7087348,0.1766772
37,0.7002485,0.76665944,"('fake', 'genuine')",0.7002485,0.7666594,0.0664109
