,somersault_male,somersault_female,tuple,average_male,average_female,female-male
0,-0.8050717,-0.90407395,"('unsociable', 'sociable')",-0.8050717,-0.904074,-0.0990023
1,-0.2946662,-0.31949252,"('unfriendly', 'friendly')",-0.2946662,-0.3194925,-0.0248263
2,-0.024250183,0.095736116,"('unlikable', 'likable')",-0.0242502,0.0957361,0.1199863
3,-0.8935849,-0.8379076,"('repellent', 'pleasant')",-0.8935849,-0.8379076,0.0556773
4,-1.5764705,-1.6046265,"('disliked', 'liked')",-1.5764705,-1.6046265,-0.028156
5,-0.12805708,-0.100044355,"('distant', 'outgoing')",-0.1280571,-0.1000444,0.0280127
6,-0.5381594,-0.5705586,"('distant', 'open')",-0.5381594,-0.5705586,-0.0323992
7,-0.40933484,-0.39636025,"('insensitive', 'sensitive')",-0.4093348,-0.3963602,0.0129746
8,-0.76129276,-0.7155766,"('unaffectionate', 'affectionate')",-0.7612928,-0.7155766,0.0457162
9,-1.1761646,-1.1099463,"('unaffectionate', 'caring')",-1.1761646,-1.1099463,0.0662183
10,-1.4561028,-1.5922577,"('unsympathetic', 'sympathetic')",-1.4561028,-1.5922577,-0.1361549
11,-1.3432372,-1.1529427,"('unhelpful', 'helpful')",-1.3432372,-1.1529427,0.1902945
12,-1.9906298,-2.0222692,"('unsupportive', 'supportive')",-1.9906298,-2.0222692,-0.0316394
13,-1.151431,-1.0738269,"('impolite', 'polite')",-1.151431,-1.0738269,0.0776041
14,0.14111367,0.22883639,"('antisocial', 'social')",0.1411137,0.2288364,0.0877227
15,0.85842854,0.8247965,"('boring', 'funny')",0.8584285,0.8247965,-0.033632
16,-0.70022714,-0.7865027,"('unpopular', 'popular')",-0.7002271,-0.7865027,-0.0862756
17,0.19965072,0.17507364,"('nasty', 'nice')",0.1996507,0.1750736,-0.0245771
18,-0.8205806,-0.8042324,"('disagreeable', 'welcoming')",-0.8205806,-0.8042324,0.0163482
19,-0.9017559,-0.89071393,"('inhospitable', 'hospitable')",-0.9017559,-0.8907139,0.011042
20,0.41688073,0.3146452,"('rough', 'thoughtful')",0.4168807,0.3146452,-0.1022355
21,-1.2547679,-1.1808368,"('immoral', 'moral')",-1.2547679,-1.1808368,0.0739311
22,0.3127322,0.27101845,"('untrustworthy', 'trustworthy')",0.3127322,0.2710184,-0.0417138
23,0.8373376,0.8757764,"('insincere', 'sincere')",0.8373376,0.8757764,0.0384388
24,-1.0708929,-1.1341022,"('dishonest', 'honest')",-1.0708929,-1.1341022,-0.0632093
25,1.0881355,1.1495788,"('egoistic', 'altruistic')",1.0881355,1.1495788,0.0614433
26,1.5032269,1.3219087,"('hardhearted', 'benevolent')",1.5032269,1.3219087,-0.1813182
27,0.37465197,0.26047227,"('hardhearted', 'softhearted')",0.374652,0.2604723,-0.1141797
28,-1.2733834,-1.3254074,"('disloyal', 'loyal')",-1.2733834,-1.3254074,-0.052024
29,-0.57038313,-0.67188704,"('unfair', 'fair')",-0.5703831,-0.671887,-0.1015039
30,-0.20789596,-0.15043968,"('intolerant', 'tolerant')",-0.207896,-0.1504397,0.0574563
31,0.053939722,-0.11771536,"('evil', 'good')",0.0539397,-0.1177154,-0.1716551
32,-0.3251121,-0.45672482,"('unkind', 'kind')",-0.3251121,-0.4567248,-0.1316127
33,-0.009990137,-0.082724944,"('wrong', 'right')",-0.0099901,-0.0827249,-0.0727348
34,1.2044855,1.3218691,"('mean', 'honorable')",1.2044855,1.3218691,0.1173836
35,1.3966343,1.1862959,"('corrupt', 'incorrupt')",1.3966343,1.1862959,-0.2103384
36,0.83169144,0.6113155,"('hostile', 'amicable')",0.8316914,0.6113155,-0.2203759
37,-0.12180437,-0.0025718752,"('fake', 'genuine')",-0.1218044,-0.0025719,0.1192325
38,-0.8662165,-0.79095304,"('untruthful', 'truthful')",-0.8662165,-0.790953,0.0752635
39,-0.22311094,-0.08210537,"('exploitative', 'cooperative')",-0.2231109,-0.0821054,0.1410055
40,-0.5125225,-0.5372328,"('stingy', 'generous')",-0.5125225,-0.5372328,-0.0247103
41,0.3125415,0.032626193,"('unforgiving', 'forgiving')",0.3125415,0.0326262,-0.2799153
42,-0.62903523,-0.6625206,"('unreliable', 'reliable')",-0.6290352,-0.6625206,-0.0334854
43,-1.696481,-1.6779191,"('irresponsible', 'responsible')",-1.696481,-1.6779191,0.0185619
44,0.035116505,0.18592073,"('prejudiced', 'unprejudiced')",0.0351165,0.1859207,0.1508042
45,0.0227131,-0.2054201,"('incompetent', 'competent')",0.0227131,-0.2054201,-0.2281332
46,-1.3786169,-1.3438499,"('uncompetitive', 'competitive')",-1.3786169,-1.3438499,0.034767
47,1.5879472,1.5622203,"('stupid', 'smart')",1.5879472,1.5622203,-0.0257269
48,-0.86330676,-0.70067286,"('unintelligent', 'intelligent')",-0.8633068,-0.7006729,0.1626339
49,-0.89596564,-0.6743357,"('unable', 'able')",-0.8959656,-0.6743357,0.2216299
50,0.12312938,0.0447732,"('clumsy', 'skillful')",0.1231294,0.0447732,-0.0783562
51,-1.0045285,-1.0133872,"('uneducated', 'educated')",-1.0045285,-1.0133872,-0.0088587
52,-0.5762813,-0.634449,"('irrational', 'rational')",-0.5762813,-0.634449,-0.0581677
53,-0.455949,-0.48453632,"('uncreative', 'creative')",-0.455949,-0.4845363,-0.0285873
54,0.08083847,0.017848585,"('incapable', 'capable')",0.0808385,0.0178486,-0.0629899
55,-0.5576473,-0.4848605,"('incompetent', 'clever')",-0.5576473,-0.4848605,0.0727868
56,-0.14496472,-0.11029451,"('impractical', 'practical')",-0.1449647,-0.1102945,0.0346702
57,-0.90589327,-1.1000876,"('unimaginative', 'imaginative')",-0.9058933,-1.1000876,-0.1941943
58,0.46709806,0.35685435,"('undiscriminating', 'discriminating')",0.4670981,0.3568543,-0.1102438
59,-0.32989132,-0.38775995,"('foolish', 'wise')",-0.3298913,-0.38776,-0.0578687
60,-1.3965473,-1.060279,"('inefficient', 'efficient')",-1.3965473,-1.060279,0.3362683
61,-0.6420007,-0.7304187,"('illogical', 'logical')",-0.6420007,-0.7304187,-0.088418
62,-0.8994623,-0.5852146,"('incompetent', 'brilliant')",-0.8994623,-0.5852146,0.3142477
63,-0.6840225,-0.61104405,"('unperceptive', 'insightful')",-0.6840225,-0.611044,0.0729785
64,-1.9641864,-1.9387367,"('shy', 'confident')",-1.9641864,-1.9387367,0.0254497
65,-0.25368702,-0.14094156,"('insecure', 'secure')",-0.253687,-0.1409416,0.1127454
66,0.31130219,0.28486112,"('inactive', 'active')",0.3113022,0.2848611,-0.0264411
67,0.1318079,0.096939914,"('doubtful', 'determined')",0.1318079,0.0969399,-0.034868
68,-0.3458941,-0.20975403,"('dependent', 'independent')",-0.3458941,-0.209754,0.1361401
69,1.138082,1.1386019,"('lazy', 'industrious')",1.138082,1.1386019,0.0005199
70,-0.2629984,-0.3541736,"('lethargic', 'energetic')",-0.2629984,-0.3541736,-0.0911752
71,-0.06787766,0.021997496,"('diffident', 'self-confident')",-0.0678777,0.0219975,0.0898752
72,-0.10827729,-0.039061822,"('unambitious', 'ambitious')",-0.1082773,-0.0390618,0.0692155
73,-0.41056335,-0.23506117,"('helpless', 'self-reliant')",-0.4105633,-0.2350612,0.1755021
74,-0.48614055,-0.5259441,"('undedicated', 'dedicated')",-0.4861405,-0.5259441,-0.0398036
75,0.90607965,0.8596928,"('meek', 'impulsive')",0.9060796,0.8596928,-0.0463868
76,-0.27490827,-0.032043524,"('anxious', 'daring')",-0.2749083,-0.0320435,0.2428648
77,-1.5878369,-1.4682126,"('unmotivated', 'motivated')",-1.5878369,-1.4682126,0.1196243
78,-0.79757917,-0.81442004,"('nonresilient', 'resilient')",-0.7975792,-0.81442,-0.0168408
