,fleece_male,fleece_female,tuple,average_male,average_female,female-male
0,-0.7271015,-0.8177703,"('unsociable', 'sociable')",-0.7271015,-0.8177703,-0.0906688
1,-1.537008,-1.6910034,"('unfriendly', 'friendly')",-1.537008,-1.6910034,-0.1539954
2,0.40613723,0.5047262,"('unlikable', 'likable')",0.4061372,0.5047262,0.098589
3,-0.63742596,-0.53390175,"('repellent', 'pleasant')",-0.637426,-0.5339018,0.1035242
4,-2.234648,-2.1172137,"('disliked', 'liked')",-2.234648,-2.1172137,0.1174343
5,-0.78646,-0.7709179,"('distant', 'outgoing')",-0.78646,-0.7709179,0.0155421
6,-1.50209,-1.4833267,"('distant', 'open')",-1.50209,-1.4833267,0.0187633
7,-0.07919987,0.008664596,"('insensitive', 'sensitive')",-0.0791999,0.0086646,0.0878645
8,-0.54239243,-0.65610844,"('unaffectionate', 'affectionate')",-0.5423924,-0.6561084,-0.113716
9,-0.21600917,-0.27972758,"('unaffectionate', 'caring')",-0.2160092,-0.2797276,-0.0637184
10,-0.040386833,0.028026456,"('unsympathetic', 'sympathetic')",-0.0403868,0.0280265,0.0684133
11,0.5068336,0.5746166,"('unhelpful', 'helpful')",0.5068336,0.5746166,0.067783
12,-0.7116276,-0.58682054,"('unsupportive', 'supportive')",-0.7116276,-0.5868205,0.1248071
13,-0.24671581,-0.33791795,"('impolite', 'polite')",-0.2467158,-0.337918,-0.0912022
14,0.20601813,0.11183235,"('antisocial', 'social')",0.2060181,0.1118324,-0.0941857
15,0.16684377,0.1198681,"('boring', 'funny')",0.1668438,0.1198681,-0.0469757
16,-0.29423597,-0.25773847,"('unpopular', 'popular')",-0.294236,-0.2577385,0.0364975
17,0.1861675,0.19969776,"('nasty', 'nice')",0.1861675,0.1996978,0.0135303
18,-0.86138207,-0.87757224,"('disagreeable', 'welcoming')",-0.8613821,-0.8775722,-0.0161901
19,-1.2424307,-1.207442,"('inhospitable', 'hospitable')",-1.2424307,-1.207442,0.0349887
20,0.351829,0.3603162,"('rough', 'thoughtful')",0.351829,0.3603162,0.0084872
21,0.26260898,0.3348047,"('immoral', 'moral')",0.262609,0.3348047,0.0721957
22,-0.3200682,-0.36125907,"('untrustworthy', 'trustworthy')",-0.3200682,-0.3612591,-0.0411909
23,1.4853668,1.3679024,"('insincere', 'sincere')",1.4853668,1.3679024,-0.1174644
24,-0.10823249,-0.16994974,"('dishonest', 'honest')",-0.1082325,-0.1699497,-0.0617172
25,-0.1645411,-0.20555529,"('egoistic', 'altruistic')",-0.1645411,-0.2055553,-0.0410142
26,0.12728116,0.010609312,"('hardhearted', 'benevolent')",0.1272812,0.0106093,-0.1166719
27,0.14632636,0.065300375,"('hardhearted', 'softhearted')",0.1463264,0.0653004,-0.081026
28,0.13464339,0.038230926,"('disloyal', 'loyal')",0.1346434,0.0382309,-0.0964125
29,-0.84076613,-0.9530366,"('unfair', 'fair')",-0.8407661,-0.9530366,-0.1122705
30,0.8648554,0.79791176,"('intolerant', 'tolerant')",0.8648554,0.7979118,-0.0669436
31,-1.9919058,-1.9464922,"('evil', 'good')",-1.9919058,-1.9464922,0.0454136
32,0.18087481,0.10346136,"('unkind', 'kind')",0.1808748,0.1034614,-0.0774134
33,-0.06638547,-0.08473307,"('wrong', 'right')",-0.0663855,-0.0847331,-0.0183476
34,1.810315,1.8676696,"('mean', 'honorable')",1.810315,1.8676696,0.0573546
35,0.10250284,0.04039135,"('corrupt', 'incorrupt')",0.1025028,0.0403913,-0.0621115
36,-1.216688,-1.2125361,"('hostile', 'amicable')",-1.216688,-1.2125361,0.0041519
37,-0.07003512,-0.07633931,"('fake', 'genuine')",-0.0700351,-0.0763393,-0.0063042
38,-0.17638983,-0.12606436,"('untruthful', 'truthful')",-0.1763898,-0.1260644,0.0503254
39,0.6669518,0.67476004,"('exploitative', 'cooperative')",0.6669518,0.67476,0.0078082
40,-1.933294,-1.8887709,"('stingy', 'generous')",-1.9332941,-1.8887709,0.0445232
41,-0.07043174,-0.10220887,"('unforgiving', 'forgiving')",-0.0704317,-0.1022089,-0.0317772
42,-0.62941706,-0.45910397,"('unreliable', 'reliable')",-0.6294171,-0.459104,0.1703131
43,-0.3410338,-0.30808493,"('irresponsible', 'responsible')",-0.3410338,-0.3080849,0.0329489
44,-0.041673616,-0.003180489,"('prejudiced', 'unprejudiced')",-0.0416736,-0.0031805,0.0384931
45,-0.18159786,-0.08014168,"('incompetent', 'competent')",-0.1815979,-0.0801417,0.1014562
46,-0.68964136,-0.6295362,"('uncompetitive', 'competitive')",-0.6896414,-0.6295362,0.0601052
47,1.7001401,1.6542387,"('stupid', 'smart')",1.7001401,1.6542387,-0.0459014
48,0.105216384,0.03340371,"('unintelligent', 'intelligent')",0.1052164,0.0334037,-0.0718127
49,0.4127758,0.49090326,"('unable', 'able')",0.4127758,0.4909033,0.0781275
50,0.19951576,0.26950252,"('clumsy', 'skillful')",0.1995158,0.2695025,0.0699867
51,-0.6196268,-0.653008,"('uneducated', 'educated')",-0.6196268,-0.653008,-0.0333812
52,-1.0231581,-1.1736978,"('irrational', 'rational')",-1.0231581,-1.1736978,-0.1505397
53,-1.8940063,-1.9507868,"('uncreative', 'creative')",-1.8940063,-1.9507868,-0.0567805
54,-0.3461821,-0.34412196,"('incapable', 'capable')",-0.3461821,-0.344122,0.0020601
55,0.54376554,0.55031973,"('incompetent', 'clever')",0.5437655,0.5503197,0.0065542
56,0.639214,0.6626746,"('impractical', 'practical')",0.639214,0.6626746,0.0234606
57,-1.79064,-1.7464207,"('unimaginative', 'imaginative')",-1.79064,-1.7464207,0.0442193
58,-0.39648962,-0.3957053,"('undiscriminating', 'discriminating')",-0.3964896,-0.3957053,0.0007843
59,-0.36622235,-0.3491411,"('foolish', 'wise')",-0.3662224,-0.3491411,0.0170813
60,0.70136064,0.7234689,"('inefficient', 'efficient')",0.7013606,0.7234689,0.0221083
61,-0.44043234,-0.5703101,"('illogical', 'logical')",-0.4404323,-0.5703101,-0.1298778
