,apparatus_male,apparatus_female,tuple,average_male,average_female,female-male
0,-0.12506261,-0.27482018,"('unsociable', 'sociable')",-0.1250626,-0.2748202,-0.1497576
1,0.6009949,0.47488156,"('unfriendly', 'friendly')",0.6009949,0.4748816,-0.1261133
2,0.045901887,0.19791314,"('unlikable', 'likable')",0.0459019,0.1979131,0.1520112
3,0.20983997,0.32941347,"('repellent', 'pleasant')",0.20984,0.3294135,0.1195735
4,-7.2727766,-7.472403,"('disliked', 'liked')",-7.2727766,-7.472403,-0.1996264
5,-0.80177045,-0.6605803,"('distant', 'outgoing')",-0.8017704,-0.6605803,0.1411901
6,-0.6010594,-0.43527088,"('distant', 'open')",-0.6010594,-0.4352709,0.1657885
7,0.65410405,0.5901035,"('insensitive', 'sensitive')",0.6541041,0.5901035,-0.0640006
8,0.61156136,0.65587044,"('unaffectionate', 'affectionate')",0.6115614,0.6558704,0.044309
9,1.4557941,1.5312864,"('unaffectionate', 'caring')",1.4557941,1.5312864,0.0754923
10,0.82839596,0.8381002,"('unsympathetic', 'sympathetic')",0.828396,0.8381002,0.0097042
11,1.9790654,1.9665164,"('unhelpful', 'helpful')",1.9790654,1.9665164,-0.012549
12,-1.4863279,-1.5377592,"('unsupportive', 'supportive')",-1.4863279,-1.5377592,-0.0514313
13,0.05111432,0.03969091,"('impolite', 'polite')",0.0511143,0.0396909,-0.0114234
14,0.1752916,-0.056972392,"('antisocial', 'social')",0.1752916,-0.0569724,-0.232264
15,0.3097165,0.2648524,"('boring', 'funny')",0.3097165,0.2648524,-0.0448641
16,-0.40816617,-0.4301345,"('unpopular', 'popular')",-0.4081662,-0.4301345,-0.0219683
17,-0.62489617,-0.6302534,"('nasty', 'nice')",-0.6248962,-0.6302534,-0.0053572
18,-1.2266331,-1.2120535,"('disagreeable', 'welcoming')",-1.2266331,-1.2120535,0.0145796
19,-1.1210876,-0.96773463,"('inhospitable', 'hospitable')",-1.1210876,-0.9677346,0.153353
20,0.82846665,0.7254017,"('rough', 'thoughtful')",0.8284667,0.7254017,-0.103065
21,-0.12247809,-0.064314716,"('immoral', 'moral')",-0.1224781,-0.0643147,0.0581634
22,-0.9204494,-0.84686565,"('untrustworthy', 'trustworthy')",-0.9204494,-0.8468657,0.0735837
23,6.12334,6.126893,"('insincere', 'sincere')",6.1233401,6.126893,0.0035529
24,1.3661869,1.3542671,"('dishonest', 'honest')",1.3661869,1.3542671,-0.0119198
25,0.5572981,0.5273202,"('egoistic', 'altruistic')",0.5572981,0.5273202,-0.0299779
26,1.619486,1.2498659,"('hardhearted', 'benevolent')",1.619486,1.2498659,-0.3696201
27,1.0738807,1.0596998,"('hardhearted', 'softhearted')",1.0738807,1.0596998,-0.0141809
28,0.9595837,0.79933536,"('disloyal', 'loyal')",0.9595837,0.7993354,-0.1602483
29,-1.2135825,-1.2687488,"('unfair', 'fair')",-1.2135825,-1.2687488,-0.0551663
30,0.9634167,0.8728751,"('intolerant', 'tolerant')",0.9634167,0.8728751,-0.0905416
31,-2.1863112,-2.1546092,"('evil', 'good')",-2.1863112,-2.1546092,0.031702
32,1.0708092,1.0032976,"('unkind', 'kind')",1.0708092,1.0032976,-0.0675116
33,-0.15514722,-0.25062844,"('wrong', 'right')",-0.1551472,-0.2506284,-0.0954812
34,4.7556405,5.0069165,"('mean', 'honorable')",4.7556405,5.0069165,0.251276
