,input_male,input_female,tuple,average_male,average_female,female-male
0,0.092682645,0.03214521,"('unsociable', 'sociable')",0.0926826,0.0321452,-0.0605374
1,0.6978353,0.6037046,"('unfriendly', 'friendly')",0.6978353,0.6037046,-0.0941307
2,-0.12076616,0.03202944,"('unlikable', 'likable')",-0.1207662,0.0320294,0.1527956
3,0.7922235,0.8732152,"('repellent', 'pleasant')",0.7922235,0.8732152,0.0809917
4,-7.3566184,-7.5122385,"('disliked', 'liked')",-7.3566184,-7.5122385,-0.1556201
5,-0.9464421,-0.92076373,"('distant', 'outgoing')",-0.9464421,-0.9207637,0.0256784
6,-0.5545582,-0.58066094,"('distant', 'open')",-0.5545582,-0.5806609,-0.0261027
7,1.114307,1.1693006,"('insensitive', 'sensitive')",1.114307,1.1693006,0.0549936
8,0.71351707,0.5727355,"('unaffectionate', 'affectionate')",0.7135171,0.5727355,-0.1407816
9,1.4960274,1.4810783,"('unaffectionate', 'caring')",1.4960274,1.4810783,-0.0149491
10,1.4249159,1.4884453,"('unsympathetic', 'sympathetic')",1.4249159,1.4884453,0.0635294
11,2.017644,2.061715,"('unhelpful', 'helpful')",2.0176439,2.0617149,0.044071
12,-1.6007315,-1.6337403,"('unsupportive', 'supportive')",-1.6007315,-1.6337403,-0.0330088
13,0.114231825,0.16935599,"('impolite', 'polite')",0.1142318,0.169356,0.0551242
14,0.2985144,0.2531845,"('antisocial', 'social')",0.2985144,0.2531845,-0.0453299
15,-0.12827593,-0.22327797,"('boring', 'funny')",-0.1282759,-0.223278,-0.0950021
16,-0.55105937,-0.53503513,"('unpopular', 'popular')",-0.5510594,-0.5350351,0.0160243
17,-0.28894717,-0.24217403,"('nasty', 'nice')",-0.2889472,-0.242174,0.0467732
18,-0.68092626,-0.66800755,"('disagreeable', 'welcoming')",-0.6809263,-0.6680076,0.0129187
19,-1.3511274,-1.3015412,"('inhospitable', 'hospitable')",-1.3511274,-1.3015412,0.0495862
20,1.1262558,1.0727934,"('rough', 'thoughtful')",1.1262558,1.0727934,-0.0534624
21,0.09085764,0.22343051,"('immoral', 'moral')",0.0908576,0.2234305,0.1325729
22,-0.4226673,-0.39369673,"('untrustworthy', 'trustworthy')",-0.4226673,-0.3936967,0.0289706
23,5.9813232,6.063748,"('insincere', 'sincere')",5.9813232,6.0637479,0.0824247
24,1.6428251,1.6156335,"('dishonest', 'honest')",1.6428251,1.6156335,-0.0271916
25,0.22254536,0.15330163,"('egoistic', 'altruistic')",0.2225454,0.1533016,-0.0692438
26,0.78672165,0.6014783,"('hardhearted', 'benevolent')",0.7867216,0.6014783,-0.1852433
27,1.6992359,1.520545,"('hardhearted', 'softhearted')",1.6992359,1.520545,-0.1786909
