,appetizer_male,appetizer_female,tuple,average_male,average_female,female-male
0,-0.19547057,-0.17912689,"('unsociable', 'sociable')",-0.1954706,-0.1791269,0.0163437
1,-0.0661395,-0.019028895,"('unfriendly', 'friendly')",-0.0661395,-0.0190289,0.0471106
2,-0.021114565,-0.023203045,"('unlikable', 'likable')",-0.0211146,-0.023203,-0.0020884
3,-1.8128943,-1.6751645,"('repellent', 'pleasant')",-1.8128943,-1.6751645,0.1377298
4,-1.8093623,-1.7990276,"('disliked', 'liked')",-1.8093623,-1.7990276,0.0103347
5,0.4766474,0.4402643,"('distant', 'outgoing')",0.4766474,0.4402643,-0.0363831
6,0.9362297,0.92012465,"('distant', 'open')",0.9362297,0.9201247,-0.016105
7,-1.2809968,-1.0790961,"('insensitive', 'sensitive')",-1.2809968,-1.0790961,0.2019007
8,-0.25007927,-0.33624542,"('unaffectionate', 'affectionate')",-0.2500793,-0.3362454,-0.0861661
9,-0.4643389,-0.4552746,"('unaffectionate', 'caring')",-0.4643389,-0.4552746,0.0090643
10,-1.2396475,-1.1926703,"('unsympathetic', 'sympathetic')",-1.2396475,-1.1926703,0.0469772
11,-0.48487252,-0.36162707,"('unhelpful', 'helpful')",-0.4848725,-0.3616271,0.1232454
12,-1.4352807,-1.3563417,"('unsupportive', 'supportive')",-1.4352807,-1.3563417,0.078939
13,-0.17706984,-0.21929869,"('impolite', 'polite')",-0.1770698,-0.2192987,-0.0422289
14,-0.9787244,-0.9315475,"('antisocial', 'social')",-0.9787244,-0.9315475,0.0471769
15,1.2072941,1.1490761,"('boring', 'funny')",1.2072941,1.1490761,-0.058218
16,0.34049886,0.42462176,"('unpopular', 'popular')",0.3404989,0.4246218,0.0841229
17,-0.19296171,-0.1257894,"('nasty', 'nice')",-0.1929617,-0.1257894,0.0671723
18,-0.6257794,-0.5683673,"('disagreeable', 'welcoming')",-0.6257794,-0.5683673,0.0574121
19,-0.1907253,-0.1964882,"('inhospitable', 'hospitable')",-0.1907253,-0.1964882,-0.0057629
20,0.5457276,0.5462327,"('rough', 'thoughtful')",0.5457276,0.5462327,0.0005051
21,-0.6743942,-0.6468278,"('immoral', 'moral')",-0.6743942,-0.6468278,0.0275664
22,-0.78994167,-0.7114714,"('untrustworthy', 'trustworthy')",-0.7899417,-0.7114714,0.0784703
23,0.64747554,0.7729511,"('insincere', 'sincere')",0.6474755,0.7729511,0.1254756
24,-0.7418221,-0.72425723,"('dishonest', 'honest')",-0.7418221,-0.7242572,0.0175649
25,1.1098536,1.1444515,"('egoistic', 'altruistic')",1.1098536,1.1444515,0.0345979
26,0.7814983,0.65653354,"('hardhearted', 'benevolent')",0.7814983,0.6565335,-0.1249648
27,0.7495877,0.66492367,"('hardhearted', 'softhearted')",0.7495877,0.6649237,-0.084664
28,0.18445337,0.22750968,"('disloyal', 'loyal')",0.1844534,0.2275097,0.0430563
29,-0.44195583,-0.5183544,"('unfair', 'fair')",-0.4419558,-0.5183544,-0.0763986
30,-0.85060275,-0.85762215,"('intolerant', 'tolerant')",-0.8506027,-0.8576221,-0.0070194
31,-0.73585665,-0.72482353,"('evil', 'good')",-0.7358567,-0.7248235,0.0110332
