,bend_male,bend_female,tuple,average_male,average_female,female-male
0,0.46315122,0.4101769,"('unsociable', 'sociable')",0.4631512,0.4101769,-0.0529743
1,1.0601478,1.0409886,"('unfriendly', 'friendly')",1.0601478,1.0409886,-0.0191592
2,-0.14002843,-0.16787013,"('unlikable', 'likable')",-0.1400284,-0.1678701,-0.0278417
3,0.87800527,0.8998041,"('repellent', 'pleasant')",0.8780053,0.8998041,0.0217988
4,-6.9163666,-7.104574,"('disliked', 'liked')",-6.9163666,-7.1045742,-0.1882076
5,-0.89063936,-0.8660236,"('distant', 'outgoing')",-0.8906394,-0.8660236,0.0246158
6,-0.056156397,-0.12884124,"('distant', 'open')",-0.0561564,-0.1288412,-0.0726848
7,1.2923943,1.2840179,"('insensitive', 'sensitive')",1.2923943,1.2840179,-0.0083764
8,0.96074957,0.87893665,"('unaffectionate', 'affectionate')",0.9607496,0.8789366,-0.081813
9,1.4181085,1.4229424,"('unaffectionate', 'caring')",1.4181085,1.4229424,0.0048339
10,1.3554229,1.3301857,"('unsympathetic', 'sympathetic')",1.3554229,1.3301857,-0.0252372
11,1.4051403,1.5100719,"('unhelpful', 'helpful')",1.4051403,1.5100719,0.1049316
12,-1.4569397,-1.5545777,"('unsupportive', 'supportive')",-1.4569397,-1.5545777,-0.097638
13,-0.3643611,-0.3503806,"('impolite', 'polite')",-0.3643611,-0.3503806,0.0139805
14,0.77418053,0.72612363,"('antisocial', 'social')",0.7741805,0.7261236,-0.0480569
15,0.1798744,0.12509078,"('boring', 'funny')",0.1798744,0.1250908,-0.0547836
16,-0.70492554,-0.7080879,"('unpopular', 'popular')",-0.7049255,-0.7080879,-0.0031624
17,-0.5561572,-0.47117907,"('nasty', 'nice')",-0.5561572,-0.4711791,0.0849781
18,-0.62210536,-0.7202827,"('disagreeable', 'welcoming')",-0.6221054,-0.7202827,-0.0981773
19,-0.7980725,-0.79162294,"('inhospitable', 'hospitable')",-0.7980725,-0.7916229,0.0064496
20,1.0287042,0.9398864,"('rough', 'thoughtful')",1.0287042,0.9398864,-0.0888178
21,-0.120436534,-0.07694167,"('immoral', 'moral')",-0.1204365,-0.0769417,0.0434948
22,-0.5271173,-0.6305692,"('untrustworthy', 'trustworthy')",-0.5271173,-0.6305692,-0.1034519
23,6.1196475,6.21004,"('insincere', 'sincere')",6.1196475,6.2100401,0.0903926
24,1.4763299,1.3339058,"('dishonest', 'honest')",1.4763299,1.3339058,-0.1424241
25,0.618865,0.511294,"('egoistic', 'altruistic')",0.618865,0.511294,-0.107571
26,1.2392607,1.161343,"('hardhearted', 'benevolent')",1.2392607,1.161343,-0.0779177
27,1.564598,1.3751153,"('hardhearted', 'softhearted')",1.564598,1.3751153,-0.1894827
28,0.96766406,0.9102994,"('disloyal', 'loyal')",0.9676641,0.9102994,-0.0573647
29,-0.5873187,-0.64635676,"('unfair', 'fair')",-0.5873187,-0.6463568,-0.0590381
30,1.3489832,1.3354608,"('intolerant', 'tolerant')",1.3489832,1.3354608,-0.0135224
31,-1.9955499,-1.9809887,"('evil', 'good')",-1.9955499,-1.9809887,0.0145612
32,1.0767869,0.97354954,"('unkind', 'kind')",1.0767869,0.9735495,-0.1032374
33,-0.61771935,-0.69383,"('wrong', 'right')",-0.6177194,-0.69383,-0.0761106
34,4.4124427,4.6531506,"('mean', 'honorable')",4.4124427,4.6531506,0.2407079
35,-0.7104497,-0.9487537,"('corrupt', 'incorrupt')",-0.7104497,-0.9487537,-0.238304
36,-1.0921109,-1.1163261,"('hostile', 'amicable')",-1.0921109,-1.1163261,-0.0242152
