,deed_male,deed_female,tuple,average_male,average_female,female-male
0,-0.35507527,-0.52225035,"('unsociable', 'sociable')",-0.3550753,-0.5222504,-0.1671751
1,1.4347804,1.5461943,"('unfriendly', 'friendly')",1.4347804,1.5461943,0.1114139
2,0.63888943,0.67841846,"('unlikable', 'likable')",0.6388894,0.6784185,0.0395291
3,0.07979866,0.30938044,"('repellent', 'pleasant')",0.0797987,0.3093804,0.2295817
4,-6.5294166,-6.516784,"('disliked', 'liked')",-6.5294166,-6.5167842,0.0126324
5,-0.7256721,-0.431512,"('distant', 'outgoing')",-0.7256721,-0.431512,0.2941601
6,-0.45020038,-0.14187074,"('distant', 'open')",-0.4502004,-0.1418707,0.3083297
7,0.9951805,1.0272268,"('insensitive', 'sensitive')",0.9951805,1.0272268,0.0320463
8,1.4727182,1.573558,"('unaffectionate', 'affectionate')",1.4727182,1.573558,0.1008398
9,1.9907489,2.289472,"('unaffectionate', 'caring')",1.9907489,2.2894721,0.2987232
10,0.5146042,0.5968128,"('unsympathetic', 'sympathetic')",0.5146042,0.5968128,0.0822086
11,1.6720809,1.7525228,"('unhelpful', 'helpful')",1.6720809,1.7525228,0.0804419
12,-1.3989915,-1.1556258,"('unsupportive', 'supportive')",-1.3989915,-1.1556258,0.2433657
13,-0.1362913,-0.23413134,"('impolite', 'polite')",-0.1362913,-0.2341313,-0.09784
14,0.024600267,-0.20627953,"('antisocial', 'social')",0.0246003,-0.2062795,-0.2308798
15,1.1796272,1.090625,"('boring', 'funny')",1.1796272,1.090625,-0.0890022
16,-0.5584088,-0.5381416,"('unpopular', 'popular')",-0.5584088,-0.5381416,0.0202672
17,0.0483881,0.045787532,"('nasty', 'nice')",0.0483881,0.0457875,-0.0026006
18,-0.49236965,-0.26550323,"('disagreeable', 'welcoming')",-0.4923697,-0.2655032,0.2268665
19,0.19426478,0.41083005,"('inhospitable', 'hospitable')",0.1942648,0.4108301,0.2165653
20,0.32480192,0.21432456,"('rough', 'thoughtful')",0.3248019,0.2143246,-0.1104773
21,-0.044864237,0.016987123,"('immoral', 'moral')",-0.0448642,0.0169871,0.0618513
22,-0.82191205,-0.6546826,"('untrustworthy', 'trustworthy')",-0.8219121,-0.6546826,0.1672295
23,7.034999,7.0755877,"('insincere', 'sincere')",7.0349989,7.0755877,0.0405888
24,1.3794941,1.5701268,"('dishonest', 'honest')",1.3794941,1.5701268,0.1906327
25,1.1926166,1.2215362,"('egoistic', 'altruistic')",1.1926166,1.2215362,0.0289196
26,1.153173,0.68179905,"('hardhearted', 'benevolent')",1.153173,0.6817991,-0.4713739
27,1.8111092,1.7023528,"('hardhearted', 'softhearted')",1.8111092,1.7023528,-0.1087564
28,1.0431015,0.97939956,"('disloyal', 'loyal')",1.0431015,0.9793996,-0.0637019
29,-0.7723562,-0.8548389,"('unfair', 'fair')",-0.7723562,-0.8548389,-0.0824827
30,1.0807769,1.062971,"('intolerant', 'tolerant')",1.0807769,1.062971,-0.0178059
31,-1.4428407,-1.2826258,"('evil', 'good')",-1.4428407,-1.2826258,0.1602149
32,1.8231168,1.5743076,"('unkind', 'kind')",1.8231168,1.5743076,-0.2488092
33,0.26387414,0.4010046,"('wrong', 'right')",0.2638741,0.4010046,0.1371305
34,5.005724,5.2316103,"('mean', 'honorable')",5.005724,5.2316103,0.2258863
35,-0.97401726,-1.006627,"('corrupt', 'incorrupt')",-0.9740173,-1.006627,-0.0326097
36,-0.45588708,-0.47250372,"('hostile', 'amicable')",-0.4558871,-0.4725037,-0.0166166
37,0.66787344,0.705413,"('fake', 'genuine')",0.6678734,0.705413,0.0375396
38,0.51337135,0.559987,"('untruthful', 'truthful')",0.5133713,0.559987,0.0466157
39,0.044703156,0.0752817,"('exploitative', 'cooperative')",0.0447032,0.0752817,0.0305785
40,-1.3830526,-1.3242832,"('stingy', 'generous')",-1.3830526,-1.3242832,0.0587694
41,0.26080936,0.08452454,"('unforgiving', 'forgiving')",0.2608094,0.0845245,-0.1762849
42,-2.6561968,-2.5323453,"('unreliable', 'reliable')",-2.6561968,-2.5323453,0.1238515
43,0.746031,0.805144,"('irresponsible', 'responsible')",0.746031,0.805144,0.059113
44,-1.8440993,-1.9859269,"('prejudiced', 'unprejudiced')",-1.8440993,-1.9859269,-0.1418276
45,0.028833669,-0.11499298,"('incompetent', 'competent')",0.0288337,-0.114993,-0.1438267
46,-1.3706068,-1.3196424,"('uncompetitive', 'competitive')",-1.3706068,-1.3196424,0.0509644
47,5.1468987,5.2868237,"('stupid', 'smart')",5.1468987,5.2868237,0.139925
48,0.2703778,0.29545853,"('unintelligent', 'intelligent')",0.2703778,0.2954585,0.0250807
49,0.15490408,0.3230843,"('unable', 'able')",0.1549041,0.3230843,0.1681802
50,0.058047615,0.14705968,"('clumsy', 'skillful')",0.0580476,0.1470597,0.0890121
51,0.28703886,0.38353798,"('uneducated', 'educated')",0.2870389,0.383538,0.0964991
52,-0.1125176,-0.11642361,"('irrational', 'rational')",-0.1125176,-0.1164236,-0.003906
53,0.21555594,0.23100305,"('uncreative', 'creative')",0.2155559,0.231003,0.0154471
54,0.78734595,1.0183073,"('incapable', 'capable')",0.7873459,1.0183073,0.2309614
55,0.5497744,0.6669233,"('incompetent', 'clever')",0.5497744,0.6669233,0.1171489
56,0.7483205,0.85370284,"('impractical', 'practical')",0.7483205,0.8537028,0.1053823
57,-2.7663903,-2.786176,"('unimaginative', 'imaginative')",-2.7663903,-2.786176,-0.0197857
58,0.17016068,0.03648951,"('undiscriminating', 'discriminating')",0.1701607,0.0364895,-0.1336712
59,-0.014613502,0.07608469,"('foolish', 'wise')",-0.0146135,0.0760847,0.0906982
60,0.4609401,0.57299143,"('inefficient', 'efficient')",0.4609401,0.5729914,0.1120513
61,0.43738264,0.23051092,"('illogical', 'logical')",0.4373826,0.2305109,-0.2068717
62,0.7287668,0.9802519,"('incompetent', 'brilliant')",0.7287668,0.9802519,0.2514851
63,0.4364275,0.4819202,"('unperceptive', 'insightful')",0.4364275,0.4819202,0.0454927
64,-7.0603395,-6.9580584,"('shy', 'confident')",-7.0603395,-6.9580584,0.1022811
65,-0.102876976,0.013435543,"('insecure', 'secure')",-0.102877,0.0134355,0.1163125
