,underpass_male,underpass_female,tuple,average_male,average_female,female-male
0,1.1443158,0.8963104,"('unsociable', 'sociable')",1.1443158,0.8963104,-0.2480054
1,-1.7622579,-1.7494855,"('unfriendly', 'friendly')",-1.7622579,-1.7494855,0.0127724
2,-0.32004657,-0.17953578,"('unlikable', 'likable')",-0.3200466,-0.1795358,0.1405108
3,-0.32655922,-0.13427544,"('repellent', 'pleasant')",-0.3265592,-0.1342754,0.1922838
4,-3.032543,-2.9365256,"('disliked', 'liked')",-3.0325429,-2.9365256,0.0960173
5,-1.7972411,-1.7653085,"('distant', 'outgoing')",-1.7972411,-1.7653085,0.0319326
6,-1.6269324,-1.6179775,"('distant', 'open')",-1.6269324,-1.6179775,0.0089549
7,1.028239,1.10428,"('insensitive', 'sensitive')",1.028239,1.10428,0.076041
8,-2.054541,-2.0113428,"('unaffectionate', 'affectionate')",-2.0545411,-2.0113428,0.0431983
9,-1.2878343,-1.1973622,"('unaffectionate', 'caring')",-1.2878343,-1.1973622,0.0904721
10,0.75811154,0.67151916,"('unsympathetic', 'sympathetic')",0.7581115,0.6715192,-0.0865923
11,0.8657288,1.0443983,"('unhelpful', 'helpful')",0.8657288,1.0443983,0.1786695
12,-1.012225,-0.85173774,"('unsupportive', 'supportive')",-1.012225,-0.8517377,0.1604873
13,0.80336535,0.88232684,"('impolite', 'polite')",0.8033653,0.8823268,0.0789615
14,1.1322188,1.0105294,"('antisocial', 'social')",1.1322188,1.0105294,-0.1216894
15,0.7953134,0.55336154,"('boring', 'funny')",0.7953134,0.5533615,-0.2419519
16,-0.66616714,-0.60797954,"('unpopular', 'popular')",-0.6661671,-0.6079795,0.0581876
17,-0.106407106,-0.16511254,"('nasty', 'nice')",-0.1064071,-0.1651125,-0.0587054
18,-1.5497354,-1.258717,"('disagreeable', 'welcoming')",-1.5497354,-1.2587169,0.2910185
19,-2.7920384,-2.6530538,"('inhospitable', 'hospitable')",-2.7920384,-2.6530538,0.1389846
