,interject_male,interject_female,tuple,average_male,average_female,female-male
0,-0.21603952,-0.5163131,"('unsociable', 'sociable')",-0.2160395,-0.5163131,-0.3002736
1,0.10329187,-0.10015788,"('unfriendly', 'friendly')",0.1032919,-0.1001579,-0.2034498
2,0.46843404,0.51644313,"('unlikable', 'likable')",0.468434,0.5164431,0.0480091
3,-0.2649341,-0.23722744,"('repellent', 'pleasant')",-0.2649341,-0.2372274,0.0277067
4,-3.7038736,-3.8994436,"('disliked', 'liked')",-3.7038736,-3.8994436,-0.19557
5,-0.48208797,-0.50887436,"('distant', 'outgoing')",-0.482088,-0.5088744,-0.0267864
6,-0.43799707,-0.43718028,"('distant', 'open')",-0.4379971,-0.4371803,0.0008168
7,0.078896046,0.1131285,"('insensitive', 'sensitive')",0.078896,0.1131285,0.0342325
8,-0.2940357,-0.33476675,"('unaffectionate', 'affectionate')",-0.2940357,-0.3347667,-0.040731
9,0.098612815,0.08994197,"('unaffectionate', 'caring')",0.0986128,0.089942,-0.0086708
10,-0.50824755,-0.45164946,"('unsympathetic', 'sympathetic')",-0.5082476,-0.4516495,0.0565981
11,1.5456204,1.5504178,"('unhelpful', 'helpful')",1.5456204,1.5504178,0.0047974
12,-1.1741345,-1.1431983,"('unsupportive', 'supportive')",-1.1741345,-1.1431983,0.0309362
13,-0.31592813,-0.45439166,"('impolite', 'polite')",-0.3159281,-0.4543917,-0.1384636
14,0.40939334,0.2544418,"('antisocial', 'social')",0.4093933,0.2544418,-0.1549515
15,0.5055657,0.31743944,"('boring', 'funny')",0.5055657,0.3174394,-0.1881263
16,-0.2862618,-0.33894426,"('unpopular', 'popular')",-0.2862618,-0.3389443,-0.0526825
17,-0.40432417,-0.43725538,"('nasty', 'nice')",-0.4043242,-0.4372554,-0.0329312
18,-0.19884813,-0.31001842,"('disagreeable', 'welcoming')",-0.1988481,-0.3100184,-0.1111703
19,-1.4881792,-1.5272756,"('inhospitable', 'hospitable')",-1.4881792,-1.5272756,-0.0390964
20,0.65571666,0.64854795,"('rough', 'thoughtful')",0.6557167,0.6485479,-0.0071688
21,0.023200655,-0.008313775,"('immoral', 'moral')",0.0232007,-0.0083138,-0.0315145
22,-0.3332222,-0.32459795,"('untrustworthy', 'trustworthy')",-0.3332222,-0.324598,0.0086242
23,3.1545105,3.1210246,"('insincere', 'sincere')",3.1545105,3.1210246,-0.0334859
24,0.69876945,0.7030658,"('dishonest', 'honest')",0.6987695,0.7030658,0.0042963
25,0.52494276,0.2890196,"('egoistic', 'altruistic')",0.5249428,0.2890196,-0.2359232
26,0.7886428,0.5223379,"('hardhearted', 'benevolent')",0.7886428,0.5223379,-0.2663049
27,0.114543766,0.09699784,"('hardhearted', 'softhearted')",0.1145438,0.0969978,-0.017546
28,0.46131632,0.40841818,"('disloyal', 'loyal')",0.4613163,0.4084182,-0.0528981
29,-0.36879912,-0.29362318,"('unfair', 'fair')",-0.3687991,-0.2936232,0.0751759
30,0.9641651,0.7830337,"('intolerant', 'tolerant')",0.9641651,0.7830337,-0.1811314
31,-1.210877,-1.2413553,"('evil', 'good')",-1.2108769,-1.2413553,-0.0304784
32,0.45429778,0.3451566,"('unkind', 'kind')",0.4542978,0.3451566,-0.1091412
33,-0.21909128,-0.26685175,"('wrong', 'right')",-0.2190913,-0.2668518,-0.0477605
34,2.7599373,2.931344,"('mean', 'honorable')",2.7599373,2.931344,0.1714067
35,-0.31229487,-0.4001633,"('corrupt', 'incorrupt')",-0.3122949,-0.4001633,-0.0878684
36,-0.38809726,-0.48260257,"('hostile', 'amicable')",-0.3880973,-0.4826026,-0.0945053
37,0.30915424,0.24968556,"('fake', 'genuine')",0.3091542,0.2496856,-0.0594686
38,0.029854804,0.043881293,"('untruthful', 'truthful')",0.0298548,0.0438813,0.0140265
39,1.0946839,0.9686567,"('exploitative', 'cooperative')",1.0946839,0.9686567,-0.1260272
40,-1.1483954,-1.2213492,"('stingy', 'generous')",-1.1483954,-1.2213492,-0.0729538
41,0.5675105,0.49633497,"('unforgiving', 'forgiving')",0.5675105,0.496335,-0.0711755
42,-1.4979013,-1.4059266,"('unreliable', 'reliable')",-1.4979013,-1.4059266,0.0919747
43,0.06034883,0.024970714,"('irresponsible', 'responsible')",0.0603488,0.0249707,-0.0353781
44,0.31243277,0.17322096,"('prejudiced', 'unprejudiced')",0.3124328,0.173221,-0.1392118
45,-0.08819601,-0.098340206,"('incompetent', 'competent')",-0.088196,-0.0983402,-0.0101442
46,-0.52246886,-0.50956595,"('uncompetitive', 'competitive')",-0.5224689,-0.5095659,0.012903
47,2.6641822,2.8244796,"('stupid', 'smart')",2.6641822,2.8244796,0.1602974
48,1.1000749,1.1147532,"('unintelligent', 'intelligent')",1.1000749,1.1147532,0.0146783
49,0.11372332,0.3575732,"('unable', 'able')",0.1137233,0.3575732,0.2438499
50,-0.24156009,-0.09103091,"('clumsy', 'skillful')",-0.2415601,-0.0910309,0.1505292
51,-0.21622446,-0.262682,"('uneducated', 'educated')",-0.2162245,-0.262682,-0.0464575
52,0.06510292,-0.15063207,"('irrational', 'rational')",0.0651029,-0.1506321,-0.215735
53,-0.64490616,-0.75052065,"('uncreative', 'creative')",-0.6449062,-0.7505206,-0.1056144
54,-0.29829663,-0.20519789,"('incapable', 'capable')",-0.2982966,-0.2051979,0.0930987
55,0.48064527,0.49492118,"('incompetent', 'clever')",0.4806453,0.4949212,0.0142759
56,0.9398056,0.80297494,"('impractical', 'practical')",0.9398056,0.8029749,-0.1368307
57,-1.8016158,-1.964265,"('unimaginative', 'imaginative')",-1.8016158,-1.964265,-0.1626492
58,-0.027421884,0.020460673,"('undiscriminating', 'discriminating')",-0.0274219,0.0204607,0.0478826
59,0.26004618,0.41180778,"('foolish', 'wise')",0.2600462,0.4118078,0.1517616
60,1.3055812,1.322137,"('inefficient', 'efficient')",1.3055812,1.322137,0.0165558
61,0.26604316,0.11437576,"('illogical', 'logical')",0.2660432,0.1143758,-0.1516674
