,grandfather_male,grandfather_female,tuple,average_male,average_female,female-male
0,0.25126275,0.24476337,"('unsociable', 'sociable')",0.2512628,0.2447634,-0.0064994
1,0.9420241,0.91050124,"('unfriendly', 'friendly')",0.9420241,0.9105012,-0.0315229
2,0.3428272,0.5888139,"('unlikable', 'likable')",0.3428272,0.5888139,0.2459867
3,0.8147198,1.0781809,"('repellent', 'pleasant')",0.8147198,1.0781809,0.2634611
4,-7.2028413,-7.0736423,"('disliked', 'liked')",-7.2028413,-7.0736423,0.129199
5,-0.46193886,-0.2690478,"('distant', 'outgoing')",-0.4619389,-0.2690478,0.1928911
6,-0.23305161,-0.0960671,"('distant', 'open')",-0.2330516,-0.0960671,0.1369845
7,0.6518653,0.78077793,"('insensitive', 'sensitive')",0.6518653,0.7807779,0.1289126
8,0.7638037,0.70844305,"('unaffectionate', 'affectionate')",0.7638037,0.708443,-0.0553607
9,1.2659328,1.3134763,"('unaffectionate', 'caring')",1.2659328,1.3134763,0.0475435
10,1.233068,1.5450076,"('unsympathetic', 'sympathetic')",1.233068,1.5450076,0.3119396
11,1.9914193,2.1367474,"('unhelpful', 'helpful')",1.9914193,2.1367474,0.1453281
12,-1.4531888,-1.2930292,"('unsupportive', 'supportive')",-1.4531888,-1.2930292,0.1601596
13,0.5495482,0.627126,"('impolite', 'polite')",0.5495482,0.627126,0.0775778
14,0.042953975,-0.044332825,"('antisocial', 'social')",0.042954,-0.0443328,-0.0872868
15,0.27693963,0.20689154,"('boring', 'funny')",0.2769396,0.2068915,-0.0700481
16,-0.48864612,-0.41949278,"('unpopular', 'popular')",-0.4886461,-0.4194928,0.0691533
17,-0.058430903,0.0050768964,"('nasty', 'nice')",-0.0584309,0.0050769,0.0635078
18,-0.5460885,-0.63895255,"('disagreeable', 'welcoming')",-0.5460885,-0.6389526,-0.0928641
19,-0.75930035,-0.53950405,"('inhospitable', 'hospitable')",-0.7593004,-0.5395041,0.2197963
20,0.83476704,0.5593105,"('rough', 'thoughtful')",0.834767,0.5593105,-0.2754565
21,0.03141971,0.34130543,"('immoral', 'moral')",0.0314197,0.3413054,0.3098857
22,-0.27738097,-0.20537373,"('untrustworthy', 'trustworthy')",-0.277381,-0.2053737,0.0720073
23,6.112329,6.197052,"('insincere', 'sincere')",6.112329,6.197052,0.084723
24,1.5108016,1.5985007,"('dishonest', 'honest')",1.5108016,1.5985007,0.0876991
25,0.2987634,0.15670498,"('egoistic', 'altruistic')",0.2987634,0.156705,-0.1420584
26,0.20922565,-0.054491907,"('hardhearted', 'benevolent')",0.2092257,-0.0544919,-0.2637176
27,1.4859841,1.2811491,"('hardhearted', 'softhearted')",1.4859841,1.2811491,-0.204835
28,1.1094917,1.0823072,"('disloyal', 'loyal')",1.1094917,1.0823072,-0.0271845
29,-0.6189547,-0.81107664,"('unfair', 'fair')",-0.6189547,-0.8110766,-0.1921219
30,0.697488,0.83453697,"('intolerant', 'tolerant')",0.697488,0.834537,0.137049
31,-1.894044,-1.8774394,"('evil', 'good')",-1.894044,-1.8774394,0.0166046
32,1.3874803,1.3948278,"('unkind', 'kind')",1.3874803,1.3948278,0.0073475
33,-0.41580176,-0.44398046,"('wrong', 'right')",-0.4158018,-0.4439805,-0.0281787
34,4.3711624,4.624503,"('mean', 'honorable')",4.3711624,4.6245031,0.2533407
35,-1.3182478,-1.5760423,"('corrupt', 'incorrupt')",-1.3182478,-1.5760423,-0.2577945
36,-1.2610068,-1.4464574,"('hostile', 'amicable')",-1.2610068,-1.4464574,-0.1854506
37,0.7664753,0.80523694,"('fake', 'genuine')",0.7664753,0.8052369,0.0387616
38,-0.19556212,-0.025292978,"('untruthful', 'truthful')",-0.1955621,-0.025293,0.1702691
39,0.08817401,-0.02881167,"('exploitative', 'cooperative')",0.088174,-0.0288117,-0.1169857
40,-1.5134946,-1.5872551,"('stingy', 'generous')",-1.5134946,-1.5872551,-0.0737605
41,-0.0050722267,0.004913846,"('unforgiving', 'forgiving')",-0.0050722,0.0049138,0.009986
42,-1.8093919,-1.6993512,"('unreliable', 'reliable')",-1.8093919,-1.6993512,0.1100407
43,1.2362312,1.3635377,"('irresponsible', 'responsible')",1.2362312,1.3635377,0.1273065
44,-0.88456666,-1.07789,"('prejudiced', 'unprejudiced')",-0.8845667,-1.07789,-0.1933233
