,correspondent_male,correspondent_female,tuple,average_male,average_female,female-male
0,0.5092606,0.3802817,"('unsociable', 'sociable')",0.5092606,0.3802817,-0.1289789
1,1.0539644,0.9922563,"('unfriendly', 'friendly')",1.0539644,0.9922563,-0.0617081
2,0.3020568,0.42519605,"('unlikable', 'likable')",0.3020568,0.4251961,0.1231393
3,0.9647541,0.9341144,"('repellent', 'pleasant')",0.9647541,0.9341144,-0.0306397
4,-6.9106073,-6.8987446,"('disliked', 'liked')",-6.9106073,-6.8987446,0.0118627
5,-0.55182195,-0.52819943,"('distant', 'outgoing')",-0.5518219,-0.5281994,0.0236225
6,-0.4139802,-0.38727134,"('distant', 'open')",-0.4139802,-0.3872713,0.0267089
7,1.0300584,1.0585326,"('insensitive', 'sensitive')",1.0300584,1.0585326,0.0284742
8,0.59158814,0.5956589,"('unaffectionate', 'affectionate')",0.5915881,0.5956589,0.0040708
9,1.3087884,1.4062092,"('unaffectionate', 'caring')",1.3087884,1.4062092,0.0974208
10,1.4921807,1.5200742,"('unsympathetic', 'sympathetic')",1.4921807,1.5200742,0.0278935
11,2.189268,2.2408998,"('unhelpful', 'helpful')",2.1892681,2.2408998,0.0516317
12,-1.3148136,-1.2242686,"('unsupportive', 'supportive')",-1.3148136,-1.2242686,0.090545
13,0.9303863,0.8385478,"('impolite', 'polite')",0.9303863,0.8385478,-0.0918385
14,0.12826398,0.014647698,"('antisocial', 'social')",0.128264,0.0146477,-0.1136163
15,0.47697768,0.43146867,"('boring', 'funny')",0.4769777,0.4314687,-0.045509
16,-0.24686617,-0.17650038,"('unpopular', 'popular')",-0.2468662,-0.1765004,0.0703658
17,-0.54932344,-0.52978396,"('nasty', 'nice')",-0.5493234,-0.529784,0.0195394
18,-0.7830942,-0.8054785,"('disagreeable', 'welcoming')",-0.7830942,-0.8054785,-0.0223843
19,-0.91795003,-0.8150766,"('inhospitable', 'hospitable')",-0.91795,-0.8150766,0.1028734
20,0.87215686,0.7489283,"('rough', 'thoughtful')",0.8721569,0.7489283,-0.1232286
21,0.27689528,0.34469423,"('immoral', 'moral')",0.2768953,0.3446942,0.0677989
22,0.19744712,0.24839966,"('untrustworthy', 'trustworthy')",0.1974471,0.2483997,0.0509526
23,6.4795613,6.437415,"('insincere', 'sincere')",6.4795613,6.4374151,-0.0421462
24,1.8233548,1.7825025,"('dishonest', 'honest')",1.8233548,1.7825025,-0.0408523
25,0.4195288,0.43207318,"('egoistic', 'altruistic')",0.4195288,0.4320732,0.0125444
26,0.5275892,0.4228352,"('hardhearted', 'benevolent')",0.5275892,0.4228352,-0.104754
27,1.1795667,1.0533662,"('hardhearted', 'softhearted')",1.1795667,1.0533662,-0.1262005
28,1.1898986,1.1512994,"('disloyal', 'loyal')",1.1898986,1.1512994,-0.0385992
29,-0.7904135,-0.863507,"('unfair', 'fair')",-0.7904135,-0.863507,-0.0730935
30,1.063679,1.0354424,"('intolerant', 'tolerant')",1.063679,1.0354424,-0.0282366
31,-1.8306618,-1.7908331,"('evil', 'good')",-1.8306618,-1.7908331,0.0398287
32,1.4266694,1.3990313,"('unkind', 'kind')",1.4266694,1.3990313,-0.0276381
33,-0.7766654,-0.7231582,"('wrong', 'right')",-0.7766654,-0.7231582,0.0535072
34,4.539976,4.664585,"('mean', 'honorable')",4.5399761,4.6645851,0.124609
35,-1.4001182,-1.5020263,"('corrupt', 'incorrupt')",-1.4001182,-1.5020263,-0.1019081
36,-1.5760801,-1.575437,"('hostile', 'amicable')",-1.5760801,-1.5754369,0.0006432
37,0.7395478,0.75854164,"('fake', 'genuine')",0.7395478,0.7585416,0.0189938
38,-0.18341397,-0.09432309,"('untruthful', 'truthful')",-0.183414,-0.0943231,0.0890909
39,0.15898705,0.10169565,"('exploitative', 'cooperative')",0.158987,0.1016956,-0.0572914
40,-1.4799856,-1.6175226,"('stingy', 'generous')",-1.4799856,-1.6175226,-0.137537
