,copying_male,copying_female,tuple,average_male,average_female,female-male
0,-0.022575466,-0.18443882,"('unsociable', 'sociable')",-0.0225755,-0.1844388,-0.1618633
1,1.5719508,1.6242951,"('unfriendly', 'friendly')",1.5719508,1.6242951,0.0523443
2,0.06993876,0.04997278,"('unlikable', 'likable')",0.0699388,0.0499728,-0.019966
3,0.4357039,0.52282315,"('repellent', 'pleasant')",0.4357039,0.5228232,0.0871193
4,-7.8563232,-7.8360333,"('disliked', 'liked')",-7.8563232,-7.8360333,0.0202899
5,-0.6234243,-0.590516,"('distant', 'outgoing')",-0.6234243,-0.590516,0.0329083
6,-0.2357418,-0.18239951,"('distant', 'open')",-0.2357418,-0.1823995,0.0533423
7,0.85734665,0.87893385,"('insensitive', 'sensitive')",0.8573467,0.8789338,0.0215871
8,1.3476311,1.2665601,"('unaffectionate', 'affectionate')",1.3476311,1.2665601,-0.081071
9,1.9998089,1.9419104,"('unaffectionate', 'caring')",1.9998089,1.9419104,-0.0578985
10,0.87167704,0.8314098,"('unsympathetic', 'sympathetic')",0.871677,0.8314098,-0.0402672
11,1.9489238,1.890955,"('unhelpful', 'helpful')",1.9489238,1.890955,-0.0579688
12,-1.4148735,-1.4748291,"('unsupportive', 'supportive')",-1.4148735,-1.4748291,-0.0599556
13,-0.14777997,-0.29060537,"('impolite', 'polite')",-0.14778,-0.2906054,-0.1428254
14,-0.054177612,-0.13213004,"('antisocial', 'social')",-0.0541776,-0.13213,-0.0779524
15,-0.07384557,-0.13012333,"('boring', 'funny')",-0.0738456,-0.1301233,-0.0562777
16,-0.4157203,-0.33282733,"('unpopular', 'popular')",-0.4157203,-0.3328273,0.082893
17,-0.028158583,0.06990501,"('nasty', 'nice')",-0.0281586,0.069905,0.0980636
18,-0.51426476,-0.56968427,"('disagreeable', 'welcoming')",-0.5142648,-0.5696843,-0.0554195
19,-0.5124148,-0.55042773,"('inhospitable', 'hospitable')",-0.5124148,-0.5504277,-0.0380129
20,1.2282556,1.1664294,"('rough', 'thoughtful')",1.2282556,1.1664294,-0.0618262
21,-0.5942048,-0.59775096,"('immoral', 'moral')",-0.5942048,-0.597751,-0.0035462
22,-0.96307504,-1.0363638,"('untrustworthy', 'trustworthy')",-0.963075,-1.0363638,-0.0732888
23,7.0704465,7.0379667,"('insincere', 'sincere')",7.0704465,7.0379667,-0.0324798
24,1.7837957,1.6104062,"('dishonest', 'honest')",1.7837957,1.6104062,-0.1733895
25,0.7906197,0.7953298,"('egoistic', 'altruistic')",0.7906197,0.7953298,0.0047101
26,1.2060066,1.1261257,"('hardhearted', 'benevolent')",1.2060066,1.1261257,-0.0798809
27,1.8138347,1.661301,"('hardhearted', 'softhearted')",1.8138347,1.661301,-0.1525337
28,1.5552219,1.476754,"('disloyal', 'loyal')",1.5552219,1.476754,-0.0784679
29,-0.60237575,-0.64781374,"('unfair', 'fair')",-0.6023757,-0.6478137,-0.045438
30,1.187612,1.0733643,"('intolerant', 'tolerant')",1.1876121,1.0733643,-0.1142478
31,-1.3898802,-1.2211254,"('evil', 'good')",-1.3898802,-1.2211254,0.1687548
32,1.3838114,1.2644964,"('unkind', 'kind')",1.3838114,1.2644964,-0.119315
33,-0.3039802,-0.39289296,"('wrong', 'right')",-0.3039802,-0.392893,-0.0889128
34,5.1683235,5.286328,"('mean', 'honorable')",5.1683235,5.2863278,0.1180043
