,stroke_male,stroke_female,tuple,average_male,average_female,female-male
0,0.06581116,-0.0747143,"('unsociable', 'sociable')",0.0658112,-0.0747143,-0.1405255
1,1.2398238,1.1350744,"('unfriendly', 'friendly')",1.2398238,1.1350744,-0.1047494
2,0.2479781,0.44822758,"('unlikable', 'likable')",0.2479781,0.4482276,0.2002495
3,0.7416031,0.8836121,"('repellent', 'pleasant')",0.7416031,0.8836121,0.142009
4,-7.33633,-7.429893,"('disliked', 'liked')",-7.3363299,-7.429893,-0.0935631
5,-0.5146778,-0.41016078,"('distant', 'outgoing')",-0.5146778,-0.4101608,0.104517
6,-0.29137188,-0.17909262,"('distant', 'open')",-0.2913719,-0.1790926,0.1122793
7,0.9132036,0.90229475,"('insensitive', 'sensitive')",0.9132036,0.9022948,-0.0109088
8,0.9744986,0.9376924,"('unaffectionate', 'affectionate')",0.9744986,0.9376924,-0.0368062
9,1.5811806,1.6358523,"('unaffectionate', 'caring')",1.5811806,1.6358523,0.0546717
10,1.196681,1.3496778,"('unsympathetic', 'sympathetic')",1.196681,1.3496778,0.1529968
11,1.9278837,2.0129714,"('unhelpful', 'helpful')",1.9278837,2.0129714,0.0850877
12,-1.3584975,-1.4409722,"('unsupportive', 'supportive')",-1.3584975,-1.4409722,-0.0824747
13,0.3098877,0.34351483,"('impolite', 'polite')",0.3098877,0.3435148,0.0336271
14,-0.1327587,-0.24176836,"('antisocial', 'social')",-0.1327587,-0.2417684,-0.1090097
15,0.42439368,0.3500541,"('boring', 'funny')",0.4243937,0.3500541,-0.0743396
16,-0.39265758,-0.37538493,"('unpopular', 'popular')",-0.3926576,-0.3753849,0.0172727
17,0.01437892,0.0004055649,"('nasty', 'nice')",0.0143789,0.0004056,-0.0139733
18,-0.58264977,-0.65983176,"('disagreeable', 'welcoming')",-0.5826498,-0.6598318,-0.077182
19,-0.71942353,-0.6054892,"('inhospitable', 'hospitable')",-0.7194235,-0.6054892,0.1139343
20,0.85032874,0.67764556,"('rough', 'thoughtful')",0.8503287,0.6776456,-0.1726831
21,-0.097920954,0.10536347,"('immoral', 'moral')",-0.097921,0.1053635,0.2032845
22,-0.5947288,-0.5230729,"('untrustworthy', 'trustworthy')",-0.5947288,-0.5230729,0.0716559
23,6.4470677,6.4650316,"('insincere', 'sincere')",6.4470677,6.4650316,0.0179639
24,1.5372154,1.5583661,"('dishonest', 'honest')",1.5372154,1.5583661,0.0211507
25,0.3134804,0.2421117,"('egoistic', 'altruistic')",0.3134804,0.2421117,-0.0713687
26,0.31344956,0.026035119,"('hardhearted', 'benevolent')",0.3134496,0.0260351,-0.2874145
27,1.5523833,1.4002166,"('hardhearted', 'softhearted')",1.5523833,1.4002166,-0.1521667
28,0.9028421,0.88802177,"('disloyal', 'loyal')",0.9028421,0.8880218,-0.0148203
29,-0.35701567,-0.5344167,"('unfair', 'fair')",-0.3570157,-0.5344167,-0.177401
30,0.7578845,0.83085424,"('intolerant', 'tolerant')",0.7578845,0.8308542,0.0729697
31,-1.7707168,-1.7856065,"('evil', 'good')",-1.7707168,-1.7856065,-0.0148897
32,1.2515879,1.1844664,"('unkind', 'kind')",1.2515879,1.1844664,-0.0671215
33,-0.36919624,-0.43388993,"('wrong', 'right')",-0.3691962,-0.4338899,-0.0646937
34,4.6198297,4.7806187,"('mean', 'honorable')",4.6198297,4.7806187,0.160789
35,-1.3378053,-1.5039012,"('corrupt', 'incorrupt')",-1.3378053,-1.5039012,-0.1660959
36,-1.0688721,-1.1795774,"('hostile', 'amicable')",-1.0688721,-1.1795774,-0.1107053
37,0.9809584,1.026191,"('fake', 'genuine')",0.9809584,1.026191,0.0452326
38,-0.10033228,-0.081076585,"('untruthful', 'truthful')",-0.1003323,-0.0810766,0.0192557
39,0.033645865,0.0012472086,"('exploitative', 'cooperative')",0.0336459,0.0012472,-0.0323987
