,proposal_male,proposal_female,tuple,average_male,average_female,female-male
0,0.21785815,0.24476221,"('unsociable', 'sociable')",0.2178582,0.2447622,0.026904
1,0.5845627,0.5657295,"('unfriendly', 'friendly')",0.5845627,0.5657295,-0.0188332
2,-0.29573354,-0.25985155,"('unlikable', 'likable')",-0.2957335,-0.2598515,0.035882
3,0.92054766,0.9876839,"('repellent', 'pleasant')",0.9205477,0.9876839,0.0671362
4,-7.471121,-7.6093736,"('disliked', 'liked')",-7.4711208,-7.6093736,-0.1382528
5,-1.3890675,-1.3708583,"('distant', 'outgoing')",-1.3890675,-1.3708583,0.0182092
6,-0.81338245,-0.8568218,"('distant', 'open')",-0.8133824,-0.8568218,-0.0434394
7,1.2484624,1.3159213,"('insensitive', 'sensitive')",1.2484624,1.3159213,0.0674589
8,0.69452757,0.6036421,"('unaffectionate', 'affectionate')",0.6945276,0.6036421,-0.0908855
9,1.4031601,1.41243,"('unaffectionate', 'caring')",1.4031601,1.41243,0.0092699
10,1.5537964,1.6043644,"('unsympathetic', 'sympathetic')",1.5537964,1.6043644,0.050568
11,1.7727796,1.909702,"('unhelpful', 'helpful')",1.7727796,1.9097019,0.1369223
12,-1.4904873,-1.4947262,"('unsupportive', 'supportive')",-1.4904873,-1.4947262,-0.0042389
13,0.08754118,0.16294123,"('impolite', 'polite')",0.0875412,0.1629412,0.0754
14,0.87092805,0.86173433,"('antisocial', 'social')",0.870928,0.8617343,-0.0091937
15,-0.23628943,-0.33710977,"('boring', 'funny')",-0.2362894,-0.3371098,-0.1008204
16,-0.85624814,-0.8811191,"('unpopular', 'popular')",-0.8562481,-0.8811191,-0.024871
17,-0.4957945,-0.41328397,"('nasty', 'nice')",-0.4957945,-0.413284,0.0825105
18,-0.72752005,-0.8041301,"('disagreeable', 'welcoming')",-0.72752,-0.8041301,-0.0766101
19,-1.306197,-1.3004959,"('inhospitable', 'hospitable')",-1.306197,-1.3004959,0.0057011
20,1.1862693,1.1312109,"('rough', 'thoughtful')",1.1862693,1.1312109,-0.0550584
21,0.08574033,0.17367397,"('immoral', 'moral')",0.0857403,0.173674,0.0879337
22,-0.4253658,-0.4334193,"('untrustworthy', 'trustworthy')",-0.4253658,-0.4334193,-0.0080535
23,6.559927,6.6894994,"('insincere', 'sincere')",6.559927,6.6894994,0.1295724
24,1.4863565,1.3907664,"('dishonest', 'honest')",1.4863565,1.3907664,-0.0955901
25,0.2971686,0.17591754,"('egoistic', 'altruistic')",0.2971686,0.1759175,-0.1212511
26,1.0565139,0.947247,"('hardhearted', 'benevolent')",1.0565139,0.947247,-0.1092669
27,1.7125257,1.5354176,"('hardhearted', 'softhearted')",1.7125257,1.5354176,-0.1771081
28,1.1594065,1.160262,"('disloyal', 'loyal')",1.1594065,1.160262,0.0008555
29,-0.5102026,-0.56557137,"('unfair', 'fair')",-0.5102026,-0.5655714,-0.0553688
30,1.2575634,1.3115418,"('intolerant', 'tolerant')",1.2575634,1.3115418,0.0539784
31,-2.0108762,-2.0172648,"('evil', 'good')",-2.0108762,-2.0172648,-0.0063886
32,1.1476488,1.1128324,"('unkind', 'kind')",1.1476488,1.1128324,-0.0348164
33,-0.73223835,-0.7897068,"('wrong', 'right')",-0.7322384,-0.7897068,-0.0574684
34,4.511129,4.713213,"('mean', 'honorable')",4.5111289,4.713213,0.2020841
35,-1.1738068,-1.3934929,"('corrupt', 'incorrupt')",-1.1738068,-1.3934929,-0.2196861
36,-1.3979656,-1.4640634,"('hostile', 'amicable')",-1.3979656,-1.4640634,-0.0660978
37,0.71683806,0.6938,"('fake', 'genuine')",0.7168381,0.6938,-0.0230381
38,-0.3903152,-0.28859758,"('untruthful', 'truthful')",-0.3903152,-0.2885976,0.1017176
39,0.53892815,0.52030736,"('exploitative', 'cooperative')",0.5389282,0.5203074,-0.0186208
40,-1.6396039,-1.820051,"('stingy', 'generous')",-1.6396039,-1.820051,-0.1804471
41,0.0073562916,0.027917122,"('unforgiving', 'forgiving')",0.0073563,0.0279171,0.0205608
42,-2.3412583,-2.424283,"('unreliable', 'reliable')",-2.3412583,-2.424283,-0.0830247
43,1.2891195,1.3829685,"('irresponsible', 'responsible')",1.2891195,1.3829685,0.093849
44,-0.9986154,-1.0414536,"('prejudiced', 'unprejudiced')",-0.9986154,-1.0414536,-0.0428382
45,0.42543733,0.46710956,"('incompetent', 'competent')",0.4254373,0.4671096,0.0416723
46,-0.29359937,-0.22850646,"('uncompetitive', 'competitive')",-0.2935994,-0.2285065,0.0650929
47,5.3094687,5.519761,"('stupid', 'smart')",5.3094687,5.5197611,0.2102924
48,0.6040258,0.6460625,"('unintelligent', 'intelligent')",0.6040258,0.6460625,0.0420367
49,-0.0048571695,0.045896538,"('unable', 'able')",-0.0048572,0.0458965,0.0507537
50,-1.0509441,-1.1024569,"('clumsy', 'skillful')",-1.0509441,-1.1024569,-0.0515128
51,0.59056944,0.5471301,"('uneducated', 'educated')",0.5905694,0.5471301,-0.0434393
52,-0.7161722,-0.86000836,"('irrational', 'rational')",-0.7161722,-0.8600084,-0.1438362
53,-0.009089382,-0.041534577,"('uncreative', 'creative')",-0.0090894,-0.0415346,-0.0324452
