,fuel_male,fuel_female,tuple,average_male,average_female,female-male
0,-0.055691462,0.04654852,"('unsociable', 'sociable')",-0.0556915,0.0465485,0.10224
1,1.5893483,1.3451335,"('unfriendly', 'friendly')",1.5893483,1.3451335,-0.2442148
2,0.12808506,0.21784322,"('unlikable', 'likable')",0.1280851,0.2178432,0.0897581
3,0.42344773,0.7249774,"('repellent', 'pleasant')",0.4234477,0.7249774,0.3015297
4,-6.8471417,-7.095843,"('disliked', 'liked')",-6.8471417,-7.0958428,-0.2487011
5,-0.04096165,-0.3157072,"('distant', 'outgoing')",-0.0409616,-0.3157072,-0.2747456
6,0.34369746,-0.056607608,"('distant', 'open')",0.3436975,-0.0566076,-0.4003051
7,1.1926966,1.3606222,"('insensitive', 'sensitive')",1.1926966,1.3606222,0.1679256
8,1.3506074,1.0573659,"('unaffectionate', 'affectionate')",1.3506074,1.0573659,-0.2932415
9,1.5750123,1.3895124,"('unaffectionate', 'caring')",1.5750123,1.3895124,-0.1854999
10,0.6164513,0.9138457,"('unsympathetic', 'sympathetic')",0.6164513,0.9138457,0.2973944
11,1.6167777,1.7609125,"('unhelpful', 'helpful')",1.6167777,1.7609125,0.1441348
12,-1.5189884,-1.4723028,"('unsupportive', 'supportive')",-1.5189884,-1.4723028,0.0466856
13,-0.36173347,0.027859084,"('impolite', 'polite')",-0.3617335,0.0278591,0.3895926
14,0.117036976,0.3417614,"('antisocial', 'social')",0.117037,0.3417614,0.2247244
15,0.5910581,0.46626955,"('boring', 'funny')",0.5910581,0.4662696,-0.1247885
16,-0.48516577,-0.6454418,"('unpopular', 'popular')",-0.4851658,-0.6454418,-0.160276
17,0.18346304,0.20214574,"('nasty', 'nice')",0.183463,0.2021457,0.0186827
18,-0.6874724,-0.55419636,"('disagreeable', 'welcoming')",-0.6874724,-0.5541964,0.133276
19,-0.2049041,-0.34043378,"('inhospitable', 'hospitable')",-0.2049041,-0.3404338,-0.1355297
20,0.60830677,0.4986804,"('rough', 'thoughtful')",0.6083068,0.4986804,-0.1096264
21,-0.46264762,-0.039228093,"('immoral', 'moral')",-0.4626476,-0.0392281,0.4234195
22,-0.4915451,-0.28683096,"('untrustworthy', 'trustworthy')",-0.4915451,-0.286831,0.2047141
23,6.068123,6.307124,"('insincere', 'sincere')",6.0681229,6.3071241,0.2390012
24,1.304125,1.3364086,"('dishonest', 'honest')",1.304125,1.3364086,0.0322836
25,1.1042289,1.0155478,"('egoistic', 'altruistic')",1.1042289,1.0155478,-0.0886811
26,1.492336,1.2041045,"('hardhearted', 'benevolent')",1.492336,1.2041045,-0.2882315
27,1.5825295,1.3937757,"('hardhearted', 'softhearted')",1.5825295,1.3937757,-0.1887538
28,1.5130749,1.2637956,"('disloyal', 'loyal')",1.5130749,1.2637956,-0.2492793
29,-0.20949298,-0.47025028,"('unfair', 'fair')",-0.209493,-0.4702503,-0.2607573
30,0.67977697,0.95295435,"('intolerant', 'tolerant')",0.679777,0.9529544,0.2731774
31,-0.59352773,-0.9732151,"('evil', 'good')",-0.5935277,-0.9732151,-0.3796874
32,1.0544474,1.0376537,"('unkind', 'kind')",1.0544474,1.0376537,-0.0167937
33,0.08358785,-0.18138364,"('wrong', 'right')",0.0835878,-0.1813836,-0.2649714
34,4.172433,4.380175,"('mean', 'honorable')",4.1724329,4.3801751,0.2077422
35,-0.5863985,-1.2051557,"('corrupt', 'incorrupt')",-0.5863985,-1.2051557,-0.6187572
36,-0.30489177,-0.8053389,"('hostile', 'amicable')",-0.3048918,-0.8053389,-0.5004471
37,0.9775753,0.95967406,"('fake', 'genuine')",0.9775753,0.9596741,-0.0179012
38,-0.26907578,-0.24080059,"('untruthful', 'truthful')",-0.2690758,-0.2408006,0.0282752
39,0.36504698,0.5047689,"('exploitative', 'cooperative')",0.365047,0.5047689,0.1397219
40,-1.0378788,-1.0804455,"('stingy', 'generous')",-1.0378788,-1.0804455,-0.0425667
41,0.5701644,0.49891925,"('unforgiving', 'forgiving')",0.5701644,0.4989192,-0.0712452
42,-2.1754143,-2.046763,"('unreliable', 'reliable')",-2.1754143,-2.0467629,0.1286514
43,0.8323088,1.0998244,"('irresponsible', 'responsible')",0.8323088,1.0998244,0.2675156
44,-1.1497983,-1.1071757,"('prejudiced', 'unprejudiced')",-1.1497983,-1.1071757,0.0426226
45,0.3981077,0.264944,"('incompetent', 'competent')",0.3981077,0.264944,-0.1331637
46,-1.052505,-0.81301033,"('uncompetitive', 'competitive')",-1.052505,-0.8130103,0.2394947
47,4.7371993,4.8479953,"('stupid', 'smart')",4.7371993,4.8479953,0.110796
48,0.13361904,0.29976234,"('unintelligent', 'intelligent')",0.133619,0.2997623,0.1661433
49,-0.3092518,-0.18899742,"('unable', 'able')",-0.3092518,-0.1889974,0.1202544
50,-0.22019686,-0.30734482,"('clumsy', 'skillful')",-0.2201969,-0.3073448,-0.0871479
51,0.12030339,0.36025706,"('uneducated', 'educated')",0.1203034,0.3602571,0.2399537
52,0.28516984,-0.117538124,"('irrational', 'rational')",0.2851698,-0.1175381,-0.4027079
53,0.23698786,0.03786409,"('uncreative', 'creative')",0.2369879,0.0378641,-0.1991238
54,1.038639,1.0102464,"('incapable', 'capable')",1.0386389,1.0102464,-0.0283925
55,0.49051023,0.8476923,"('incompetent', 'clever')",0.4905102,0.8476923,0.3571821
56,0.17152834,0.296139,"('impractical', 'practical')",0.1715283,0.296139,0.1246107
57,-1.83536,-1.9209896,"('unimaginative', 'imaginative')",-1.8353601,-1.9209896,-0.0856295
58,0.5848957,0.5328806,"('undiscriminating', 'discriminating')",0.5848957,0.5328806,-0.0520151
59,0.29169026,0.13505813,"('foolish', 'wise')",0.2916903,0.1350581,-0.1566322
60,-0.18917511,0.3804959,"('inefficient', 'efficient')",-0.1891751,0.3804959,0.569671
61,0.27448627,0.1923534,"('illogical', 'logical')",0.2744863,0.1923534,-0.0821329
62,0.49156773,0.862027,"('incompetent', 'brilliant')",0.4915677,0.862027,0.3704593
63,0.12366077,0.3313417,"('unperceptive', 'insightful')",0.1236608,0.3313417,0.2076809
64,-6.652527,-6.2924557,"('shy', 'confident')",-6.6525269,-6.2924557,0.3600712
65,-0.074624285,0.3713867,"('insecure', 'secure')",-0.0746243,0.3713867,0.446011
66,0.14455596,-0.21297237,"('inactive', 'active')",0.144556,-0.2129724,-0.3575284
67,-0.7241884,-0.6304968,"('doubtful', 'determined')",-0.7241884,-0.6304968,0.0936916
68,-1.4112344,-1.1987946,"('dependent', 'independent')",-1.4112344,-1.1987946,0.2124398
69,-1.4968321,-1.8603548,"('lazy', 'industrious')",-1.4968321,-1.8603548,-0.3635227
70,1.1674057,1.3917658,"('lethargic', 'energetic')",1.1674057,1.3917658,0.2243601
71,0.60371774,0.41592413,"('diffident', 'self-confident')",0.6037177,0.4159241,-0.1877936
72,0.78913015,1.1113906,"('unambitious', 'ambitious')",0.7891302,1.1113906,0.3222604
73,-2.3927565,-2.3484812,"('helpless', 'self-reliant')",-2.3927565,-2.3484812,0.0442753
74,0.3045672,0.15855923,"('undedicated', 'dedicated')",0.3045672,0.1585592,-0.146008
75,-0.6131019,-0.6766337,"('meek', 'impulsive')",-0.6131019,-0.6766337,-0.0635318
76,0.27804625,0.58143765,"('anxious', 'daring')",0.2780463,0.5814376,0.3033913
77,-1.5929952,-1.3549738,"('unmotivated', 'motivated')",-1.5929952,-1.3549738,0.2380214
78,-0.70935965,-0.8939821,"('nonresilient', 'resilient')",-0.7093596,-0.8939821,-0.1846225
79,0.31034148,-0.029564597,"('wavering', 'unwavering')",0.3103415,-0.0295646,-0.3399061
80,-0.0003074333,0.09372241,"('dominated', 'dominating')",-0.0003074,0.0937224,0.0940298
81,-0.4379509,-0.04718733,"('submissive', 'aggressive')",-0.4379509,-0.0471873,0.3907636
82,6.1828704,6.1885924,"('poor', 'rich')",6.1828704,6.1885924,0.005722
83,-0.17836666,-0.10477159,"('powerless', 'powerful')",-0.1783667,-0.1047716,0.0735951
84,0.5460922,0.38300475,"('inferior', 'superior')",0.5460922,0.3830048,-0.1630874
85,-0.30306703,-0.7475378,"('insignificant', 'prestigious')",-0.303067,-0.7475378,-0.4444708
86,0.61566687,0.60508233,"('uninfluential', 'influential')",0.6156669,0.6050823,-0.0105846
87,0.23187174,0.163317,"('unsuccessful', 'successful')",0.2318717,0.163317,-0.0685547
88,-0.18625262,-0.14150475,"('low', 'eminent')",-0.1862526,-0.1415047,0.0447479
