,childhood_male,childhood_female,tuple,average_male,average_female,female-male
0,-0.069351085,-0.31291953,"('unsociable', 'sociable')",-0.0693511,-0.3129195,-0.2435684
1,1.210067,1.2203496,"('unfriendly', 'friendly')",1.210067,1.2203496,0.0102826
2,0.27435645,0.41058493,"('unlikable', 'likable')",0.2743565,0.4105849,0.1362284
3,0.41081476,0.50114053,"('repellent', 'pleasant')",0.4108148,0.5011405,0.0903257
4,-7.297113,-7.454579,"('disliked', 'liked')",-7.2971129,-7.4545789,-0.157466
5,-0.40711892,-0.23898621,"('distant', 'outgoing')",-0.4071189,-0.2389862,0.1681327
6,-0.20537296,-0.054479524,"('distant', 'open')",-0.205373,-0.0544795,0.1508935
7,0.4298714,0.4747981,"('insensitive', 'sensitive')",0.4298714,0.4747981,0.0449267
8,1.4410757,1.4721746,"('unaffectionate', 'affectionate')",1.4410757,1.4721746,0.0310989
9,1.8106942,1.9235042,"('unaffectionate', 'caring')",1.8106942,1.9235042,0.11281
10,0.8095351,0.8956714,"('unsympathetic', 'sympathetic')",0.8095351,0.8956714,0.0861363
11,2.072401,2.0726905,"('unhelpful', 'helpful')",2.072401,2.0726905,0.0002895
12,-1.5049357,-1.4681554,"('unsupportive', 'supportive')",-1.5049357,-1.4681554,0.0367803
13,0.09701229,0.016677998,"('impolite', 'polite')",0.0970123,0.016678,-0.0803343
14,-0.34151405,-0.5203693,"('antisocial', 'social')",-0.3415141,-0.5203693,-0.1788552
15,0.64990705,0.45410693,"('boring', 'funny')",0.6499071,0.4541069,-0.1958002
16,-0.29863948,-0.26332328,"('unpopular', 'popular')",-0.2986395,-0.2633233,0.0353162
17,-0.03337522,-0.062180854,"('nasty', 'nice')",-0.0333752,-0.0621809,-0.0288057
18,-0.474915,-0.5623629,"('disagreeable', 'welcoming')",-0.474915,-0.5623629,-0.0874479
19,-0.43693522,-0.35617307,"('inhospitable', 'hospitable')",-0.4369352,-0.3561731,0.0807621
20,0.65405166,0.5001839,"('rough', 'thoughtful')",0.6540517,0.5001839,-0.1538678
21,-0.27394187,-0.15087606,"('immoral', 'moral')",-0.2739419,-0.1508761,0.1230658
