,predecessor_male,predecessor_female,tuple,average_male,average_female,female-male
0,0.44353613,0.32857788,"('unsociable', 'sociable')",0.4435361,0.3285779,-0.1149582
1,1.7516525,1.7658603,"('unfriendly', 'friendly')",1.7516525,1.7658603,0.0142078
2,0.121170044,0.16913766,"('unlikable', 'likable')",0.12117,0.1691377,0.0479677
3,1.2576462,1.286283,"('repellent', 'pleasant')",1.2576462,1.286283,0.0286368
4,-6.704179,-6.868338,"('disliked', 'liked')",-6.7041788,-6.8683381,-0.1641593
5,-0.6715184,-0.52747065,"('distant', 'outgoing')",-0.6715184,-0.5274706,0.1440478
6,-0.569715,-0.45541942,"('distant', 'open')",-0.569715,-0.4554194,0.1142956
7,1.7581009,1.7232009,"('insensitive', 'sensitive')",1.7581009,1.7232009,-0.0349
8,1.0375298,1.1116128,"('unaffectionate', 'affectionate')",1.0375298,1.1116128,0.074083
9,1.5553792,1.6242712,"('unaffectionate', 'caring')",1.5553792,1.6242712,0.068892
10,1.0339159,0.9892883,"('unsympathetic', 'sympathetic')",1.0339159,0.9892883,-0.0446276
11,1.9726398,2.0887594,"('unhelpful', 'helpful')",1.9726398,2.0887594,0.1161196
12,-1.0566152,-1.0284456,"('unsupportive', 'supportive')",-1.0566152,-1.0284456,0.0281696
13,0.17450829,0.14007774,"('impolite', 'polite')",0.1745083,0.1400777,-0.0344306
14,0.14700213,-0.0052069947,"('antisocial', 'social')",0.1470021,-0.005207,-0.1522091
15,0.08348359,0.09639791,"('boring', 'funny')",0.0834836,0.0963979,0.0129143
16,-0.6233208,-0.5517452,"('unpopular', 'popular')",-0.6233208,-0.5517452,0.0715756
17,-0.7033274,-0.5109004,"('nasty', 'nice')",-0.7033274,-0.5109004,0.192427
18,-0.07464143,-0.07731078,"('disagreeable', 'welcoming')",-0.0746414,-0.0773108,-0.0026694
19,-0.67921954,-0.6015613,"('inhospitable', 'hospitable')",-0.6792195,-0.6015613,0.0776582
20,0.80185825,0.6294123,"('rough', 'thoughtful')",0.8018582,0.6294123,-0.1724459
