,ford_male,ford_female,tuple,average_male,average_female,female-male
0,-0.11885194,-0.14652804,"('unsociable', 'sociable')",-0.1188519,-0.146528,-0.0276761
1,1.6625247,1.520019,"('unfriendly', 'friendly')",1.6625247,1.5200191,-0.1425056
2,0.48670226,0.57222223,"('unlikable', 'likable')",0.4867023,0.5722222,0.0855199
3,0.2656946,0.43116665,"('repellent', 'pleasant')",0.2656946,0.4311666,0.165472
4,-7.121567,-7.4083514,"('disliked', 'liked')",-7.1215668,-7.4083514,-0.2867846
5,-0.23650914,-0.33833575,"('distant', 'outgoing')",-0.2365091,-0.3383358,-0.1018267
6,0.011057459,-0.031080637,"('distant', 'open')",0.0110575,-0.0310806,-0.0421381
7,0.537775,0.6497218,"('insensitive', 'sensitive')",0.537775,0.6497218,0.1119468
8,1.7293248,1.600959,"('unaffectionate', 'affectionate')",1.7293248,1.6009589,-0.1283659
9,2.1830351,2.1745496,"('unaffectionate', 'caring')",2.1830351,2.1745496,-0.0084855
10,0.52393657,0.7026975,"('unsympathetic', 'sympathetic')",0.5239366,0.7026975,0.1787609
11,2.0206947,2.0870771,"('unhelpful', 'helpful')",2.0206947,2.0870771,0.0663824
12,-1.2380997,-1.2601728,"('unsupportive', 'supportive')",-1.2380997,-1.2601728,-0.0220731
13,-0.14074892,-0.17043929,"('impolite', 'polite')",-0.1407489,-0.1704393,-0.0296904
14,0.05636722,0.09018946,"('antisocial', 'social')",0.0563672,0.0901895,0.0338223
15,0.34721294,0.14728682,"('boring', 'funny')",0.3472129,0.1472868,-0.1999261
16,-0.38222292,-0.42699113,"('unpopular', 'popular')",-0.3822229,-0.4269911,-0.0447682
17,-0.4148996,-0.40142724,"('nasty', 'nice')",-0.4148996,-0.4014272,0.0134724
18,-0.8972683,-0.8803039,"('disagreeable', 'welcoming')",-0.8972683,-0.8803039,0.0169644
19,-0.46850672,-0.48162836,"('inhospitable', 'hospitable')",-0.4685067,-0.4816284,-0.0131217
20,0.8558767,0.8627737,"('rough', 'thoughtful')",0.8558767,0.8627737,0.006897
21,-0.055821363,0.14079082,"('immoral', 'moral')",-0.0558214,0.1407908,0.1966122
22,-0.31213525,-0.35970384,"('untrustworthy', 'trustworthy')",-0.3121352,-0.3597038,-0.0475686
23,6.1213794,6.2995896,"('insincere', 'sincere')",6.1213794,6.2995896,0.1782102
24,1.5071696,1.4910319,"('dishonest', 'honest')",1.5071696,1.4910319,-0.0161377
25,0.8099399,0.6861829,"('egoistic', 'altruistic')",0.8099399,0.6861829,-0.123757
26,1.6420516,1.526215,"('hardhearted', 'benevolent')",1.6420516,1.526215,-0.1158366
27,1.0591986,0.98678994,"('hardhearted', 'softhearted')",1.0591986,0.9867899,-0.0724087
28,1.4078455,1.3943715,"('disloyal', 'loyal')",1.4078455,1.3943715,-0.013474
29,-0.36506984,-0.4933688,"('unfair', 'fair')",-0.3650698,-0.4933688,-0.128299
30,0.64708185,0.72154844,"('intolerant', 'tolerant')",0.6470819,0.7215484,0.0744665
31,-1.4139501,-1.5051068,"('evil', 'good')",-1.4139501,-1.5051068,-0.0911567
32,1.338918,1.3072262,"('unkind', 'kind')",1.338918,1.3072262,-0.0316918
33,0.2881325,0.09518872,"('wrong', 'right')",0.2881325,0.0951887,-0.1929438
34,5.046337,5.2918363,"('mean', 'honorable')",5.0463371,5.2918363,0.2454992
35,-0.63967437,-0.94441724,"('corrupt', 'incorrupt')",-0.6396744,-0.9444172,-0.3047428
36,-0.41109195,-0.59166145,"('hostile', 'amicable')",-0.411092,-0.5916615,-0.1805695
37,0.56626856,0.5992828,"('fake', 'genuine')",0.5662686,0.5992828,0.0330142
38,0.26650256,0.22284417,"('untruthful', 'truthful')",0.2665026,0.2228442,-0.0436584
39,0.90962464,0.96258825,"('exploitative', 'cooperative')",0.9096246,0.9625883,0.0529637
40,-1.8589022,-1.9497937,"('stingy', 'generous')",-1.8589022,-1.9497937,-0.0908915
41,0.95765823,0.9171761,"('unforgiving', 'forgiving')",0.9576582,0.9171761,-0.0404821
42,-3.1077363,-2.9913142,"('unreliable', 'reliable')",-3.1077363,-2.9913142,0.1164221
43,1.1677836,1.2456839,"('irresponsible', 'responsible')",1.1677836,1.2456839,0.0779003
44,-1.4556241,-1.4359154,"('prejudiced', 'unprejudiced')",-1.4556241,-1.4359154,0.0197087
45,0.31500936,0.33057854,"('incompetent', 'competent')",0.3150094,0.3305785,0.0155691
46,-0.5046657,-0.5020606,"('uncompetitive', 'competitive')",-0.5046657,-0.5020606,0.0026051
47,5.663268,5.8586903,"('stupid', 'smart')",5.6632681,5.8586903,0.1954222
48,0.87691647,0.9241995,"('unintelligent', 'intelligent')",0.8769165,0.9241995,0.047283
49,0.036419477,0.16548088,"('unable', 'able')",0.0364195,0.1654809,0.1290614
50,-0.64979625,-0.5992293,"('clumsy', 'skillful')",-0.6497962,-0.5992293,0.0505669
51,-0.5986309,-0.65254503,"('uneducated', 'educated')",-0.5986309,-0.652545,-0.0539141
52,0.05958563,-0.1286908,"('irrational', 'rational')",0.0595856,-0.1286908,-0.1882764
53,0.5656625,0.56733793,"('uncreative', 'creative')",0.5656625,0.5673379,0.0016754
54,0.96986127,1.0312417,"('incapable', 'capable')",0.9698613,1.0312417,0.0613804
55,0.39918077,0.52381265,"('incompetent', 'clever')",0.3991808,0.5238127,0.1246319
56,0.8721158,0.92225915,"('impractical', 'practical')",0.8721158,0.9222592,0.0501434
