,kumquat_male,kumquat_female,tuple,average_male,average_female,female-male
0,-0.08060463,-0.2593613,"('unsociable', 'sociable')",-0.0806046,-0.2593613,-0.1787567
1,-0.54161006,-0.6721681,"('unfriendly', 'friendly')",-0.5416101,-0.6721681,-0.130558
2,0.80366737,0.8182281,"('unlikable', 'likable')",0.8036674,0.8182281,0.0145607
3,-0.4484554,-0.30563122,"('repellent', 'pleasant')",-0.4484554,-0.3056312,0.1428242
4,-1.1193,-1.1416641,"('disliked', 'liked')",-1.1193,-1.1416641,-0.0223641
5,-0.7976749,-0.8060976,"('distant', 'outgoing')",-0.7976749,-0.8060976,-0.0084227
6,-1.0298946,-0.9752469,"('distant', 'open')",-1.0298946,-0.9752469,0.0546477
7,-0.64914554,-0.65864956,"('insensitive', 'sensitive')",-0.6491455,-0.6586496,-0.0095041
8,-1.18992,-1.2030103,"('unaffectionate', 'affectionate')",-1.1899199,-1.2030103,-0.0130904
9,-0.84151137,-0.9037087,"('unaffectionate', 'caring')",-0.8415114,-0.9037087,-0.0621973
10,-0.59951764,-0.58950007,"('unsympathetic', 'sympathetic')",-0.5995176,-0.5895001,0.0100175
11,0.23396453,0.19379798,"('unhelpful', 'helpful')",0.2339645,0.193798,-0.0401665
12,-1.2926358,-1.1740265,"('unsupportive', 'supportive')",-1.2926358,-1.1740265,0.1186093
13,-0.42297396,-0.48752555,"('impolite', 'polite')",-0.422974,-0.4875256,-0.0645516
14,-0.22046074,-0.24388896,"('antisocial', 'social')",-0.2204607,-0.243889,-0.0234283
15,1.2631832,1.0761923,"('boring', 'funny')",1.2631832,1.0761923,-0.1869909
16,0.32309595,0.22548844,"('unpopular', 'popular')",0.3230959,0.2254884,-0.0976075
17,-0.16633342,-0.10869304,"('nasty', 'nice')",-0.1663334,-0.108693,0.0576404
18,-0.958559,-0.86587596,"('disagreeable', 'welcoming')",-0.958559,-0.865876,0.092683
19,-0.8747735,-0.8278142,"('inhospitable', 'hospitable')",-0.8747735,-0.8278142,0.0469593
20,0.048611704,0.020967066,"('rough', 'thoughtful')",0.0486117,0.0209671,-0.0276446
21,-0.56696355,-0.55792433,"('immoral', 'moral')",-0.5669636,-0.5579243,0.0090393
22,-0.59538025,-0.59659314,"('untrustworthy', 'trustworthy')",-0.5953802,-0.5965931,-0.0012129
23,1.0750283,1.0356663,"('insincere', 'sincere')",1.0750283,1.0356663,-0.039362
24,-0.10674386,-0.19414562,"('dishonest', 'honest')",-0.1067439,-0.1941456,-0.0874017
25,0.1287989,0.00084180105,"('egoistic', 'altruistic')",0.1287989,0.0008418,-0.1279571
26,0.6182116,0.47528824,"('hardhearted', 'benevolent')",0.6182116,0.4752882,-0.1429234
27,-0.12141727,-0.06785798,"('hardhearted', 'softhearted')",-0.1214173,-0.067858,0.0535593
28,-0.4632601,-0.64450026,"('disloyal', 'loyal')",-0.4632601,-0.6445003,-0.1812402
29,-0.31899223,-0.4617879,"('unfair', 'fair')",-0.3189922,-0.4617879,-0.1427957
30,1.0785834,1.0670158,"('intolerant', 'tolerant')",1.0785834,1.0670158,-0.0115676
31,-1.3469857,-1.2391233,"('evil', 'good')",-1.3469857,-1.2391233,0.1078624
32,0.544076,0.34244537,"('unkind', 'kind')",0.544076,0.3424454,-0.2016306
33,-0.29844087,-0.34696352,"('wrong', 'right')",-0.2984409,-0.3469635,-0.0485226
34,0.32250604,0.4732743,"('mean', 'honorable')",0.322506,0.4732743,0.1507683
35,0.54103446,0.34269103,"('corrupt', 'incorrupt')",0.5410345,0.342691,-0.1983435
36,-0.75094795,-0.77738875,"('hostile', 'amicable')",-0.750948,-0.7773888,-0.0264408
37,-0.11164361,-0.15479389,"('fake', 'genuine')",-0.1116436,-0.1547939,-0.0431503
38,-0.48693955,-0.48621032,"('untruthful', 'truthful')",-0.4869395,-0.4862103,0.0007292
39,0.42107123,0.5454196,"('exploitative', 'cooperative')",0.4210712,0.5454196,0.1243484
40,-1.3659863,-1.3442155,"('stingy', 'generous')",-1.3659863,-1.3442155,0.0217708
41,0.02192739,0.08057736,"('unforgiving', 'forgiving')",0.0219274,0.0805774,0.05865
42,0.18827373,0.2760778,"('unreliable', 'reliable')",0.1882737,0.2760778,0.0878041
43,-0.24239211,-0.12573844,"('irresponsible', 'responsible')",-0.2423921,-0.1257384,0.1166537
44,0.12983064,0.27673954,"('prejudiced', 'unprejudiced')",0.1298306,0.2767395,0.1469089
45,-0.33781558,-0.28839856,"('incompetent', 'competent')",-0.3378156,-0.2883986,0.049417
46,-1.0167476,-1.0032463,"('uncompetitive', 'competitive')",-1.0167476,-1.0032463,0.0135013
47,1.3451025,1.3978375,"('stupid', 'smart')",1.3451025,1.3978375,0.052735
48,-0.35867673,-0.37678227,"('unintelligent', 'intelligent')",-0.3586767,-0.3767823,-0.0181056
49,-0.6658224,-0.491773,"('unable', 'able')",-0.6658224,-0.491773,0.1740494
50,0.73165715,0.763624,"('clumsy', 'skillful')",0.7316571,0.763624,0.0319669
51,-0.18331373,-0.3482509,"('uneducated', 'educated')",-0.1833137,-0.3482509,-0.1649372
52,-0.6022048,-0.67619103,"('irrational', 'rational')",-0.6022048,-0.676191,-0.0739862
53,-0.07524293,-0.21450181,"('uncreative', 'creative')",-0.0752429,-0.2145018,-0.1392589
54,0.49205506,0.34188905,"('incapable', 'capable')",0.4920551,0.3418891,-0.150166
55,-0.2805276,-0.17311123,"('incompetent', 'clever')",-0.2805276,-0.1731112,0.1074164
56,0.7036211,0.6511683,"('impractical', 'practical')",0.7036211,0.6511683,-0.0524528
57,-0.96372724,-1.0578256,"('unimaginative', 'imaginative')",-0.9637272,-1.0578256,-0.0940984
58,0.01688179,-0.08735384,"('undiscriminating', 'discriminating')",0.0168818,-0.0873538,-0.1042356
59,0.46116135,0.45531872,"('foolish', 'wise')",0.4611613,0.4553187,-0.0058426
60,-0.035791703,0.05623822,"('inefficient', 'efficient')",-0.0357917,0.0562382,0.0920299
61,-0.08500952,-0.22251646,"('illogical', 'logical')",-0.0850095,-0.2225165,-0.137507
62,0.4888536,0.5465081,"('incompetent', 'brilliant')",0.4888536,0.5465081,0.0576545
63,-0.10755269,-0.059190866,"('unperceptive', 'insightful')",-0.1075527,-0.0591909,0.0483618
64,-1.6411853,-1.6571642,"('shy', 'confident')",-1.6411853,-1.6571642,-0.0159789
65,-0.5487729,-0.49235648,"('insecure', 'secure')",-0.5487729,-0.4923565,0.0564164
66,-1.2299367,-1.2538227,"('inactive', 'active')",-1.2299367,-1.2538227,-0.023886
67,0.34022668,0.30729654,"('doubtful', 'determined')",0.3402267,0.3072965,-0.0329302
68,-1.0753995,-1.139388,"('dependent', 'independent')",-1.0753995,-1.139388,-0.0639885
69,-0.09406482,-0.01364582,"('lazy', 'industrious')",-0.0940648,-0.0136458,0.080419
70,-0.242903,-0.18676272,"('lethargic', 'energetic')",-0.242903,-0.1867627,0.0561403
71,-0.16234583,-0.25736624,"('diffident', 'self-confident')",-0.1623458,-0.2573662,-0.0950204
72,-1.2535138,-1.2094717,"('unambitious', 'ambitious')",-1.2535138,-1.2094717,0.0440421
73,0.20321609,0.16689084,"('helpless', 'self-reliant')",0.2032161,0.1668908,-0.0363253
74,0.062893055,0.023345754,"('undedicated', 'dedicated')",0.0628931,0.0233458,-0.0395473
75,-0.4227843,-0.4182747,"('meek', 'impulsive')",-0.4227843,-0.4182747,0.0045096
76,0.673072,0.74780273,"('anxious', 'daring')",0.673072,0.7478027,0.0747307
77,-0.96254253,-0.93179435,"('unmotivated', 'motivated')",-0.9625425,-0.9317943,0.0307482
78,-0.7317849,-0.69902295,"('nonresilient', 'resilient')",-0.7317849,-0.6990229,0.032762
79,-0.55152506,-0.65698755,"('wavering', 'unwavering')",-0.5515251,-0.6569875,-0.1054624
80,0.45804164,0.31610522,"('dominated', 'dominating')",0.4580416,0.3161052,-0.1419364
81,-0.19149086,-0.24420445,"('submissive', 'aggressive')",-0.1914909,-0.2442044,-0.0527135
82,1.9965065,1.9064909,"('poor', 'rich')",1.9965065,1.9064909,-0.0900156
83,-0.65326303,-0.745395,"('powerless', 'powerful')",-0.653263,-0.745395,-0.092132
84,0.2108696,0.033871405,"('inferior', 'superior')",0.2108696,0.0338714,-0.1769982
85,0.38049975,0.2966426,"('insignificant', 'prestigious')",0.3804998,0.2966426,-0.0838572
86,-1.4964291,-1.6608719,"('uninfluential', 'influential')",-1.4964291,-1.6608719,-0.1644428
87,0.6429134,0.44249067,"('unsuccessful', 'successful')",0.6429134,0.4424907,-0.2004227
88,0.8824486,0.4797077,"('low', 'eminent')",0.8824486,0.4797077,-0.4027409
