,conference_male,conference_female,tuple,average_male,average_female,female-male
0,0.6073055,0.43258592,"('unsociable', 'sociable')",0.6073055,0.4325859,-0.1747196
1,1.6164273,1.7750793,"('unfriendly', 'friendly')",1.6164273,1.7750793,0.158652
2,0.7087841,0.76406336,"('unlikable', 'likable')",0.7087841,0.7640634,0.0552793
3,0.99816394,1.113072,"('repellent', 'pleasant')",0.9981639,1.113072,0.1149081
4,-6.8268933,-6.746494,"('disliked', 'liked')",-6.8268933,-6.7464938,0.0803995
5,-0.4741645,-0.2645563,"('distant', 'outgoing')",-0.4741645,-0.2645563,0.2096082
6,-0.09893012,0.056006264,"('distant', 'open')",-0.0989301,0.0560063,0.1549364
7,1.5186026,1.5962633,"('insensitive', 'sensitive')",1.5186026,1.5962633,0.0776607
8,0.8073938,0.85665625,"('unaffectionate', 'affectionate')",0.8073938,0.8566563,0.0492625
9,1.7907792,1.9417121,"('unaffectionate', 'caring')",1.7907792,1.9417121,0.1509329
10,0.874459,0.77365345,"('unsympathetic', 'sympathetic')",0.874459,0.7736534,-0.1008056
11,2.2141888,2.2602987,"('unhelpful', 'helpful')",2.2141888,2.2602987,0.0461099
12,-1.0997509,-0.95370454,"('unsupportive', 'supportive')",-1.0997509,-0.9537045,0.1460464
13,0.5818774,0.3803924,"('impolite', 'polite')",0.5818774,0.3803924,-0.201485
14,0.8577775,0.7778611,"('antisocial', 'social')",0.8577775,0.7778611,-0.0799164
15,0.95454425,0.8550624,"('boring', 'funny')",0.9545442,0.8550624,-0.0994818
16,-0.5246564,-0.35121894,"('unpopular', 'popular')",-0.5246564,-0.3512189,0.1734375
17,-0.107764915,-0.14618081,"('nasty', 'nice')",-0.1077649,-0.1461808,-0.0384159
18,0.0977144,0.22140259,"('disagreeable', 'welcoming')",0.0977144,0.2214026,0.1236882
19,-0.7401078,-0.62407434,"('inhospitable', 'hospitable')",-0.7401078,-0.6240743,0.1160335
20,0.7858582,0.6558352,"('rough', 'thoughtful')",0.7858582,0.6558352,-0.130023
21,0.62642866,0.64738554,"('immoral', 'moral')",0.6264287,0.6473855,0.0209568
22,0.5297061,0.5615877,"('untrustworthy', 'trustworthy')",0.5297061,0.5615877,0.0318816
23,6.7541575,6.8981576,"('insincere', 'sincere')",6.7541575,6.8981576,0.1440001
24,1.76092,1.8098648,"('dishonest', 'honest')",1.76092,1.8098648,0.0489448
25,0.8422199,0.9352392,"('egoistic', 'altruistic')",0.8422199,0.9352392,0.0930193
26,1.457209,1.2651882,"('hardhearted', 'benevolent')",1.457209,1.2651882,-0.1920208
27,1.6640047,1.5721326,"('hardhearted', 'softhearted')",1.6640047,1.5721326,-0.0918721
28,0.96700925,0.9365253,"('disloyal', 'loyal')",0.9670092,0.9365253,-0.0304839
29,-0.20718186,-0.32332987,"('unfair', 'fair')",-0.2071819,-0.3233299,-0.116148
30,1.1026928,1.0260267,"('intolerant', 'tolerant')",1.1026928,1.0260267,-0.0766661
