,typewriter_male,typewriter_female,tuple,average_male,average_female,female-male
0,0.030431122,-0.043667197,"('unsociable', 'sociable')",0.0304311,-0.0436672,-0.0740983
1,0.64892846,0.47586867,"('unfriendly', 'friendly')",0.6489285,0.4758687,-0.1730598
2,-0.16986597,-0.11965045,"('unlikable', 'likable')",-0.169866,-0.1196505,0.0502155
3,-0.48314497,-0.39479548,"('repellent', 'pleasant')",-0.483145,-0.3947955,0.0883495
4,-3.8747091,-3.944004,"('disliked', 'liked')",-3.8747091,-3.9440041,-0.069295
5,-0.1562333,-0.2545676,"('distant', 'outgoing')",-0.1562333,-0.2545676,-0.0983343
6,-0.23005065,-0.31523514,"('distant', 'open')",-0.2300507,-0.3152351,-0.0851844
7,0.24163936,0.37372544,"('insensitive', 'sensitive')",0.2416394,0.3737254,0.132086
8,0.25667742,0.12667735,"('unaffectionate', 'affectionate')",0.2566774,0.1266773,-0.1300001
9,0.72590804,0.62926316,"('unaffectionate', 'caring')",0.725908,0.6292632,-0.0966448
10,-0.24163012,-0.19176063,"('unsympathetic', 'sympathetic')",-0.2416301,-0.1917606,0.0498695
11,0.6364447,0.71220636,"('unhelpful', 'helpful')",0.6364447,0.7122064,0.0757617
12,-0.8707005,-0.8459792,"('unsupportive', 'supportive')",-0.8707005,-0.8459792,0.0247213
13,0.16455975,0.20848984,"('impolite', 'polite')",0.1645598,0.2084898,0.04393
14,-0.4290746,-0.4246637,"('antisocial', 'social')",-0.4290746,-0.4246637,0.0044109
15,0.8053849,0.7067189,"('boring', 'funny')",0.8053849,0.7067189,-0.098666
16,-0.59770644,-0.56458974,"('unpopular', 'popular')",-0.5977064,-0.5645897,0.0331167
17,0.14036652,0.13276486,"('nasty', 'nice')",0.1403665,0.1327649,-0.0076016
18,-1.1558579,-1.1824749,"('disagreeable', 'welcoming')",-1.1558579,-1.1824749,-0.026617
19,-0.89583474,-0.929479,"('inhospitable', 'hospitable')",-0.8958347,-0.929479,-0.0336443
