,pan_male,pan_female,tuple,average_male,average_female,female-male
0,-0.3194074,-0.41420606,"('unsociable', 'sociable')",-0.3194074,-0.4142061,-0.0947987
1,1.7023892,1.662103,"('unfriendly', 'friendly')",1.7023892,1.6621031,-0.0402861
2,0.49434114,0.64588296,"('unlikable', 'likable')",0.4943411,0.645883,0.1515419
3,0.8051732,0.9358231,"('repellent', 'pleasant')",0.8051732,0.9358231,0.1306499
4,-7.110059,-7.146028,"('disliked', 'liked')",-7.1100588,-7.146028,-0.0359692
5,0.06225058,0.23330621,"('distant', 'outgoing')",0.0622506,0.2333062,0.1710556
6,0.49512187,0.6310299,"('distant', 'open')",0.4951219,0.6310299,0.135908
7,0.32773554,0.44888163,"('insensitive', 'sensitive')",0.3277355,0.4488816,0.1211461
8,1.4137427,1.4048626,"('unaffectionate', 'affectionate')",1.4137427,1.4048626,-0.0088801
9,1.5910432,1.7669638,"('unaffectionate', 'caring')",1.5910432,1.7669638,0.1759206
10,0.79281795,0.9243222,"('unsympathetic', 'sympathetic')",0.792818,0.9243222,0.1315042
11,1.6031932,1.6599408,"('unhelpful', 'helpful')",1.6031932,1.6599408,0.0567476
12,-1.7353214,-1.6961806,"('unsupportive', 'supportive')",-1.7353214,-1.6961806,0.0391408
13,-0.15279798,-0.18505917,"('impolite', 'polite')",-0.152798,-0.1850592,-0.0322612
14,-0.7862494,-0.888986,"('antisocial', 'social')",-0.7862494,-0.888986,-0.1027366
15,0.5359245,0.40784463,"('boring', 'funny')",0.5359245,0.4078446,-0.1280799
16,-0.15933903,-0.090310946,"('unpopular', 'popular')",-0.159339,-0.0903109,0.0690281
17,0.1296896,0.15296364,"('nasty', 'nice')",0.1296896,0.1529636,0.023274
18,-0.43282217,-0.58096045,"('disagreeable', 'welcoming')",-0.4328222,-0.5809605,-0.1481383
19,-0.324543,-0.13002965,"('inhospitable', 'hospitable')",-0.324543,-0.1300296,0.1945134
20,0.60539824,0.43863377,"('rough', 'thoughtful')",0.6053982,0.4386338,-0.1667644
21,-0.34015173,-0.14028218,"('immoral', 'moral')",-0.3401517,-0.1402822,0.1998695
22,-0.7384787,-0.6560881,"('untrustworthy', 'trustworthy')",-0.7384787,-0.6560881,0.0823906
23,6.1629405,6.255003,"('insincere', 'sincere')",6.1629405,6.255003,0.0920625
24,1.4934626,1.554529,"('dishonest', 'honest')",1.4934626,1.554529,0.0610664
25,0.6828003,0.5667908,"('egoistic', 'altruistic')",0.6828003,0.5667908,-0.1160095
26,0.4464385,0.30477566,"('hardhearted', 'benevolent')",0.4464385,0.3047757,-0.1416628
27,1.7431127,1.6273255,"('hardhearted', 'softhearted')",1.7431127,1.6273255,-0.1157872
28,0.97369206,0.9909776,"('disloyal', 'loyal')",0.9736921,0.9909776,0.0172855
29,-0.40794832,-0.538249,"('unfair', 'fair')",-0.4079483,-0.538249,-0.1303007
30,0.5068816,0.4956628,"('intolerant', 'tolerant')",0.5068816,0.4956628,-0.0112188
31,-0.96556824,-1.0051186,"('evil', 'good')",-0.9655682,-1.0051186,-0.0395504
32,1.4272419,1.3666736,"('unkind', 'kind')",1.4272419,1.3666736,-0.0605683
33,-0.37378204,-0.32293424,"('wrong', 'right')",-0.373782,-0.3229342,0.0508478
34,4.647971,4.9455543,"('mean', 'honorable')",4.6479712,4.9455543,0.2975831
35,-0.76283973,-0.86853755,"('corrupt', 'incorrupt')",-0.7628397,-0.8685375,-0.1056978
36,-0.54729074,-0.58990526,"('hostile', 'amicable')",-0.5472907,-0.5899053,-0.0426146
37,1.077628,1.0717894,"('fake', 'genuine')",1.077628,1.0717894,-0.0058386
38,0.04069475,0.1283303,"('untruthful', 'truthful')",0.0406948,0.1283303,0.0876355
39,-0.3085649,-0.304007,"('exploitative', 'cooperative')",-0.3085649,-0.304007,0.0045579
40,-1.6904867,-1.9449219,"('stingy', 'generous')",-1.6904867,-1.9449219,-0.2544352
41,-0.15863062,-0.10443053,"('unforgiving', 'forgiving')",-0.1586306,-0.1044305,0.0542001
42,-2.376339,-2.3940508,"('unreliable', 'reliable')",-2.376339,-2.3940508,-0.0177118
43,0.7874114,0.8664671,"('irresponsible', 'responsible')",0.7874114,0.8664671,0.0790557
44,-1.1724606,-1.2754112,"('prejudiced', 'unprejudiced')",-1.1724606,-1.2754112,-0.1029506
45,-0.2011282,-0.09860014,"('incompetent', 'competent')",-0.2011282,-0.0986001,0.1025281
46,-1.0267366,-0.96559715,"('uncompetitive', 'competitive')",-1.0267366,-0.9655972,0.0611394
47,5.21389,5.4822755,"('stupid', 'smart')",5.2138901,5.4822755,0.2683854
48,0.43772483,0.38657638,"('unintelligent', 'intelligent')",0.4377248,0.3865764,-0.0511484
49,0.27337041,0.559283,"('unable', 'able')",0.2733704,0.559283,0.2859126
50,-0.14057001,-0.1276978,"('clumsy', 'skillful')",-0.14057,-0.1276978,0.0128722
51,0.2646573,0.25296378,"('uneducated', 'educated')",0.2646573,0.2529638,-0.0116935
52,-0.21400611,-0.23686987,"('irrational', 'rational')",-0.2140061,-0.2368699,-0.0228638
53,0.07573818,0.06998148,"('uncreative', 'creative')",0.0757382,0.0699815,-0.0057567
54,1.4701948,1.7444874,"('incapable', 'capable')",1.4701948,1.7444874,0.2742926
55,0.13013846,0.103073955,"('incompetent', 'clever')",0.1301385,0.103074,-0.0270645
56,0.17286319,0.20203082,"('impractical', 'practical')",0.1728632,0.2020308,0.0291676
57,-2.7183816,-2.687933,"('unimaginative', 'imaginative')",-2.7183816,-2.687933,0.0304486
58,-0.05652996,-0.09014017,"('undiscriminating', 'discriminating')",-0.05653,-0.0901402,-0.0336102
59,0.24318948,0.34132928,"('foolish', 'wise')",0.2431895,0.3413293,0.0981398
60,0.21716152,0.29508993,"('inefficient', 'efficient')",0.2171615,0.2950899,0.0779284
61,0.013081197,-0.06792435,"('illogical', 'logical')",0.0130812,-0.0679244,-0.0810056
62,0.68259704,0.80736893,"('incompetent', 'brilliant')",0.682597,0.8073689,0.1247719
