,jerk_male,jerk_female,tuple,average_male,average_female,female-male
0,0.47987467,0.4017124,"('unsociable', 'sociable')",0.4798747,0.4017124,-0.0781623
1,1.1697292,1.0341865,"('unfriendly', 'friendly')",1.1697292,1.0341865,-0.1355427
2,0.70720565,0.7943026,"('unlikable', 'likable')",0.7072057,0.7943026,0.0870969
3,1.2045666,1.2060701,"('repellent', 'pleasant')",1.2045666,1.2060701,0.0015035
4,-7.0210876,-6.9531665,"('disliked', 'liked')",-7.0210876,-6.9531665,0.0679211
5,-0.08056351,0.011829789,"('distant', 'outgoing')",-0.0805635,0.0118298,0.0923933
6,0.022294713,0.082444504,"('distant', 'open')",0.0222947,0.0824445,0.0601498
7,0.901094,0.94520986,"('insensitive', 'sensitive')",0.901094,0.9452099,0.0441159
8,0.6846229,0.64968646,"('unaffectionate', 'affectionate')",0.6846229,0.6496865,-0.0349364
9,1.4233679,1.4131854,"('unaffectionate', 'caring')",1.4233679,1.4131854,-0.0101825
10,1.6123544,1.651923,"('unsympathetic', 'sympathetic')",1.6123544,1.6519229,0.0395685
11,2.2821703,2.2806115,"('unhelpful', 'helpful')",2.2821703,2.2806115,-0.0015588
12,-1.3555167,-1.2929465,"('unsupportive', 'supportive')",-1.3555167,-1.2929465,0.0625702
13,0.84648466,0.7956838,"('impolite', 'polite')",0.8464847,0.7956838,-0.0508009
14,0.09797723,0.020664625,"('antisocial', 'social')",0.0979772,0.0206646,-0.0773126
15,0.49082145,0.4398567,"('boring', 'funny')",0.4908215,0.4398567,-0.0509648
16,-0.16687617,-0.1471115,"('unpopular', 'popular')",-0.1668762,-0.1471115,0.0197647
17,-0.1359681,-0.07509751,"('nasty', 'nice')",-0.1359681,-0.0750975,0.0608706
18,-0.47829127,-0.58907676,"('disagreeable', 'welcoming')",-0.4782913,-0.5890768,-0.1107855
19,-0.63544637,-0.47334713,"('inhospitable', 'hospitable')",-0.6354464,-0.4733471,0.1620993
20,0.7660668,0.651597,"('rough', 'thoughtful')",0.7660668,0.651597,-0.1144698
21,0.5556393,0.63194335,"('immoral', 'moral')",0.5556393,0.6319433,0.076304
22,0.18621233,0.19673993,"('untrustworthy', 'trustworthy')",0.1862123,0.1967399,0.0105276
23,6.4641457,6.418735,"('insincere', 'sincere')",6.4641457,6.418735,-0.0454107
24,2.0238414,2.0453823,"('dishonest', 'honest')",2.0238414,2.0453823,0.0215409
25,0.29857188,0.15642375,"('egoistic', 'altruistic')",0.2985719,0.1564237,-0.1421482
26,0.03832552,-0.05985014,"('hardhearted', 'benevolent')",0.0383255,-0.0598501,-0.0981756
27,1.2200106,1.0765103,"('hardhearted', 'softhearted')",1.2200106,1.0765103,-0.1435003
28,1.0851204,1.0424663,"('disloyal', 'loyal')",1.0851204,1.0424663,-0.0426541
29,-0.8022415,-0.79948604,"('unfair', 'fair')",-0.8022415,-0.799486,0.0027555
30,1.043957,1.0070118,"('intolerant', 'tolerant')",1.043957,1.0070118,-0.0369452
31,-1.6906399,-1.6073873,"('evil', 'good')",-1.6906399,-1.6073873,0.0832526
32,1.4185982,1.420743,"('unkind', 'kind')",1.4185982,1.420743,0.0021448
33,-0.47545147,-0.45470333,"('wrong', 'right')",-0.4754515,-0.4547033,0.0207482
34,4.570595,4.7024736,"('mean', 'honorable')",4.5705948,4.7024736,0.1318788
35,-1.4169781,-1.4631405,"('corrupt', 'incorrupt')",-1.4169781,-1.4631405,-0.0461624
36,-1.2826766,-1.321484,"('hostile', 'amicable')",-1.2826766,-1.321484,-0.0388074
37,0.5363897,0.5948839,"('fake', 'genuine')",0.5363897,0.5948839,0.0584942
38,-0.087586805,-0.031807035,"('untruthful', 'truthful')",-0.0875868,-0.031807,0.0557798
39,0.107412845,0.0855442,"('exploitative', 'cooperative')",0.1074128,0.0855442,-0.0218686
40,-1.3307335,-1.4697973,"('stingy', 'generous')",-1.3307335,-1.4697973,-0.1390638
41,-0.12653741,-0.07714433,"('unforgiving', 'forgiving')",-0.1265374,-0.0771443,0.0493931
42,-1.6447134,-1.6491895,"('unreliable', 'reliable')",-1.6447134,-1.6491895,-0.0044761
43,1.4892823,1.4789299,"('irresponsible', 'responsible')",1.4892823,1.4789299,-0.0103524
44,-1.3463906,-1.4058014,"('prejudiced', 'unprejudiced')",-1.3463906,-1.4058014,-0.0594108
45,0.613608,0.6821204,"('incompetent', 'competent')",0.613608,0.6821204,0.0685124
46,0.18088315,0.18597785,"('uncompetitive', 'competitive')",0.1808832,0.1859778,0.0050946
