,corps_male,corps_female,tuple,average_male,average_female,female-male
0,-0.16819453,-0.21773806,"('unsociable', 'sociable')",-0.1681945,-0.2177381,-0.0495436
1,0.80964947,0.866591,"('unfriendly', 'friendly')",0.8096495,0.866591,0.0569415
2,-0.2626007,-0.21156967,"('unlikable', 'likable')",-0.2626007,-0.2115697,0.051031
3,0.6068214,0.67931664,"('repellent', 'pleasant')",0.6068214,0.6793166,0.0724952
4,-7.60372,-7.6817923,"('disliked', 'liked')",-7.6037202,-7.6817923,-0.0780721
5,-1.0310328,-0.9246812,"('distant', 'outgoing')",-1.0310328,-0.9246812,0.1063516
6,-0.4972999,-0.4706252,"('distant', 'open')",-0.4972999,-0.4706252,0.0266747
7,1.0308928,0.99383384,"('insensitive', 'sensitive')",1.0308928,0.9938338,-0.037059
8,0.9460655,0.8346319,"('unaffectionate', 'affectionate')",0.9460655,0.8346319,-0.1114336
9,1.4164275,1.3549955,"('unaffectionate', 'caring')",1.4164275,1.3549955,-0.061432
10,1.2357303,1.2309445,"('unsympathetic', 'sympathetic')",1.2357303,1.2309445,-0.0047858
11,1.5517135,1.531224,"('unhelpful', 'helpful')",1.5517135,1.531224,-0.0204895
12,-1.9191693,-1.9726828,"('unsupportive', 'supportive')",-1.9191693,-1.9726828,-0.0535135
13,-0.50939983,-0.4558089,"('impolite', 'polite')",-0.5093998,-0.4558089,0.0535909
14,0.40448257,0.34858614,"('antisocial', 'social')",0.4044826,0.3485861,-0.0558965
15,-0.14450929,-0.22605722,"('boring', 'funny')",-0.1445093,-0.2260572,-0.0815479
16,-0.6529191,-0.63919175,"('unpopular', 'popular')",-0.6529191,-0.6391917,0.0137274
17,-0.332744,-0.26357645,"('nasty', 'nice')",-0.332744,-0.2635764,0.0691676
18,-0.5390546,-0.51488596,"('disagreeable', 'welcoming')",-0.5390546,-0.514886,0.0241686
19,-0.7743831,-0.8196003,"('inhospitable', 'hospitable')",-0.7743831,-0.8196003,-0.0452172
20,0.8501297,0.8114424,"('rough', 'thoughtful')",0.8501297,0.8114424,-0.0386873
21,-0.22717795,-0.18627162,"('immoral', 'moral')",-0.2271779,-0.1862716,0.0409063
22,-0.3620448,-0.3648008,"('untrustworthy', 'trustworthy')",-0.3620448,-0.3648008,-0.002756
23,6.238857,6.2338457,"('insincere', 'sincere')",6.2388568,6.2338457,-0.0050111
24,1.3795311,1.2803873,"('dishonest', 'honest')",1.3795311,1.2803873,-0.0991438
25,0.7819195,0.7337873,"('egoistic', 'altruistic')",0.7819195,0.7337873,-0.0481322
26,1.3957689,1.2112749,"('hardhearted', 'benevolent')",1.3957689,1.2112749,-0.184494
27,1.6774687,1.5410494,"('hardhearted', 'softhearted')",1.6774687,1.5410494,-0.1364193
28,1.2889289,1.1691964,"('disloyal', 'loyal')",1.2889289,1.1691964,-0.1197325
29,-0.55447155,-0.64449614,"('unfair', 'fair')",-0.5544716,-0.6444961,-0.0900245
30,0.8975386,0.9255707,"('intolerant', 'tolerant')",0.8975386,0.9255707,0.0280321
31,-1.5390389,-1.4763225,"('evil', 'good')",-1.5390389,-1.4763225,0.0627164
32,1.1258072,1.0036837,"('unkind', 'kind')",1.1258072,1.0036837,-0.1221235
33,-0.5174081,-0.64649534,"('wrong', 'right')",-0.5174081,-0.6464953,-0.1290872
34,4.651976,4.7525034,"('mean', 'honorable')",4.6519761,4.7525034,0.1005273
35,-0.5809838,-0.84943193,"('corrupt', 'incorrupt')",-0.5809838,-0.8494319,-0.2684481
36,-0.9065422,-0.9576775,"('hostile', 'amicable')",-0.9065422,-0.9576775,-0.0511353
37,0.6992743,0.6919999,"('fake', 'genuine')",0.6992743,0.6919999,-0.0072744
38,-0.4875687,-0.45116094,"('untruthful', 'truthful')",-0.4875687,-0.4511609,0.0364078
39,0.5098169,0.44280425,"('exploitative', 'cooperative')",0.5098169,0.4428042,-0.0670127
40,-1.6334003,-1.7397273,"('stingy', 'generous')",-1.6334003,-1.7397273,-0.106327
41,0.05286511,0.022669971,"('unforgiving', 'forgiving')",0.0528651,0.02267,-0.0301951
42,-2.2090118,-2.2535489,"('unreliable', 'reliable')",-2.2090118,-2.2535489,-0.0445371
43,0.91767263,0.9503833,"('irresponsible', 'responsible')",0.9176726,0.9503833,0.0327107
