,enzyme_male,enzyme_female,tuple,average_male,average_female,female-male
0,-0.04765382,-0.19615498,"('unsociable', 'sociable')",-0.0476538,-0.196155,-0.1485012
1,1.6744188,1.6095878,"('unfriendly', 'friendly')",1.6744188,1.6095878,-0.064831
2,0.6055956,0.69195145,"('unlikable', 'likable')",0.6055956,0.6919515,0.0863559
3,0.40457806,0.60840577,"('repellent', 'pleasant')",0.4045781,0.6084058,0.2038277
4,-8.008275,-7.8437176,"('disliked', 'liked')",-8.008275,-7.8437176,0.1645574
5,0.015725397,0.13979056,"('distant', 'outgoing')",0.0157254,0.1397906,0.1240652
6,0.29159144,0.3997391,"('distant', 'open')",0.2915914,0.3997391,0.1081477
7,0.311213,0.48121998,"('insensitive', 'sensitive')",0.311213,0.48122,0.170007
8,1.5751851,1.475647,"('unaffectionate', 'affectionate')",1.5751851,1.475647,-0.0995381
9,2.0205355,2.0898798,"('unaffectionate', 'caring')",2.0205355,2.0898798,0.0693443
10,0.7997613,1.0239842,"('unsympathetic', 'sympathetic')",0.7997613,1.0239842,0.2242229
11,2.2433636,2.3232493,"('unhelpful', 'helpful')",2.2433636,2.3232493,0.0798857
12,-1.7338794,-1.7107944,"('unsupportive', 'supportive')",-1.7338794,-1.7107944,0.023085
13,0.16009787,0.07100673,"('impolite', 'polite')",0.1600979,0.0710067,-0.0890912
14,-0.5469131,-0.61569625,"('antisocial', 'social')",-0.5469131,-0.6156963,-0.0687832
15,0.38849154,0.37843555,"('boring', 'funny')",0.3884915,0.3784356,-0.0100559
16,-0.34743655,-0.2647258,"('unpopular', 'popular')",-0.3474365,-0.2647258,0.0827107
17,-0.14822377,-0.09148909,"('nasty', 'nice')",-0.1482238,-0.0914891,0.0567347
18,-0.7142795,-0.8577593,"('disagreeable', 'welcoming')",-0.7142795,-0.8577593,-0.1434798
19,-0.19296671,-0.008859809,"('inhospitable', 'hospitable')",-0.1929667,-0.0088598,0.1841069
20,0.6670907,0.5675903,"('rough', 'thoughtful')",0.6670907,0.5675903,-0.0995004
21,-0.23192531,-0.0158251,"('immoral', 'moral')",-0.2319253,-0.0158251,0.2161002
22,-1.0066717,-0.86053216,"('untrustworthy', 'trustworthy')",-1.0066717,-0.8605322,0.1461395
23,6.8400154,6.860441,"('insincere', 'sincere')",6.8400154,6.8604412,0.0204258
24,1.7142186,1.773992,"('dishonest', 'honest')",1.7142186,1.7739919,0.0597733
25,0.6238261,0.40255737,"('egoistic', 'altruistic')",0.6238261,0.4025574,-0.2212687
26,0.5407886,0.26338962,"('hardhearted', 'benevolent')",0.5407886,0.2633896,-0.277399
27,1.6650095,1.4963418,"('hardhearted', 'softhearted')",1.6650095,1.4963418,-0.1686677
28,1.4113942,1.4497887,"('disloyal', 'loyal')",1.4113942,1.4497887,0.0383945
29,-0.73517835,-0.7501676,"('unfair', 'fair')",-0.7351784,-0.7501676,-0.0149892
30,0.93342257,0.90203375,"('intolerant', 'tolerant')",0.9334226,0.9020337,-0.0313889
31,-1.609662,-1.5372434,"('evil', 'good')",-1.6096621,-1.5372434,0.0724187
32,1.0842979,1.0763808,"('unkind', 'kind')",1.0842979,1.0763808,-0.0079171
33,-0.23378345,-0.30424163,"('wrong', 'right')",-0.2337835,-0.3042416,-0.0704581
34,5.4626913,5.5682373,"('mean', 'honorable')",5.4626913,5.5682373,0.105546
35,-0.8711831,-0.95813406,"('corrupt', 'incorrupt')",-0.8711831,-0.9581341,-0.086951
36,-0.5018675,-0.64653474,"('hostile', 'amicable')",-0.5018675,-0.6465347,-0.1446672
37,0.8620625,0.9959098,"('fake', 'genuine')",0.8620625,0.9959098,0.1338473
38,0.5195536,0.5461358,"('untruthful', 'truthful')",0.5195536,0.5461358,0.0265822
39,-0.20049718,-0.19000961,"('exploitative', 'cooperative')",-0.2004972,-0.1900096,0.0104876
40,-2.2274454,-2.3517072,"('stingy', 'generous')",-2.2274454,-2.3517072,-0.1242618
41,0.043376334,-0.06220311,"('unforgiving', 'forgiving')",0.0433763,-0.0622031,-0.1055794
42,-3.2781935,-2.9934921,"('unreliable', 'reliable')",-3.2781935,-2.9934921,0.2847014
43,1.1935135,1.2764087,"('irresponsible', 'responsible')",1.1935135,1.2764087,0.0828952
44,-1.7371925,-1.7597963,"('prejudiced', 'unprejudiced')",-1.7371925,-1.7597963,-0.0226038
45,0.15423018,0.2652877,"('incompetent', 'competent')",0.1542302,0.2652877,0.1110575
46,-0.6945489,-0.67001504,"('uncompetitive', 'competitive')",-0.6945489,-0.670015,0.0245339
47,5.8656163,6.0030804,"('stupid', 'smart')",5.8656163,6.0030804,0.1374641
48,1.0170593,0.9306201,"('unintelligent', 'intelligent')",1.0170593,0.9306201,-0.0864392
49,0.4123313,0.68814737,"('unable', 'able')",0.4123313,0.6881474,0.2758161
50,-0.04455728,0.020796478,"('clumsy', 'skillful')",-0.0445573,0.0207965,0.0653538
51,0.18110013,0.3488844,"('uneducated', 'educated')",0.1811001,0.3488844,0.1677843
52,0.023222886,-0.008653207,"('irrational', 'rational')",0.0232229,-0.0086532,-0.0318761
53,-0.09225664,-0.061681874,"('uncreative', 'creative')",-0.0922566,-0.0616819,0.0305747
54,1.3786217,1.7087054,"('incapable', 'capable')",1.3786217,1.7087054,0.3300837
55,0.55275357,0.57173836,"('incompetent', 'clever')",0.5527536,0.5717384,0.0189848
56,0.56062526,0.70181364,"('impractical', 'practical')",0.5606253,0.7018136,0.1411883
57,-3.4077473,-3.137984,"('unimaginative', 'imaginative')",-3.4077473,-3.137984,0.2697633
58,-0.040866636,-0.031292375,"('undiscriminating', 'discriminating')",-0.0408666,-0.0312924,0.0095742
59,0.0742911,0.21160203,"('foolish', 'wise')",0.0742911,0.211602,0.1373109
60,0.99302477,1.0056038,"('inefficient', 'efficient')",0.9930248,1.0056038,0.012579
61,0.56937015,0.3722918,"('illogical', 'logical')",0.5693702,0.3722918,-0.1970784
62,1.1444395,1.3306216,"('incompetent', 'brilliant')",1.1444395,1.3306216,0.1861821
63,0.43524995,0.57072943,"('unperceptive', 'insightful')",0.43525,0.5707294,0.1354794
64,-6.9753227,-6.730331,"('shy', 'confident')",-6.9753227,-6.7303309,0.2449918
65,-0.040485334,0.018070016,"('insecure', 'secure')",-0.0404853,0.01807,0.0585553
66,-0.06183374,-0.012562331,"('inactive', 'active')",-0.0618337,-0.0125623,0.0492714
67,-0.15041886,-0.16348132,"('doubtful', 'determined')",-0.1504189,-0.1634813,-0.0130624
68,-0.45360646,-0.28532776,"('dependent', 'independent')",-0.4536065,-0.2853278,0.1682787
69,-1.5139294,-1.5954498,"('lazy', 'industrious')",-1.5139294,-1.5954498,-0.0815204
70,0.68413496,0.9281171,"('lethargic', 'energetic')",0.684135,0.9281171,0.2439821
71,0.2011511,0.24306695,"('diffident', 'self-confident')",0.2011511,0.243067,0.0419159
72,0.7434443,0.8413428,"('unambitious', 'ambitious')",0.7434443,0.8413428,0.0978985
73,-3.4023175,-3.273578,"('helpless', 'self-reliant')",-3.4023175,-3.2735779,0.1287396
74,-0.054330178,-0.117905736,"('undedicated', 'dedicated')",-0.0543302,-0.1179057,-0.0635755
75,-0.800354,-0.610654,"('meek', 'impulsive')",-0.800354,-0.610654,0.1897
76,-0.046025194,0.03666249,"('anxious', 'daring')",-0.0460252,0.0366625,0.0826877
77,-1.412416,-1.1872025,"('unmotivated', 'motivated')",-1.412416,-1.1872025,0.2252135
78,-0.41627425,-0.48983964,"('nonresilient', 'resilient')",-0.4162742,-0.4898396,-0.0735654
79,-0.10328545,0.042545557,"('wavering', 'unwavering')",-0.1032854,0.0425456,0.145831
80,-0.56554127,-0.5036327,"('dominated', 'dominating')",-0.5655413,-0.5036327,0.0619086
81,-0.2850846,-0.076896995,"('submissive', 'aggressive')",-0.2850846,-0.076897,0.2081876
82,6.999994,7.21986,"('poor', 'rich')",6.9999938,7.2198601,0.2198663
83,-0.5204154,-0.47954232,"('powerless', 'powerful')",-0.5204154,-0.4795423,0.0408731
84,0.2140937,0.30632126,"('inferior', 'superior')",0.2140937,0.3063213,0.0922276
85,-0.78468376,-0.9483825,"('insignificant', 'prestigious')",-0.7846838,-0.9483825,-0.1636987
86,0.4977909,0.60471296,"('uninfluential', 'influential')",0.4977909,0.604713,0.1069221
87,-0.061771557,0.20678282,"('unsuccessful', 'successful')",-0.0617716,0.2067828,0.2685544
88,0.16869414,0.2841593,"('low', 'eminent')",0.1686941,0.2841593,0.1154652
