,villa_male,villa_female,tuple,average_male,average_female,female-male
0,0.26792374,0.20500128,"('unsociable', 'sociable')",0.2679237,0.2050013,-0.0629224
1,1.2146542,1.2456319,"('unfriendly', 'friendly')",1.2146542,1.2456319,0.0309777
2,0.1179758,0.20288657,"('unlikable', 'likable')",0.1179758,0.2028866,0.0849108
3,0.5539794,0.5409023,"('repellent', 'pleasant')",0.5539794,0.5409023,-0.0130771
4,-7.3139157,-7.446867,"('disliked', 'liked')",-7.3139157,-7.446867,-0.1329513
5,-0.5157072,-0.51570344,"('distant', 'outgoing')",-0.5157072,-0.5157034,3.8e-06
6,0.094147004,0.060215455,"('distant', 'open')",0.094147,0.0602155,-0.0339315
7,0.87078714,0.8636227,"('insensitive', 'sensitive')",0.8707871,0.8636227,-0.0071644
8,1.1433196,1.0687306,"('unaffectionate', 'affectionate')",1.1433196,1.0687306,-0.074589
9,1.402545,1.4528823,"('unaffectionate', 'caring')",1.402545,1.4528823,0.0503373
10,0.656365,0.5948687,"('unsympathetic', 'sympathetic')",0.656365,0.5948687,-0.0614963
11,1.2741034,1.3654735,"('unhelpful', 'helpful')",1.2741034,1.3654735,0.0913701
12,-2.0479703,-2.0549073,"('unsupportive', 'supportive')",-2.0479703,-2.0549073,-0.006937
13,-0.33588484,-0.34208876,"('impolite', 'polite')",-0.3358848,-0.3420888,-0.006204
14,0.4393637,0.3894314,"('antisocial', 'social')",0.4393637,0.3894314,-0.0499323
15,0.060079616,0.001392005,"('boring', 'funny')",0.0600796,0.001392,-0.0586876
16,-0.21575989,-0.15052485,"('unpopular', 'popular')",-0.2157599,-0.1505249,0.065235
17,-0.13772908,-0.10951519,"('nasty', 'nice')",-0.1377291,-0.1095152,0.0282139
18,-0.25843346,-0.27988845,"('disagreeable', 'welcoming')",-0.2584335,-0.2798885,-0.021455
19,-0.4126517,-0.40607926,"('inhospitable', 'hospitable')",-0.4126517,-0.4060793,0.0065724
20,0.86868834,0.78551984,"('rough', 'thoughtful')",0.8686883,0.7855198,-0.0831685
21,-0.546734,-0.4745565,"('immoral', 'moral')",-0.546734,-0.4745565,0.0721775
22,-0.54008186,-0.576289,"('untrustworthy', 'trustworthy')",-0.5400819,-0.576289,-0.0362071
23,6.2432256,6.328992,"('insincere', 'sincere')",6.2432256,6.3289919,0.0857663
24,1.4273435,1.2929742,"('dishonest', 'honest')",1.4273435,1.2929742,-0.1343693
25,0.6674144,0.61025995,"('egoistic', 'altruistic')",0.6674144,0.61026,-0.0571544
26,1.2466848,1.275595,"('hardhearted', 'benevolent')",1.2466848,1.2755949,0.0289101
27,1.6417471,1.4242004,"('hardhearted', 'softhearted')",1.6417471,1.4242004,-0.2175467
28,0.8825002,0.9058862,"('disloyal', 'loyal')",0.8825002,0.9058862,0.023386
