,generosity_male,generosity_female,tuple,average_male,average_female,female-male
0,0.62561846,0.2714222,"('unsociable', 'sociable')",0.6256185,0.2714222,-0.3541963
1,1.4284489,1.4213474,"('unfriendly', 'friendly')",1.4284489,1.4213474,-0.0071015
2,0.20868745,0.34123453,"('unlikable', 'likable')",0.2086875,0.3412345,0.132547
3,0.36498445,0.3519519,"('repellent', 'pleasant')",0.3649845,0.3519519,-0.0130326
4,-7.3465614,-7.2928596,"('disliked', 'liked')",-7.3465614,-7.2928596,0.0537018
5,-0.68506205,-0.50861114,"('distant', 'outgoing')",-0.6850621,-0.5086111,0.176451
6,-0.35860896,-0.15616019,"('distant', 'open')",-0.358609,-0.1561602,0.2024488
7,0.87645406,0.7992965,"('insensitive', 'sensitive')",0.8764541,0.7992965,-0.0771576
8,1.0841503,1.166105,"('unaffectionate', 'affectionate')",1.0841503,1.166105,0.0819547
9,2.1844165,2.2734478,"('unaffectionate', 'caring')",2.1844165,2.2734478,0.0890313
10,1.0960519,0.95584357,"('unsympathetic', 'sympathetic')",1.0960519,0.9558436,-0.1402083
11,2.553664,2.5216744,"('unhelpful', 'helpful')",2.553664,2.5216744,-0.0319896
12,-1.3963804,-1.4502593,"('unsupportive', 'supportive')",-1.3963804,-1.4502593,-0.0538789
13,0.74129504,0.5195939,"('impolite', 'polite')",0.741295,0.5195939,-0.2217011
14,0.1564077,-0.14553526,"('antisocial', 'social')",0.1564077,-0.1455353,-0.301943
15,0.52079636,0.52242917,"('boring', 'funny')",0.5207964,0.5224292,0.0016328
16,-0.46239793,-0.4060217,"('unpopular', 'popular')",-0.4623979,-0.4060217,0.0563762
17,-0.12950349,-0.12596269,"('nasty', 'nice')",-0.1295035,-0.1259627,0.0035408
18,-0.60852164,-0.62854636,"('disagreeable', 'welcoming')",-0.6085216,-0.6285464,-0.0200248
19,-0.97858316,-0.82673895,"('inhospitable', 'hospitable')",-0.9785832,-0.826739,0.1518442
20,1.161515,1.0489467,"('rough', 'thoughtful')",1.161515,1.0489467,-0.1125683
21,-0.07070622,-0.2107876,"('immoral', 'moral')",-0.0707062,-0.2107876,-0.1400814
22,-0.3715717,-0.45127663,"('untrustworthy', 'trustworthy')",-0.3715717,-0.4512766,-0.0797049
23,6.9196315,6.780777,"('insincere', 'sincere')",6.9196315,6.780777,-0.1388545
24,1.7846977,1.6870497,"('dishonest', 'honest')",1.7846977,1.6870497,-0.097648
25,0.91697794,0.89480287,"('egoistic', 'altruistic')",0.9169779,0.8948029,-0.022175
26,0.83869016,0.7287521,"('hardhearted', 'benevolent')",0.8386902,0.7287521,-0.1099381
27,1.269989,1.1616688,"('hardhearted', 'softhearted')",1.269989,1.1616688,-0.1083202
28,1.5299116,1.4651817,"('disloyal', 'loyal')",1.5299116,1.4651817,-0.0647299
29,-0.95364136,-1.0036217,"('unfair', 'fair')",-0.9536414,-1.0036217,-0.0499803
30,1.2170384,1.0141594,"('intolerant', 'tolerant')",1.2170384,1.0141594,-0.202879
31,-2.1891549,-2.0140336,"('evil', 'good')",-2.1891549,-2.0140336,0.1751213
32,1.4395764,1.3264512,"('unkind', 'kind')",1.4395764,1.3264512,-0.1131252
33,-0.2805207,-0.273984,"('wrong', 'right')",-0.2805207,-0.273984,0.0065367
34,5.03125,5.113114,"('mean', 'honorable')",5.03125,5.1131139,0.0818639
35,-1.3525537,-1.3018059,"('corrupt', 'incorrupt')",-1.3525537,-1.3018059,0.0507478
36,-0.73579836,-0.6258153,"('hostile', 'amicable')",-0.7357984,-0.6258153,0.1099831
37,0.72972554,0.70302325,"('fake', 'genuine')",0.7297255,0.7030233,-0.0267022
38,0.19676529,0.15545899,"('untruthful', 'truthful')",0.1967653,0.155459,-0.0413063
39,0.48576355,0.380217,"('exploitative', 'cooperative')",0.4857635,0.380217,-0.1055465
40,-1.7841495,-1.856906,"('stingy', 'generous')",-1.7841495,-1.8569061,-0.0727566
